num_levels,num_features,vector_dimension,bipolar_mode,precomputed_item_memory,use_genetic_item_memory,ga_selection_mode,ga_mutation_rate,n_gram_size,window,downsample,validation_ratio,overall_accuracy,class_average_accuracy,class_vector_similarity,correct,not_correct,transition_error,total,info
100,32,1024,0,1,1,0,0.200000,3,100,1,0.300000,0.86374134,0.86399358,0.26484375,374,59,0,433,"model=mine,scope=dataset,dataset=0,phase=preopt-validation"
100,32,1024,0,1,1,0,0.200000,3,100,1,0.300000,0.97931034,0.97931034,0.26484375,284,6,0,290,"model=mine,scope=dataset,dataset=0,phase=preopt-test"
100,32,1024,0,1,1,0,0.200000,3,100,1,0.300000,0.91916859,0.91946004,0.22851562,398,35,0,433,"model=mine,scope=dataset,dataset=0,phase=postopt-validation"
100,32,1024,0,1,1,0,0.200000,3,100,1,0.300000,0.98620690,0.98620690,0.22851562,286,4,0,290,"model=mine,scope=dataset,dataset=0,phase=postopt-test"
100,32,1024,0,1,1,0,0.200000,3,100,1,0.300000,0.96766744,0.96781609,0.76640625,419,14,0,433,"model=mine,scope=dataset,dataset=1,phase=preopt-validation"
100,32,1024,0,1,1,0,0.200000,3,100,1,0.300000,0.93103448,0.93103448,0.76640625,270,20,0,290,"model=mine,scope=dataset,dataset=1,phase=preopt-test"
100,32,1024,0,1,1,0,0.200000,3,100,1,0.300000,1.00000000,1.00000000,0.66093750,433,0,0,433,"model=mine,scope=dataset,dataset=1,phase=postopt-validation"
100,32,1024,0,1,1,0,0.200000,3,100,1,0.300000,0.94482759,0.94482759,0.66093750,274,16,0,290,"model=mine,scope=dataset,dataset=1,phase=postopt-test"
100,32,1024,0,1,1,0,0.200000,3,100,1,0.300000,0.76443418,0.76452820,0.33671875,331,102,0,433,"model=mine,scope=dataset,dataset=2,phase=preopt-validation"
100,32,1024,0,1,1,0,0.200000,3,100,1,0.300000,0.84482759,0.84482759,0.33671875,245,45,0,290,"model=mine,scope=dataset,dataset=2,phase=preopt-test"
