run_index,total_runs,timestamp,num_levels,vector_dimension,ga_generations,use_openmp,output_mode,log_file,duration_sec
1,32,2026-03-17T17:13:08.942726,100,1024,64,1,2,run_nl100_vd1024_gen64.txt,167.087
2,32,2026-03-17T17:18:32.970372,100,1024,128,1,2,run_nl100_vd1024_gen128.txt,323.943
3,32,2026-03-17T17:29:14.679769,100,1024,256,1,2,run_nl100_vd1024_gen256.txt,641.679
4,32,2026-03-17T17:50:33.969985,100,1024,512,1,2,run_nl100_vd1024_gen512.txt,1278.668
5,32,2026-03-17T17:56:02.127197,100,2048,64,1,2,run_nl100_vd2048_gen64.txt,328.078
6,32,2026-03-17T18:06:30.242409,100,2048,128,1,2,run_nl100_vd2048_gen128.txt,628.094
7,32,2026-03-17T18:27:19.679219,100,2048,256,1,2,run_nl100_vd2048_gen256.txt,1249.064
8,32,2026-03-17T19:08:49.713362,100,2048,512,1,2,run_nl100_vd2048_gen512.txt,2489.987
9,32,2026-03-17T19:16:43.364759,100,3072,64,1,2,run_nl100_vd3072_gen64.txt,473.569
10,32,2026-03-17T19:31:55.032346,100,3072,128,1,2,run_nl100_vd3072_gen128.txt,911.555
11,32,2026-03-17T20:02:09.831674,100,3072,256,1,2,run_nl100_vd3072_gen256.txt,1814.659
12,32,2026-03-17T21:02:29.691651,100,3072,512,1,2,run_nl100_vd3072_gen512.txt,3619.630
13,32,2026-03-17T21:12:55.438650,100,4096,64,1,2,run_nl100_vd4096_gen64.txt,625.167
14,32,2026-03-17T21:33:50.387682,100,4096,128,1,2,run_nl100_vd4096_gen128.txt,1254.922
15,32,2026-03-17T22:15:19.998265,100,4096,256,1,2,run_nl100_vd4096_gen256.txt,2489.574
16,32,2026-03-17T23:37:56.159050,100,4096,512,1,2,run_nl100_vd4096_gen512.txt,4956.104
17,32,2026-03-17T23:51:11.200378,100,5120,64,1,2,run_nl100_vd5120_gen64.txt,794.952
18,32,2026-03-18T00:16:42.327788,100,5120,128,1,2,run_nl100_vd5120_gen128.txt,1531.100
19,32,2026-03-18T01:07:27.057820,100,5120,256,1,2,run_nl100_vd5120_gen256.txt,3044.694
20,32,2026-03-18T02:48:40.650253,100,5120,512,1,2,run_nl100_vd5120_gen512.txt,6073.538
21,32,2026-03-18T03:04:33.221830,100,6144,64,1,2,run_nl100_vd6144_gen64.txt,952.482
22,32,2026-03-18T03:35:05.732383,100,6144,128,1,2,run_nl100_vd6144_gen128.txt,1832.484
23,32,2026-03-18T04:35:53.601169,100,6144,256,1,2,run_nl100_vd6144_gen256.txt,3647.834
24,32,2026-03-18T06:37:07.953382,100,6144,512,1,2,run_nl100_vd6144_gen512.txt,7274.300
25,32,2026-03-18T06:56:56.314300,100,7168,64,1,2,run_nl100_vd7168_gen64.txt,1188.275
26,32,2026-03-18T07:32:32.096800,100,7168,128,1,2,run_nl100_vd7168_gen128.txt,2135.630
27,32,2026-03-18T08:43:21.408444,100,7168,256,1,2,run_nl100_vd7168_gen256.txt,4249.276
28,32,2026-03-18T11:04:37.540395,100,7168,512,1,2,run_nl100_vd7168_gen512.txt,8476.075
29,32,2026-03-18T11:25:48.730375,100,8192,64,1,2,run_nl100_vd8192_gen64.txt,1271.103
30,32,2026-03-18T12:06:25.427263,100,8192,128,1,2,run_nl100_vd8192_gen128.txt,2436.669
31,32,2026-03-18T13:27:21.514269,100,8192,256,1,2,run_nl100_vd8192_gen256.txt,4856.051
32,32,2026-03-18T16:08:46.716229,100,8192,512,1,2,run_nl100_vd8192_gen512.txt,9685.147
