seed,dataset,myModel128working_test_acc,naiveModel_test_acc,test_diff_myModel128working_minus_naiveModel,myModel128working_val_acc,naiveModel_val_acc,val_diff_myModel128working_minus_naiveModel
1,0,,98.97,,,91.686,
1,1,,93.79,,83.372,100.0,-16.628
1,2,,86.9,,,86.374,
1,3,,98.28,,,100.0,
2,0,,98.62,,,92.379,
2,1,,97.24,,82.679,100.0,-17.320999999999998
2,2,,84.48,,,85.45,
2,3,,99.66,,,99.769,
3,0,,97.59,,,91.455,
3,1,,94.48,,90.531,100.0,-9.468999999999994
3,2,,85.17,,,85.681,
3,3,,99.31,,,99.769,
4,0,,97.59,,,91.224,
4,1,,94.83,,82.448,100.0,-17.552000000000007
4,2,,84.83,,,85.45,
4,3,,98.62,,,100.0,
5,0,,98.62,,,91.224,
5,1,,93.79,,90.069,100.0,-9.930999999999997
5,2,,84.48,,,85.912,
5,3,,99.66,,,100.0,
