seed,dataset,myModel3_test_acc,myModelLowRates_test_acc,test_diff_myModel3_minus_myModelLowRates,myModel3_val_acc,myModelLowRates_val_acc,val_diff_myModel3_minus_myModelLowRates
1,0,99.31,98.62,0.6899999999999977,91.224,91.224,0.0
1,1,97.93,99.66,-1.7299999999999898,100.0,100.0,0.0
1,2,86.55,86.21,0.3400000000000034,86.836,87.067,-0.23099999999999454
1,3,98.28,98.28,0.0,100.0,100.0,0.0
2,0,98.62,98.62,0.0,90.993,90.993,0.0
2,1,98.62,93.45,5.170000000000002,100.0,100.0,0.0
2,2,84.48,85.52,-1.039999999999992,84.988,86.143,-1.1550000000000011
2,3,98.28,97.93,0.3499999999999943,100.0,100.0,0.0
3,0,98.62,98.62,0.0,91.224,91.224,0.0
3,1,93.79,92.41,1.3800000000000097,100.0,100.0,0.0
3,2,85.17,84.48,0.6899999999999977,83.372,83.372,0.0
3,3,99.66,99.66,0.0,99.769,99.769,0.0
4,0,98.97,98.62,0.3499999999999943,90.993,91.224,-0.23100000000000875
4,1,95.17,95.86,-0.6899999999999977,100.0,100.0,0.0
4,2,86.21,84.48,1.7299999999999898,84.527,83.834,0.6929999999999978
4,3,98.28,98.97,-0.6899999999999977,100.0,100.0,0.0
5,0,98.62,98.62,0.0,90.3,89.838,0.4620000000000033
5,1,94.48,96.21,-1.7299999999999898,100.0,100.0,0.0
5,2,86.21,86.55,-0.3400000000000034,85.45,85.912,-0.4620000000000033
5,3,99.66,98.97,0.6899999999999977,100.0,100.0,0.0
