seed,dataset,myModel3_test_acc,naiveModel_test_acc,test_diff_myModel3_minus_naiveModel,myModel3_val_acc,naiveModel_val_acc,val_diff_myModel3_minus_naiveModel
1,0,99.31,98.97,0.3400000000000034,91.224,91.686,-0.4620000000000033
1,1,97.93,93.79,4.140000000000001,100.0,100.0,0.0
1,2,86.55,86.9,-0.3500000000000085,86.836,86.374,0.4620000000000033
1,3,98.28,98.28,0.0,100.0,100.0,0.0
2,0,98.62,98.62,0.0,90.993,92.379,-1.38600000000001
2,1,98.62,97.24,1.3800000000000097,100.0,100.0,0.0
2,2,84.48,84.48,0.0,84.988,85.45,-0.4620000000000033
2,3,98.28,99.66,-1.3799999999999955,100.0,99.769,0.23099999999999454
3,0,98.62,97.59,1.0300000000000011,91.224,91.455,-0.23099999999999454
3,1,93.79,94.48,-0.6899999999999977,100.0,100.0,0.0
3,2,85.17,85.17,0.0,83.372,85.681,-2.3089999999999975
3,3,99.66,99.31,0.3499999999999943,99.769,99.769,0.0
4,0,98.97,97.59,1.3799999999999955,90.993,91.224,-0.23100000000000875
4,1,95.17,94.83,0.3400000000000034,100.0,100.0,0.0
4,2,86.21,84.83,1.3799999999999955,84.527,85.45,-0.9230000000000018
4,3,98.28,98.62,-0.3400000000000034,100.0,100.0,0.0
5,0,98.62,98.62,0.0,90.3,91.224,-0.9240000000000066
5,1,94.48,93.79,0.6899999999999977,100.0,100.0,0.0
5,2,86.21,84.48,1.7299999999999898,85.45,85.912,-0.4620000000000033
5,3,99.66,99.66,0.0,100.0,100.0,0.0
