seed,dataset,myModel5_test_acc,myModel6_test_acc,test_diff_myModel5_minus_myModel6,myModel5_val_acc,myModel6_val_acc,val_diff_myModel5_minus_myModel6
1,0,98.97,98.62,0.3499999999999943,91.224,91.224,0.0
1,1,98.28,98.97,-0.6899999999999977,100.0,100.0,0.0
1,2,86.55,86.21,0.3400000000000034,87.067,87.067,0.0
1,3,99.66,99.66,0.0,100.0,100.0,0.0
2,0,98.28,98.62,-0.3400000000000034,91.224,91.455,-0.23099999999999454
2,1,95.17,96.21,-1.039999999999992,100.0,100.0,0.0
2,2,84.48,85.17,-0.6899999999999977,85.219,85.681,-0.4620000000000033
2,3,98.62,99.31,-0.6899999999999977,100.0,99.769,0.23099999999999454
3,0,98.62,98.62,0.0,91.455,91.455,0.0
3,1,93.1,91.38,1.7199999999999989,100.0,100.0,0.0
3,2,85.17,85.17,0.0,84.065,84.065,0.0
3,3,98.97,98.62,0.3499999999999943,100.0,99.769,0.23099999999999454
4,0,98.62,98.62,0.0,91.224,91.224,0.0
4,1,94.83,94.48,0.3499999999999943,100.0,100.0,0.0
4,2,85.17,85.17,0.0,84.296,83.834,0.4620000000000033
4,3,98.97,98.28,0.6899999999999977,100.0,100.0,0.0
5,0,98.62,99.31,-0.6899999999999977,90.531,90.531,0.0
5,1,96.55,95.52,1.0300000000000011,100.0,100.0,0.0
5,2,86.55,86.21,0.3400000000000034,86.374,85.912,0.4619999999999891
5,3,99.66,99.66,0.0,100.0,100.0,0.0
