num_levels,num_features,vector_dimension,binning_mode,bipolar_mode,precomputed_item_memory,use_genetic_item_memory,ga_selection_mode,ga_mutation_rate,n_gram_size,window,downsample,validation_ratio,overall_accuracy,class_average_accuracy,class_vector_similarity,correct,not_correct,transition_error,total,info
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.88221709,0.88251804,0.27734375,382,51,0,433,"model=mine,scope=dataset,dataset=0,phase=advanced-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.98620690,0.98620690,0.27734375,286,4,0,290,"model=mine,scope=dataset,dataset=0,phase=advanced-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.88221709,0.88251804,0.27734375,382,51,0,433,"model=mine,scope=dataset,dataset=0,phase=preopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.98620690,0.98620690,0.27734375,286,4,0,290,"model=mine,scope=dataset,dataset=0,phase=preopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.91916859,0.91943331,0.25156250,398,35,0,433,"model=mine,scope=dataset,dataset=0,phase=postopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.98620690,0.98620690,0.25156250,286,4,0,290,"model=mine,scope=dataset,dataset=0,phase=postopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.88221709,0.88251804,0.27734375,0,0,0,0,"model=mine,scope=overall,phase=advanced-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.98620690,0.98620690,0.27734375,0,0,0,0,"model=mine,scope=overall,phase=advanced-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.88221709,0.88251804,0.27734375,0,0,0,0,"model=mine,scope=overall,phase=preopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.98620690,0.98620690,0.27734375,0,0,0,0,"model=mine,scope=overall,phase=preopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.98620690,0.98620690,0.25156250,286,4,0,290,"model=mine,scope=overall,phase=postopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.91916859,0.91943331,0.25156250,0,0,0,0,"model=mine,scope=overall,phase=postopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.88221709,0.88251804,0.27734375,382,51,0,433,"model=mine,scope=dataset,dataset=0,phase=advanced-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.98620690,0.98620690,0.27734375,286,4,0,290,"model=mine,scope=dataset,dataset=0,phase=advanced-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.88221709,0.88251804,0.27734375,382,51,0,433,"model=mine,scope=dataset,dataset=0,phase=preopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.98620690,0.98620690,0.27734375,286,4,0,290,"model=mine,scope=dataset,dataset=0,phase=preopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.92378753,0.92403101,0.25742188,400,33,0,433,"model=mine,scope=dataset,dataset=0,phase=postopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.98965517,0.98965517,0.25742188,287,3,0,290,"model=mine,scope=dataset,dataset=0,phase=postopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.88221709,0.88251804,0.27734375,0,0,0,0,"model=mine,scope=overall,phase=advanced-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.98620690,0.98620690,0.27734375,0,0,0,0,"model=mine,scope=overall,phase=advanced-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.88221709,0.88251804,0.27734375,0,0,0,0,"model=mine,scope=overall,phase=preopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.98620690,0.98620690,0.27734375,0,0,0,0,"model=mine,scope=overall,phase=preopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.98965517,0.98965517,0.25742188,287,3,0,290,"model=mine,scope=overall,phase=postopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.92378753,0.92403101,0.25742188,0,0,0,0,"model=mine,scope=overall,phase=postopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.88221709,0.88251804,0.27734375,382,51,0,433,"model=mine,scope=dataset,dataset=0,phase=advanced-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.98620690,0.98620690,0.27734375,286,4,0,290,"model=mine,scope=dataset,dataset=0,phase=advanced-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.88221709,0.88251804,0.27734375,382,51,0,433,"model=mine,scope=dataset,dataset=0,phase=preopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.98620690,0.98620690,0.27734375,286,4,0,290,"model=mine,scope=dataset,dataset=0,phase=preopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.91454965,0.91483561,0.23554687,396,37,0,433,"model=mine,scope=dataset,dataset=0,phase=postopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.99310345,0.99310345,0.23554687,288,2,0,290,"model=mine,scope=dataset,dataset=0,phase=postopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.88221709,0.88251804,0.27734375,0,0,0,0,"model=mine,scope=overall,phase=advanced-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.98620690,0.98620690,0.27734375,0,0,0,0,"model=mine,scope=overall,phase=advanced-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.88221709,0.88251804,0.27734375,0,0,0,0,"model=mine,scope=overall,phase=preopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.98620690,0.98620690,0.27734375,0,0,0,0,"model=mine,scope=overall,phase=preopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.99310345,0.99310345,0.23554687,288,2,0,290,"model=mine,scope=overall,phase=postopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.91454965,0.91483561,0.23554687,0,0,0,0,"model=mine,scope=overall,phase=postopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.88221709,0.88251804,0.27734375,382,51,0,433,"model=mine,scope=dataset,dataset=0,phase=advanced-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.98620690,0.98620690,0.27734375,286,4,0,290,"model=mine,scope=dataset,dataset=0,phase=advanced-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.88221709,0.88251804,0.27734375,382,51,0,433,"model=mine,scope=dataset,dataset=0,phase=preopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.98620690,0.98620690,0.27734375,286,4,0,290,"model=mine,scope=dataset,dataset=0,phase=preopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.90762125,0.90796578,0.28906250,393,40,0,433,"model=mine,scope=dataset,dataset=0,phase=postopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.98620690,0.98620690,0.28906250,286,4,0,290,"model=mine,scope=dataset,dataset=0,phase=postopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.88221709,0.88251804,0.27734375,0,0,0,0,"model=mine,scope=overall,phase=advanced-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.98620690,0.98620690,0.27734375,0,0,0,0,"model=mine,scope=overall,phase=advanced-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.88221709,0.88251804,0.27734375,0,0,0,0,"model=mine,scope=overall,phase=preopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.98620690,0.98620690,0.27734375,0,0,0,0,"model=mine,scope=overall,phase=preopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.98620690,0.98620690,0.28906250,286,4,0,290,"model=mine,scope=overall,phase=postopt-test"
