seed,dataset,generation,avg_accuracy,max_accuracy,avg_similarity,max_similarity,new_selected,population
1,0,1,88.17001562499999,89.874,0.28156249999999994,0.304,38,64
1,0,2,88.86192187500001,90.104,0.275484375,0.291,24,64
1,0,3,88.9620625,90.104,0.27326562500000007,0.291,22,64
1,0,4,89.08146875,90.334,0.27032812500000003,0.288,21,64
1,0,5,89.28707812500001,90.334,0.26784375000000005,0.28,21,64
1,0,6,89.366625,90.334,0.265671875,0.278,22,64
1,0,7,89.525125,90.334,0.264390625,0.278,15,64
1,0,8,89.507109375,90.334,0.26303125000000005,0.278,13,64
1,0,9,89.597046875,90.794,0.262765625,0.28,9,64
1,0,10,89.56840625000001,90.794,0.26193750000000005,0.28,10,64
1,0,11,89.6151875,90.794,0.261046875,0.283,9,64
1,0,12,89.62573437500001,90.794,0.260671875,0.283,9,64
1,0,13,89.6796875,90.794,0.260390625,0.283,9,64
1,0,14,89.633109375,90.794,0.259171875,0.283,7,64
1,0,15,89.607734375,90.794,0.25821875,0.28,1,64
1,0,16,89.59337500000001,90.794,0.25798437500000004,0.28,9,64
1,0,17,89.525140625,90.794,0.25709375,0.275,3,64
1,0,18,89.53590625000001,90.794,0.256984375,0.275,6,64
1,0,19,89.539625,90.794,0.25687499999999996,0.275,4,64
1,0,20,89.56115625000001,90.794,0.256796875,0.275,6,64
1,0,21,89.57554687500001,90.794,0.256328125,0.275,7,64
1,0,22,89.59723437500001,90.794,0.25609375,0.275,5,64
1,0,23,89.611640625,90.794,0.256421875,0.276,3,64
1,0,24,89.636859375,90.794,0.256046875,0.275,3,64
1,0,25,89.651234375,90.794,0.25609375,0.275,4,64
1,0,26,89.65840625,90.794,0.25589062500000004,0.275,6,64
1,0,27,89.730375,90.794,0.256171875,0.275,2,64
1,0,28,89.74473437500001,90.794,0.256046875,0.275,4,64
1,0,29,89.7735,90.794,0.25621875,0.275,6,64
1,0,30,89.83809375000001,90.794,0.256265625,0.275,6,64
1,0,31,89.866765625,90.794,0.256390625,0.275,3,64
1,0,32,89.863140625,90.794,0.25628125,0.275,4,64
1,0,33,89.891875,90.794,0.2565,0.275,3,64
1,0,34,89.87742187500001,90.794,0.25628125,0.275,2,64
1,0,35,89.895375,90.794,0.25631249999999994,0.275,6,64
1,0,36,89.90256250000002,90.794,0.25571875,0.275,3,64
1,0,37,89.89525,90.794,0.25521875,0.275,3,64
1,0,38,89.920390625,90.794,0.25549999999999995,0.275,4,64
1,0,39,89.91321875,90.794,0.2551875,0.275,5,64
1,0,40,89.927515625,90.794,0.255015625,0.275,3,64
1,0,41,89.916734375,90.794,0.25471875,0.275,2,64
1,0,42,89.916734375,90.794,0.254640625,0.275,6,64
1,0,43,89.93476562499998,90.794,0.25470312500000003,0.275,2,64
1,0,44,89.902484375,90.794,0.254328125,0.275,6,64
1,0,45,89.9205,90.794,0.254046875,0.275,7,64
1,0,46,89.927671875,90.794,0.253546875,0.275,5,64
1,0,47,89.895359375,90.794,0.253359375,0.275,3,64
