seed,dataset,generation,avg_accuracy,max_accuracy,avg_similarity,max_similarity,new_selected,population
1,0,1,88.17001562499999,89.874,0.28156249999999994,0.304,40,64
1,0,2,89.01940625,90.564,0.27328125000000003,0.292,42,64
1,0,3,89.60771875,90.794,0.26728125,0.292,35,64
1,0,4,89.90546875000001,90.794,0.260953125,0.292,30,64
1,0,5,89.93089062499999,90.794,0.2551875,0.276,26,64
1,0,6,90.0030625,90.794,0.25293750000000004,0.276,23,64
1,0,7,89.95287499999999,90.794,0.250828125,0.273,23,64
1,0,8,89.97790624999999,91.024,0.24937499999999996,0.269,16,64
1,0,9,90.06040625,91.024,0.249234375,0.269,17,64
1,0,10,90.200625,91.024,0.249171875,0.269,14,64
1,0,11,90.243703125,91.024,0.247515625,0.269,29,64
1,0,12,90.23275,91.024,0.24421874999999998,0.274,21,64
1,0,13,90.157421875,91.024,0.241515625,0.274,24,64
1,0,14,90.322828125,91.024,0.241171875,0.274,16,64
1,0,15,90.29771875,91.024,0.239671875,0.274,17,64
1,0,16,90.34798437500001,91.024,0.2394375,0.274,14,64
1,0,17,90.3840625,91.024,0.238375,0.27,9,64
1,0,18,90.380515625,91.024,0.23809375,0.27,12,64
1,0,19,90.34451562499999,91.024,0.23734375000000002,0.27,15,64
1,0,20,90.39471875,91.024,0.23721875,0.27,10,64
1,0,21,90.40185937499999,91.024,0.237328125,0.27,11,64
1,0,22,90.34790625,91.024,0.23679687500000002,0.27,10,64
1,0,23,90.34796874999998,91.024,0.235421875,0.269,13,64
1,0,24,90.3119375,91.024,0.23423437500000002,0.266,12,64
1,0,25,90.36953125,91.024,0.23425,0.266,12,64
1,0,26,90.43440625,91.024,0.23390625,0.265,12,64
1,0,27,90.408875,91.024,0.232921875,0.261,11,64
1,0,28,90.39090625,91.254,0.23262500000000003,0.261,9,64
1,0,29,90.408921875,91.254,0.2325625,0.261,9,64
1,0,30,90.41262499999999,91.254,0.231453125,0.259,9,64
1,0,31,90.44860937499999,91.254,0.230796875,0.258,10,64
1,0,32,90.445046875,91.254,0.23045312500000004,0.258,7,64
1,0,33,90.47381250000001,91.254,0.22990625000000003,0.258,11,64
1,0,34,90.44515625,91.254,0.22932812500000002,0.258,10,64
1,0,35,90.427515625,91.254,0.228703125,0.258,9,64
1,0,36,90.40596875,91.254,0.22846875,0.258,10,64
1,0,37,90.456234375,91.254,0.22826562500000003,0.258,8,64
1,0,38,90.43464062499999,91.254,0.22804687500000004,0.258,6,64
1,0,39,90.441828125,91.254,0.22792187500000002,0.258,3,64
1,0,40,90.470578125,91.254,0.22804687499999998,0.258,3,64
1,0,41,90.47065624999999,91.254,0.227828125,0.258,9,64
1,0,42,90.4526875,91.254,0.22750000000000004,0.258,4,64
1,0,43,90.4383125,91.254,0.22728125000000002,0.258,8,64
1,0,44,90.44909375,91.254,0.227109375,0.258,10,64
1,0,45,90.4059375,91.254,0.226640625,0.258,10,64
1,0,46,90.38796875,91.254,0.22637500000000002,0.258,3,64
1,0,47,90.3951875,91.254,0.22648437500000002,0.258,2,64
1,0,48,90.37721875,91.254,0.22640625000000003,0.258,3,64
1,0,49,90.3700625,91.254,0.226203125,0.258,10,64
1,0,50,90.46709375,91.254,0.22684375,0.258,5,64
1,0,51,90.459953125,91.254,0.22653125000000002,0.258,4,64
1,0,52,90.452765625,91.254,0.2265,0.258,6,64
1,0,53,90.49587499999998,91.254,0.22648437500000002,0.258,9,64
1,0,54,90.5174375,91.254,0.226796875,0.264,9,64
1,0,55,90.54628124999999,91.254,0.227828125,0.264,5,64
1,0,56,90.5426875,91.254,0.22712500000000002,0.264,5,64
