num_levels,num_features,vector_dimension,binning_mode,bipolar_mode,precomputed_item_memory,use_genetic_item_memory,ga_selection_mode,ga_mutation_rate,n_gram_size,window,downsample,validation_ratio,overall_accuracy,class_average_accuracy,class_vector_similarity,correct,not_correct,transition_error,total,info
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.77829099,0.77864207,0.71289062,337,96,0,433,"model=mine,scope=dataset,dataset=1,phase=advanced-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.64137931,0.64137931,0.71289062,186,104,0,290,"model=mine,scope=dataset,dataset=1,phase=advanced-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.77829099,0.77864207,0.71289062,337,96,0,433,"model=mine,scope=dataset,dataset=1,phase=preopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.64137931,0.64137931,0.71289062,186,104,0,290,"model=mine,scope=dataset,dataset=1,phase=preopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.83371824,0.83434910,0.66757813,361,72,0,433,"model=mine,scope=dataset,dataset=1,phase=postopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.64482759,0.64482759,0.66757813,187,103,0,290,"model=mine,scope=dataset,dataset=1,phase=postopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.77829099,0.77864207,0.71289062,0,0,0,0,"model=mine,scope=overall,phase=advanced-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.64137931,0.64137931,0.71289062,0,0,0,0,"model=mine,scope=overall,phase=advanced-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.77829099,0.77864207,0.71289062,0,0,0,0,"model=mine,scope=overall,phase=preopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.64137931,0.64137931,0.71289062,0,0,0,0,"model=mine,scope=overall,phase=preopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.64482759,0.64482759,0.66757813,187,103,0,290,"model=mine,scope=overall,phase=postopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.83371824,0.83434910,0.66757813,0,0,0,0,"model=mine,scope=overall,phase=postopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.77829099,0.77864207,0.71289062,337,96,0,433,"model=mine,scope=dataset,dataset=1,phase=advanced-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.64137931,0.64137931,0.71289062,186,104,0,290,"model=mine,scope=dataset,dataset=1,phase=advanced-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.77829099,0.77864207,0.71289062,337,96,0,433,"model=mine,scope=dataset,dataset=1,phase=preopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.64137931,0.64137931,0.71289062,186,104,0,290,"model=mine,scope=dataset,dataset=1,phase=preopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.82678984,0.82739909,0.69921875,358,75,0,433,"model=mine,scope=dataset,dataset=1,phase=postopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.68965517,0.68965517,0.69921875,200,90,0,290,"model=mine,scope=dataset,dataset=1,phase=postopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.77829099,0.77864207,0.71289062,0,0,0,0,"model=mine,scope=overall,phase=advanced-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.64137931,0.64137931,0.71289062,0,0,0,0,"model=mine,scope=overall,phase=advanced-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.77829099,0.77864207,0.71289062,0,0,0,0,"model=mine,scope=overall,phase=preopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.64137931,0.64137931,0.71289062,0,0,0,0,"model=mine,scope=overall,phase=preopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.68965517,0.68965517,0.69921875,200,90,0,290,"model=mine,scope=overall,phase=postopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.82678984,0.82739909,0.69921875,0,0,0,0,"model=mine,scope=overall,phase=postopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.77829099,0.77864207,0.71289062,337,96,0,433,"model=mine,scope=dataset,dataset=1,phase=advanced-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.64137931,0.64137931,0.71289062,186,104,0,290,"model=mine,scope=dataset,dataset=1,phase=advanced-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.77829099,0.77864207,0.71289062,337,96,0,433,"model=mine,scope=dataset,dataset=1,phase=preopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.64137931,0.64137931,0.71289062,186,104,0,290,"model=mine,scope=dataset,dataset=1,phase=preopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.90531178,0.90539963,0.74101562,392,41,0,433,"model=mine,scope=dataset,dataset=1,phase=postopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.70344828,0.70344828,0.74101562,204,86,0,290,"model=mine,scope=dataset,dataset=1,phase=postopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.77829099,0.77864207,0.71289062,0,0,0,0,"model=mine,scope=overall,phase=advanced-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.64137931,0.64137931,0.71289062,0,0,0,0,"model=mine,scope=overall,phase=advanced-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.77829099,0.77864207,0.71289062,0,0,0,0,"model=mine,scope=overall,phase=preopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.64137931,0.64137931,0.71289062,0,0,0,0,"model=mine,scope=overall,phase=preopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.70344828,0.70344828,0.74101562,204,86,0,290,"model=mine,scope=overall,phase=postopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.90531178,0.90539963,0.74101562,0,0,0,0,"model=mine,scope=overall,phase=postopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.77829099,0.77864207,0.71289062,337,96,0,433,"model=mine,scope=dataset,dataset=1,phase=advanced-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.64137931,0.64137931,0.71289062,186,104,0,290,"model=mine,scope=dataset,dataset=1,phase=advanced-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.77829099,0.77864207,0.71289062,337,96,0,433,"model=mine,scope=dataset,dataset=1,phase=preopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.64137931,0.64137931,0.71289062,186,104,0,290,"model=mine,scope=dataset,dataset=1,phase=preopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.82448037,0.82510024,0.71523437,357,76,0,433,"model=mine,scope=dataset,dataset=1,phase=postopt-validation"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.64137931,0.64137931,0.71523437,186,104,0,290,"model=mine,scope=dataset,dataset=1,phase=postopt-test"
30,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.77829099,0.77864207,0.71289062,0,0,0,0,"model=mine,scope=overall,phase=advanced-validation"
