num_levels,num_features,vector_dimension,binning_mode,bipolar_mode,precomputed_item_memory,use_genetic_item_memory,ga_selection_mode,ga_mutation_rate,n_gram_size,window,downsample,validation_ratio,overall_accuracy,class_average_accuracy,class_vector_similarity,correct,not_correct,transition_error,total,info
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.96766744,0.96781609,0.76640625,419,14,0,433,"model=mine,scope=dataset,dataset=1,phase=advanced-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.93103448,0.93103448,0.76640625,270,20,0,290,"model=mine,scope=dataset,dataset=1,phase=advanced-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.96766744,0.96781609,0.76640625,419,14,0,433,"model=mine,scope=dataset,dataset=1,phase=preopt-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.93103448,0.93103448,0.76640625,270,20,0,290,"model=mine,scope=dataset,dataset=1,phase=preopt-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,1.00000000,1.00000000,0.61523438,433,0,0,433,"model=mine,scope=dataset,dataset=1,phase=postopt-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.95862069,0.95862069,0.61523438,278,12,0,290,"model=mine,scope=dataset,dataset=1,phase=postopt-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.96766744,0.96781609,0.76640625,0,0,0,0,"model=mine,scope=overall,phase=advanced-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.93103448,0.93103448,0.76640625,0,0,0,0,"model=mine,scope=overall,phase=advanced-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.96766744,0.96781609,0.76640625,0,0,0,0,"model=mine,scope=overall,phase=preopt-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.93103448,0.93103448,0.76640625,0,0,0,0,"model=mine,scope=overall,phase=preopt-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.95862069,0.95862069,0.61523438,278,12,0,290,"model=mine,scope=overall,phase=postopt-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,1.00000000,1.00000000,0.61523438,0,0,0,0,"model=mine,scope=overall,phase=postopt-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.96766744,0.96781609,0.76640625,419,14,0,433,"model=mine,scope=dataset,dataset=1,phase=advanced-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.93103448,0.93103448,0.76640625,270,20,0,290,"model=mine,scope=dataset,dataset=1,phase=advanced-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.96766744,0.96781609,0.76640625,419,14,0,433,"model=mine,scope=dataset,dataset=1,phase=preopt-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.93103448,0.93103448,0.76640625,270,20,0,290,"model=mine,scope=dataset,dataset=1,phase=preopt-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,1.00000000,1.00000000,0.70156250,433,0,0,433,"model=mine,scope=dataset,dataset=1,phase=postopt-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.96206897,0.96206897,0.70156250,279,11,0,290,"model=mine,scope=dataset,dataset=1,phase=postopt-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.96766744,0.96781609,0.76640625,0,0,0,0,"model=mine,scope=overall,phase=advanced-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.93103448,0.93103448,0.76640625,0,0,0,0,"model=mine,scope=overall,phase=advanced-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.96766744,0.96781609,0.76640625,0,0,0,0,"model=mine,scope=overall,phase=preopt-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.93103448,0.93103448,0.76640625,0,0,0,0,"model=mine,scope=overall,phase=preopt-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.96206897,0.96206897,0.70156250,279,11,0,290,"model=mine,scope=overall,phase=postopt-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,1.00000000,1.00000000,0.70156250,0,0,0,0,"model=mine,scope=overall,phase=postopt-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.96766744,0.96781609,0.76640625,419,14,0,433,"model=mine,scope=dataset,dataset=1,phase=advanced-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.93103448,0.93103448,0.76640625,270,20,0,290,"model=mine,scope=dataset,dataset=1,phase=advanced-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.96766744,0.96781609,0.76640625,419,14,0,433,"model=mine,scope=dataset,dataset=1,phase=preopt-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.93103448,0.93103448,0.76640625,270,20,0,290,"model=mine,scope=dataset,dataset=1,phase=preopt-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,1.00000000,1.00000000,0.70429688,433,0,0,433,"model=mine,scope=dataset,dataset=1,phase=postopt-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.98275862,0.98275862,0.70429688,285,5,0,290,"model=mine,scope=dataset,dataset=1,phase=postopt-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.96766744,0.96781609,0.76640625,0,0,0,0,"model=mine,scope=overall,phase=advanced-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.93103448,0.93103448,0.76640625,0,0,0,0,"model=mine,scope=overall,phase=advanced-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.96766744,0.96781609,0.76640625,0,0,0,0,"model=mine,scope=overall,phase=preopt-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.93103448,0.93103448,0.76640625,0,0,0,0,"model=mine,scope=overall,phase=preopt-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.98275862,0.98275862,0.70429688,285,5,0,290,"model=mine,scope=overall,phase=postopt-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,1.00000000,1.00000000,0.70429688,0,0,0,0,"model=mine,scope=overall,phase=postopt-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.96766744,0.96781609,0.76640625,419,14,0,433,"model=mine,scope=dataset,dataset=1,phase=advanced-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.93103448,0.93103448,0.76640625,270,20,0,290,"model=mine,scope=dataset,dataset=1,phase=advanced-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.96766744,0.96781609,0.76640625,419,14,0,433,"model=mine,scope=dataset,dataset=1,phase=preopt-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.93103448,0.93103448,0.76640625,270,20,0,290,"model=mine,scope=dataset,dataset=1,phase=preopt-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,1.00000000,1.00000000,0.68476563,433,0,0,433,"model=mine,scope=dataset,dataset=1,phase=postopt-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.90344828,0.90344828,0.68476563,262,28,0,290,"model=mine,scope=dataset,dataset=1,phase=postopt-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.96766744,0.96781609,0.76640625,0,0,0,0,"model=mine,scope=overall,phase=advanced-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.93103448,0.93103448,0.76640625,0,0,0,0,"model=mine,scope=overall,phase=advanced-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.96766744,0.96781609,0.76640625,0,0,0,0,"model=mine,scope=overall,phase=preopt-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.93103448,0.93103448,0.76640625,0,0,0,0,"model=mine,scope=overall,phase=preopt-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.90344828,0.90344828,0.68476563,262,28,0,290,"model=mine,scope=overall,phase=postopt-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,1.00000000,1.00000000,0.68476563,0,0,0,0,"model=mine,scope=overall,phase=postopt-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.96766744,0.96781609,0.76640625,419,14,0,433,"model=mine,scope=dataset,dataset=1,phase=advanced-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.93103448,0.93103448,0.76640625,270,20,0,290,"model=mine,scope=dataset,dataset=1,phase=advanced-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.96766744,0.96781609,0.76640625,419,14,0,433,"model=mine,scope=dataset,dataset=1,phase=preopt-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.93103448,0.93103448,0.76640625,270,20,0,290,"model=mine,scope=dataset,dataset=1,phase=preopt-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,1.00000000,1.00000000,0.68984375,433,0,0,433,"model=mine,scope=dataset,dataset=1,phase=postopt-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.94482759,0.94482759,0.68984375,274,16,0,290,"model=mine,scope=dataset,dataset=1,phase=postopt-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.96766744,0.96781609,0.76640625,0,0,0,0,"model=mine,scope=overall,phase=advanced-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.93103448,0.93103448,0.76640625,0,0,0,0,"model=mine,scope=overall,phase=advanced-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.96766744,0.96781609,0.76640625,0,0,0,0,"model=mine,scope=overall,phase=preopt-validation"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.93103448,0.93103448,0.76640625,0,0,0,0,"model=mine,scope=overall,phase=preopt-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,0.94482759,0.94482759,0.68984375,274,16,0,290,"model=mine,scope=overall,phase=postopt-test"
100,32,1024,0,0,1,1,0,0.200000,3,100,1,0.300000,1.00000000,1.00000000,0.68984375,0,0,0,0,"model=mine,scope=overall,phase=postopt-validation"
