seed,dataset,generation,new_selected,population
1,0,1,73.0,128.0
1,0,2,54.0,128.0
1,0,3,42.0,128.0
1,0,4,25.0,128.0
1,0,5,34.0,128.0
1,0,6,25.0,128.0
1,0,7,23.0,128.0
1,0,8,27.0,128.0
1,0,9,23.0,128.0
1,0,10,20.0,128.0
1,0,11,15.0,128.0
1,0,12,15.0,128.0
1,0,13,16.0,128.0
1,0,14,13.0,128.0
1,0,15,15.0,128.0
1,0,16,15.0,128.0
1,0,17,10.0,128.0
1,0,18,10.0,128.0
1,0,19,8.0,128.0
1,0,20,16.0,128.0
1,0,21,9.0,128.0
1,0,22,13.0,128.0
1,0,23,19.0,128.0
1,0,24,12.0,128.0
1,0,25,12.0,128.0
1,0,26,14.0,128.0
1,0,27,9.0,128.0
1,0,28,13.0,128.0
1,0,29,6.0,128.0
1,0,30,8.0,128.0
1,0,31,8.0,128.0
1,0,32,11.0,128.0
1,0,33,8.0,128.0
1,0,34,8.0,128.0
1,0,35,6.0,128.0
1,0,36,8.0,128.0
1,0,37,7.0,128.0
1,0,38,11.0,128.0
1,0,39,9.0,128.0
1,0,40,8.0,128.0
1,0,41,8.0,128.0
1,0,42,8.0,128.0
1,0,43,6.0,128.0
1,0,44,6.0,128.0
1,0,45,3.0,128.0
1,0,46,5.0,128.0
1,0,47,12.0,128.0
1,0,48,8.0,128.0
1,0,49,4.0,128.0
1,0,50,6.0,128.0
1,0,51,5.0,128.0
1,0,52,8.0,128.0
1,0,53,11.0,128.0
1,0,54,3.0,128.0
1,0,55,8.0,128.0
1,0,56,6.0,128.0
1,0,57,6.0,128.0
1,0,58,6.0,128.0
1,0,59,5.0,128.0
1,0,60,4.0,128.0
1,0,61,8.0,128.0
1,0,62,7.0,128.0
1,0,63,10.0,128.0
1,0,64,4.0,128.0
1,0,65,4.0,128.0
1,0,66,5.0,128.0
1,0,67,13.0,128.0
1,0,68,6.0,128.0
1,0,69,8.0,128.0
1,0,70,7.0,128.0
1,0,71,7.0,128.0
1,0,72,3.0,128.0
1,0,73,4.0,128.0
1,0,74,4.0,128.0
1,0,75,3.0,128.0
1,0,76,8.0,128.0
1,0,77,4.0,128.0
1,0,78,13.0,128.0
1,0,79,11.0,128.0
1,0,80,10.0,128.0
1,0,81,7.0,128.0
1,0,82,11.0,128.0
1,0,83,11.0,128.0
1,0,84,11.0,128.0
1,0,85,14.0,128.0
1,0,86,11.0,128.0
1,0,87,12.0,128.0
1,0,88,10.0,128.0
