seed,dataset,generation,new_selected,population
1,0,1,75.0,128.0
1,0,2,67.0,128.0
1,0,3,56.0,128.0
1,0,4,44.0,128.0
1,0,5,39.0,128.0
1,0,6,37.0,128.0
1,0,7,33.0,128.0
1,0,8,34.0,128.0
1,0,9,38.0,128.0
1,0,10,27.0,128.0
1,0,11,24.0,128.0
1,0,12,21.0,128.0
1,0,13,27.0,128.0
1,0,14,22.0,128.0
1,0,15,24.0,128.0
1,0,16,27.0,128.0
1,0,17,15.0,128.0
1,0,18,21.0,128.0
1,0,19,24.0,128.0
1,0,20,21.0,128.0
1,0,21,21.0,128.0
1,0,22,25.0,128.0
1,0,23,17.0,128.0
1,0,24,20.0,128.0
1,0,25,18.0,128.0
1,0,26,13.0,128.0
1,0,27,15.0,128.0
1,0,28,13.0,128.0
1,0,29,17.0,128.0
1,0,30,12.0,128.0
1,0,31,13.0,128.0
1,0,32,13.0,128.0
1,0,33,20.0,128.0
1,0,34,22.0,128.0
1,0,35,16.0,128.0
1,0,36,19.0,128.0
1,0,37,9.0,128.0
1,0,38,17.0,128.0
1,0,39,15.0,128.0
1,0,40,20.0,128.0
1,0,41,15.0,128.0
1,0,42,12.0,128.0
1,0,43,17.0,128.0
1,0,44,14.0,128.0
1,0,45,17.0,128.0
1,0,46,20.0,128.0
1,0,47,19.0,128.0
1,0,48,21.0,128.0
1,0,49,19.0,128.0
1,0,50,15.0,128.0
1,0,51,14.0,128.0
1,0,52,15.0,128.0
1,0,53,17.0,128.0
1,0,54,12.0,128.0
1,0,55,16.0,128.0
1,0,56,13.0,128.0
1,0,57,13.0,128.0
1,0,58,18.0,128.0
1,0,59,21.0,128.0
1,0,60,14.0,128.0
1,0,61,11.0,128.0
1,0,62,15.0,128.0
1,0,63,12.0,128.0
1,0,64,12.0,128.0
1,0,65,12.0,128.0
1,0,66,10.0,128.0
1,0,67,10.0,128.0
1,0,68,10.0,128.0
1,0,69,17.0,128.0
1,0,70,7.0,128.0
1,0,71,7.0,128.0
1,0,72,9.0,128.0
1,0,73,7.0,128.0
1,0,74,10.0,128.0
1,0,75,14.0,128.0
1,0,76,15.0,128.0
1,0,77,10.0,128.0
1,0,78,8.0,128.0
1,0,79,9.0,128.0
1,0,80,6.0,128.0
1,0,81,8.0,128.0
1,0,82,10.0,128.0
1,0,83,10.0,128.0
1,0,84,4.0,128.0
1,0,85,9.0,128.0
1,0,86,11.0,128.0
1,0,87,7.0,128.0
1,0,88,6.0,128.0
1,0,89,5.0,128.0
1,0,90,9.0,128.0
1,0,91,7.0,128.0
1,0,92,8.0,128.0
1,0,93,12.0,128.0
1,0,94,6.0,128.0
1,0,95,12.0,128.0
1,0,96,7.0,128.0
1,0,97,7.0,128.0
1,0,98,9.0,128.0
1,0,99,6.0,128.0
1,0,100,7.0,128.0
1,0,101,7.0,128.0
1,0,102,4.0,128.0
1,0,103,3.0,128.0
1,0,104,6.0,128.0
1,0,105,5.0,128.0
1,0,106,8.0,128.0
1,0,107,6.0,128.0
1,0,108,4.0,128.0
1,0,109,4.0,128.0
1,0,110,3.0,128.0
1,0,111,7.0,128.0
1,0,112,6.0,128.0
1,0,113,6.0,128.0
1,0,114,5.0,128.0
1,0,115,5.0,128.0
1,0,116,7.0,128.0
1,0,117,6.0,128.0
1,0,118,2.0,128.0
1,0,119,2.0,128.0
1,0,120,9.0,128.0
1,0,121,3.0,128.0
1,0,122,5.0,128.0
1,0,123,12.0,128.0
1,0,124,4.0,128.0
1,0,125,8.0,128.0
1,0,126,7.0,128.0
1,0,127,6.0,128.0
1,0,128,1.0,128.0
2,0,1,77.0,128.0
2,0,2,67.0,128.0
2,0,3,59.0,128.0
2,0,4,58.0,128.0
2,0,5,56.0,128.0
2,0,6,56.0,128.0
2,0,7,40.0,128.0
2,0,8,44.0,128.0
2,0,9,37.0,128.0
2,0,10,36.0,128.0
2,0,11,41.0,128.0
2,0,12,35.0,128.0
2,0,13,38.0,128.0
2,0,14,33.0,128.0
2,0,15,30.0,128.0
2,0,16,32.0,128.0
2,0,17,31.0,128.0
2,0,18,36.0,128.0
2,0,19,36.0,128.0
2,0,20,24.0,128.0
2,0,21,34.0,128.0
2,0,22,34.0,128.0
2,0,23,25.0,128.0
2,0,24,19.0,128.0
2,0,25,33.0,128.0
2,0,26,17.0,128.0
2,0,27,25.0,128.0
2,0,28,21.0,128.0
2,0,29,27.0,128.0
2,0,30,18.0,128.0
2,0,31,15.0,128.0
2,0,32,18.0,128.0
2,0,33,13.0,128.0
2,0,34,17.0,128.0
2,0,35,15.0,128.0
2,0,36,14.0,128.0
2,0,37,17.0,128.0
2,0,38,12.0,128.0
2,0,39,16.0,128.0
2,0,40,17.0,128.0
2,0,41,14.0,128.0
2,0,42,11.0,128.0
2,0,43,9.0,128.0
2,0,44,13.0,128.0
2,0,45,14.0,128.0
2,0,46,14.0,128.0
2,0,47,18.0,128.0
2,0,48,12.0,128.0
2,0,49,13.0,128.0
2,0,50,15.0,128.0
2,0,51,13.0,128.0
2,0,52,11.0,128.0
2,0,53,8.0,128.0
2,0,54,11.0,128.0
2,0,55,13.0,128.0
2,0,56,9.0,128.0
2,0,57,14.0,128.0
2,0,58,6.0,128.0
2,0,59,6.0,128.0
2,0,60,10.0,128.0
2,0,61,11.0,128.0
2,0,62,4.0,128.0
2,0,63,11.0,128.0
2,0,64,7.0,128.0
2,0,65,11.0,128.0
2,0,66,6.0,128.0
2,0,67,11.0,128.0
2,0,68,5.0,128.0
2,0,69,10.0,128.0
2,0,70,8.0,128.0
2,0,71,9.0,128.0
2,0,72,7.0,128.0
2,0,73,10.0,128.0
2,0,74,9.0,128.0
2,0,75,15.0,128.0
2,0,76,6.0,128.0
2,0,77,11.0,128.0
2,0,78,6.0,128.0
2,0,79,8.0,128.0
2,0,80,7.0,128.0
2,0,81,6.0,128.0
2,0,82,5.0,128.0
2,0,83,10.0,128.0
2,0,84,4.0,128.0
2,0,85,4.0,128.0
2,0,86,4.0,128.0
2,0,87,7.0,128.0
2,0,88,9.0,128.0
2,0,89,6.0,128.0
2,0,90,1.0,128.0
2,0,91,5.0,128.0
2,0,92,9.0,128.0
2,0,93,9.0,128.0
2,0,94,2.0,128.0
2,0,95,6.0,128.0
2,0,96,6.0,128.0
2,0,97,5.0,128.0
2,0,98,4.0,128.0
2,0,99,3.0,128.0
2,0,100,4.0,128.0
2,0,101,5.0,128.0
2,0,102,10.0,128.0
2,0,103,2.0,128.0
2,0,104,6.0,128.0
2,0,105,5.0,128.0
2,0,106,5.0,128.0
2,0,107,4.0,128.0
2,0,108,6.0,128.0
2,0,109,4.0,128.0
2,0,110,3.0,128.0
2,0,111,4.0,128.0
2,0,112,5.0,128.0
2,0,113,2.0,128.0
2,0,114,6.0,128.0
2,0,115,5.0,128.0
2,0,116,4.0,128.0
2,0,117,4.0,128.0
2,0,118,0.0,128.0
2,0,119,4.0,128.0
2,0,120,4.0,128.0
2,0,121,3.0,128.0
2,0,122,5.0,128.0
2,0,123,1.0,128.0
2,0,124,4.0,128.0
2,0,125,4.0,128.0
2,0,126,3.0,128.0
2,0,127,0.0,128.0
2,0,128,3.0,128.0
3,0,1,73.0,128.0
3,0,2,57.0,128.0
3,0,3,45.0,128.0
3,0,4,42.0,128.0
3,0,5,45.0,128.0
3,0,6,36.0,128.0
3,0,7,47.0,128.0
3,0,8,44.0,128.0
3,0,9,36.0,128.0
3,0,10,38.0,128.0
3,0,11,25.0,128.0
3,0,12,37.0,128.0
3,0,13,36.0,128.0
3,0,14,33.0,128.0
3,0,15,30.0,128.0
3,0,16,27.0,128.0
3,0,17,23.0,128.0
3,0,18,20.0,128.0
3,0,19,18.0,128.0
3,0,20,27.0,128.0
3,0,21,24.0,128.0
3,0,22,21.0,128.0
3,0,23,15.0,128.0
3,0,24,12.0,128.0
3,0,25,17.0,128.0
3,0,26,20.0,128.0
3,0,27,12.0,128.0
3,0,28,15.0,128.0
3,0,29,17.0,128.0
3,0,30,21.0,128.0
3,0,31,14.0,128.0
3,0,32,10.0,128.0
3,0,33,9.0,128.0
3,0,34,11.0,128.0
3,0,35,9.0,128.0
3,0,36,12.0,128.0
3,0,37,11.0,128.0
3,0,38,13.0,128.0
3,0,39,7.0,128.0
3,0,40,7.0,128.0
3,0,41,10.0,128.0
3,0,42,11.0,128.0
3,0,43,9.0,128.0
3,0,44,9.0,128.0
3,0,45,18.0,128.0
3,0,46,8.0,128.0
3,0,47,10.0,128.0
3,0,48,9.0,128.0
3,0,49,13.0,128.0
3,0,50,14.0,128.0
3,0,51,14.0,128.0
3,0,52,11.0,128.0
3,0,53,9.0,128.0
3,0,54,9.0,128.0
3,0,55,11.0,128.0
3,0,56,10.0,128.0
3,0,57,4.0,128.0
3,0,58,14.0,128.0
3,0,59,12.0,128.0
3,0,60,8.0,128.0
3,0,61,13.0,128.0
3,0,62,9.0,128.0
3,0,63,11.0,128.0
3,0,64,16.0,128.0
3,0,65,16.0,128.0
3,0,66,16.0,128.0
3,0,67,5.0,128.0
3,0,68,17.0,128.0
3,0,69,11.0,128.0
3,0,70,12.0,128.0
3,0,71,10.0,128.0
3,0,72,11.0,128.0
3,0,73,14.0,128.0
3,0,74,14.0,128.0
3,0,75,10.0,128.0
3,0,76,7.0,128.0
3,0,77,12.0,128.0
3,0,78,14.0,128.0
3,0,79,9.0,128.0
3,0,80,10.0,128.0
3,0,81,8.0,128.0
3,0,82,7.0,128.0
3,0,83,9.0,128.0
3,0,84,12.0,128.0
3,0,85,6.0,128.0
3,0,86,10.0,128.0
3,0,87,8.0,128.0
3,0,88,9.0,128.0
3,0,89,10.0,128.0
3,0,90,9.0,128.0
3,0,91,10.0,128.0
3,0,92,12.0,128.0
3,0,93,11.0,128.0
3,0,94,3.0,128.0
3,0,95,8.0,128.0
3,0,96,7.0,128.0
3,0,97,7.0,128.0
3,0,98,6.0,128.0
3,0,99,10.0,128.0
3,0,100,12.0,128.0
3,0,101,9.0,128.0
3,0,102,15.0,128.0
3,0,103,11.0,128.0
3,0,104,7.0,128.0
3,0,105,11.0,128.0
3,0,106,14.0,128.0
3,0,107,10.0,128.0
3,0,108,9.0,128.0
3,0,109,8.0,128.0
3,0,110,15.0,128.0
3,0,111,10.0,128.0
3,0,112,11.0,128.0
3,0,113,8.0,128.0
3,0,114,11.0,128.0
3,0,115,8.0,128.0
3,0,116,2.0,128.0
3,0,117,3.0,128.0
3,0,118,9.0,128.0
3,0,119,9.0,128.0
3,0,120,3.0,128.0
3,0,121,6.0,128.0
3,0,122,6.0,128.0
3,0,123,10.0,128.0
3,0,124,5.0,128.0
3,0,125,10.0,128.0
3,0,126,8.0,128.0
3,0,127,7.0,128.0
3,0,128,11.0,128.0
