seed,dataset,generation,new_selected,population
1,0,1,74.0,128.0
1,0,2,57.0,128.0
1,0,3,41.0,128.0
1,0,4,37.0,128.0
1,0,5,38.0,128.0
1,0,6,34.0,128.0
1,0,7,37.0,128.0
1,0,8,33.0,128.0
1,0,9,25.0,128.0
1,0,10,34.0,128.0
1,0,11,30.0,128.0
1,0,12,31.0,128.0
1,0,13,29.0,128.0
1,0,14,27.0,128.0
1,0,15,31.0,128.0
1,0,16,36.0,128.0
1,0,17,25.0,128.0
1,0,18,24.0,128.0
1,0,19,23.0,128.0
1,0,20,26.0,128.0
1,0,21,20.0,128.0
1,0,22,20.0,128.0
1,0,23,18.0,128.0
1,0,24,20.0,128.0
1,0,25,27.0,128.0
1,0,26,27.0,128.0
1,0,27,22.0,128.0
1,0,28,19.0,128.0
1,0,29,24.0,128.0
1,0,30,23.0,128.0
1,0,31,15.0,128.0
1,0,32,24.0,128.0
1,0,33,22.0,128.0
1,0,34,17.0,128.0
1,0,35,11.0,128.0
1,0,36,15.0,128.0
1,0,37,24.0,128.0
1,0,38,21.0,128.0
1,0,39,18.0,128.0
1,0,40,15.0,128.0
1,0,41,19.0,128.0
1,0,42,15.0,128.0
1,0,43,14.0,128.0
1,0,44,18.0,128.0
1,0,45,16.0,128.0
1,0,46,16.0,128.0
1,0,47,12.0,128.0
1,0,48,13.0,128.0
1,0,49,15.0,128.0
1,0,50,20.0,128.0
1,0,51,13.0,128.0
1,0,52,17.0,128.0
1,0,53,15.0,128.0
1,0,54,26.0,128.0
1,0,55,19.0,128.0
1,0,56,23.0,128.0
1,0,57,23.0,128.0
1,0,58,17.0,128.0
1,0,59,21.0,128.0
1,0,60,24.0,128.0
1,0,61,20.0,128.0
1,0,62,22.0,128.0
1,0,63,19.0,128.0
1,0,64,18.0,128.0
1,0,65,19.0,128.0
1,0,66,21.0,128.0
1,0,67,15.0,128.0
1,0,68,18.0,128.0
1,0,69,20.0,128.0
1,0,70,20.0,128.0
1,0,71,18.0,128.0
1,0,72,11.0,128.0
1,0,73,13.0,128.0
1,0,74,12.0,128.0
1,0,75,13.0,128.0
1,0,76,12.0,128.0
1,0,77,21.0,128.0
1,0,78,13.0,128.0
1,0,79,13.0,128.0
1,0,80,13.0,128.0
1,0,81,11.0,128.0
1,0,82,12.0,128.0
1,0,83,10.0,128.0
1,0,84,10.0,128.0
1,0,85,17.0,128.0
1,0,86,11.0,128.0
1,0,87,11.0,128.0
1,0,88,7.0,128.0
1,0,89,17.0,128.0
1,0,90,16.0,128.0
1,0,91,23.0,128.0
1,0,92,13.0,128.0
1,0,93,20.0,128.0
1,0,94,17.0,128.0
1,0,95,22.0,128.0
1,0,96,14.0,128.0
1,0,97,16.0,128.0
1,0,98,12.0,128.0
1,0,99,14.0,128.0
1,0,100,11.0,128.0
1,0,101,15.0,128.0
1,0,102,16.0,128.0
1,0,103,15.0,128.0
1,0,104,17.0,128.0
1,0,105,12.0,128.0
1,0,106,10.0,128.0
1,0,107,12.0,128.0
1,0,108,9.0,128.0
1,0,109,13.0,128.0
1,0,110,11.0,128.0
1,0,111,8.0,128.0
1,0,112,6.0,128.0
1,0,113,12.0,128.0
1,0,114,19.0,128.0
1,0,115,15.0,128.0
1,0,116,4.0,128.0
1,0,117,8.0,128.0
1,0,118,13.0,128.0
1,0,119,12.0,128.0
1,0,120,7.0,128.0
1,0,121,8.0,128.0
1,0,122,8.0,128.0
1,0,123,9.0,128.0
1,0,124,10.0,128.0
1,0,125,7.0,128.0
1,0,126,8.0,128.0
1,0,127,9.0,128.0
1,0,128,9.0,128.0
2,0,1,73.0,128.0
2,0,2,67.0,128.0
2,0,3,52.0,128.0
2,0,4,47.0,128.0
2,0,5,44.0,128.0
2,0,6,43.0,128.0
2,0,7,36.0,128.0
2,0,8,36.0,128.0
2,0,9,38.0,128.0
2,0,10,29.0,128.0
2,0,11,34.0,128.0
2,0,12,34.0,128.0
2,0,13,21.0,128.0
2,0,14,23.0,128.0
2,0,15,25.0,128.0
2,0,16,27.0,128.0
2,0,17,20.0,128.0
2,0,18,21.0,128.0
2,0,19,26.0,128.0
2,0,20,11.0,128.0
2,0,21,14.0,128.0
2,0,22,28.0,128.0
2,0,23,25.0,128.0
2,0,24,23.0,128.0
