seed,dataset,generation,new_selected,population
1,0,1,74.0,128.0
1,0,2,52.0,128.0
1,0,3,40.0,128.0
1,0,4,39.0,128.0
1,0,5,36.0,128.0
1,0,6,32.0,128.0
1,0,7,30.0,128.0
1,0,8,20.0,128.0
1,0,9,26.0,128.0
1,0,10,27.0,128.0
1,0,11,17.0,128.0
1,0,12,24.0,128.0
1,0,13,16.0,128.0
1,0,14,10.0,128.0
1,0,15,15.0,128.0
1,0,16,13.0,128.0
1,0,17,15.0,128.0
1,0,18,11.0,128.0
1,0,19,6.0,128.0
1,0,20,12.0,128.0
1,0,21,13.0,128.0
1,0,22,5.0,128.0
1,0,23,3.0,128.0
1,0,24,4.0,128.0
1,0,25,10.0,128.0
1,0,26,9.0,128.0
1,0,27,16.0,128.0
1,0,28,9.0,128.0
1,0,29,9.0,128.0
1,0,30,9.0,128.0
1,0,31,11.0,128.0
1,0,32,9.0,128.0
1,0,33,7.0,128.0
1,0,34,7.0,128.0
1,0,35,4.0,128.0
1,0,36,10.0,128.0
1,0,37,2.0,128.0
1,0,38,8.0,128.0
1,0,39,5.0,128.0
1,0,40,7.0,128.0
1,0,41,5.0,128.0
1,0,42,6.0,128.0
1,0,43,6.0,128.0
1,0,44,4.0,128.0
1,0,45,7.0,128.0
1,0,46,9.0,128.0
1,0,47,12.0,128.0
1,0,48,11.0,128.0
1,0,49,7.0,128.0
1,0,50,6.0,128.0
1,0,51,9.0,128.0
1,0,52,10.0,128.0
1,0,53,10.0,128.0
1,0,54,7.0,128.0
1,0,55,7.0,128.0
1,0,56,5.0,128.0
1,0,57,6.0,128.0
1,0,58,8.0,128.0
1,0,59,8.0,128.0
1,0,60,9.0,128.0
1,0,61,7.0,128.0
1,0,62,9.0,128.0
1,0,63,6.0,128.0
1,0,64,10.0,128.0
1,0,65,6.0,128.0
1,0,66,9.0,128.0
1,0,67,6.0,128.0
1,0,68,9.0,128.0
1,0,69,8.0,128.0
1,0,70,9.0,128.0
1,0,71,7.0,128.0
1,0,72,6.0,128.0
1,0,73,9.0,128.0
1,0,74,7.0,128.0
1,0,75,8.0,128.0
1,0,76,6.0,128.0
1,0,77,12.0,128.0
1,0,78,14.0,128.0
1,0,79,13.0,128.0
1,0,80,9.0,128.0
1,0,81,12.0,128.0
1,0,82,22.0,128.0
1,0,83,11.0,128.0
1,0,84,13.0,128.0
1,0,85,10.0,128.0
1,0,86,13.0,128.0
1,0,87,16.0,128.0
1,0,88,20.0,128.0
1,0,89,13.0,128.0
1,0,90,21.0,128.0
1,0,91,18.0,128.0
1,0,92,19.0,128.0
1,0,93,20.0,128.0
1,0,94,18.0,128.0
1,0,95,12.0,128.0
1,0,96,14.0,128.0
1,0,97,18.0,128.0
1,0,98,13.0,128.0
1,0,99,14.0,128.0
1,0,100,18.0,128.0
1,0,101,17.0,128.0
1,0,102,18.0,128.0
1,0,103,18.0,128.0
1,0,104,19.0,128.0
1,0,105,13.0,128.0
1,0,106,17.0,128.0
1,0,107,18.0,128.0
1,0,108,25.0,128.0
1,0,109,16.0,128.0
1,0,110,15.0,128.0
1,0,111,15.0,128.0
1,0,112,14.0,128.0
1,0,113,20.0,128.0
1,0,114,16.0,128.0
1,0,115,16.0,128.0
1,0,116,24.0,128.0
1,0,117,23.0,128.0
1,0,118,25.0,128.0
1,0,119,20.0,128.0
1,0,120,22.0,128.0
1,0,121,16.0,128.0
1,0,122,20.0,128.0
1,0,123,20.0,128.0
1,0,124,18.0,128.0
1,0,125,19.0,128.0
1,0,126,23.0,128.0
1,0,127,19.0,128.0
1,0,128,28.0,128.0
2,0,1,73.0,128.0
2,0,2,62.0,128.0
2,0,3,51.0,128.0
2,0,4,42.0,128.0
2,0,5,42.0,128.0
2,0,6,36.0,128.0
2,0,7,35.0,128.0
2,0,8,33.0,128.0
2,0,9,27.0,128.0
2,0,10,26.0,128.0
2,0,11,15.0,128.0
2,0,12,28.0,128.0
