seed,dataset,generation,new_selected,population
1,0,1,73.0,128.0
1,0,2,56.0,128.0
1,0,3,35.0,128.0
1,0,4,26.0,128.0
1,0,5,22.0,128.0
1,0,6,26.0,128.0
1,0,7,18.0,128.0
1,0,8,13.0,128.0
1,0,9,16.0,128.0
1,0,10,22.0,128.0
1,0,11,16.0,128.0
1,0,12,20.0,128.0
1,0,13,9.0,128.0
1,0,14,14.0,128.0
1,0,15,14.0,128.0
1,0,16,17.0,128.0
1,0,17,15.0,128.0
1,0,18,16.0,128.0
1,0,19,9.0,128.0
1,0,20,16.0,128.0
1,0,21,17.0,128.0
1,0,22,16.0,128.0
1,0,23,13.0,128.0
1,0,24,12.0,128.0
1,0,25,15.0,128.0
1,0,26,7.0,128.0
1,0,27,10.0,128.0
1,0,28,8.0,128.0
1,0,29,12.0,128.0
1,0,30,8.0,128.0
1,0,31,10.0,128.0
1,0,32,9.0,128.0
1,0,33,11.0,128.0
1,0,34,13.0,128.0
1,0,35,12.0,128.0
1,0,36,10.0,128.0
1,0,37,4.0,128.0
1,0,38,9.0,128.0
1,0,39,14.0,128.0
1,0,40,12.0,128.0
1,0,41,11.0,128.0
1,0,42,7.0,128.0
1,0,43,10.0,128.0
1,0,44,13.0,128.0
1,0,45,9.0,128.0
1,0,46,16.0,128.0
1,0,47,10.0,128.0
1,0,48,12.0,128.0
1,0,49,11.0,128.0
1,0,50,11.0,128.0
1,0,51,14.0,128.0
1,0,52,12.0,128.0
1,0,53,14.0,128.0
1,0,54,9.0,128.0
1,0,55,15.0,128.0
1,0,56,9.0,128.0
1,0,57,12.0,128.0
1,0,58,7.0,128.0
1,0,59,12.0,128.0
1,0,60,12.0,128.0
1,0,61,11.0,128.0
1,0,62,12.0,128.0
1,0,63,9.0,128.0
1,0,64,11.0,128.0
1,0,65,11.0,128.0
1,0,66,13.0,128.0
1,0,67,11.0,128.0
1,0,68,8.0,128.0
1,0,69,10.0,128.0
1,0,70,9.0,128.0
1,0,71,10.0,128.0
1,0,72,8.0,128.0
1,0,73,10.0,128.0
1,0,74,11.0,128.0
1,0,75,12.0,128.0
1,0,76,14.0,128.0
1,0,77,11.0,128.0
1,0,78,13.0,128.0
1,0,79,16.0,128.0
1,0,80,15.0,128.0
1,0,81,18.0,128.0
1,0,82,13.0,128.0
1,0,83,11.0,128.0
1,0,84,11.0,128.0
1,0,85,16.0,128.0
1,0,86,11.0,128.0
1,0,87,16.0,128.0
1,0,88,17.0,128.0
1,0,89,19.0,128.0
1,0,90,15.0,128.0
1,0,91,17.0,128.0
1,0,92,16.0,128.0
1,0,93,14.0,128.0
1,0,94,17.0,128.0
1,0,95,13.0,128.0
1,0,96,16.0,128.0
1,0,97,13.0,128.0
1,0,98,16.0,128.0
1,0,99,17.0,128.0
1,0,100,17.0,128.0
1,0,101,15.0,128.0
1,0,102,22.0,128.0
1,0,103,12.0,128.0
1,0,104,21.0,128.0
1,0,105,17.0,128.0
1,0,106,24.0,128.0
1,0,107,16.0,128.0
1,0,108,14.0,128.0
1,0,109,15.0,128.0
1,0,110,17.0,128.0
1,0,111,18.0,128.0
1,0,112,10.0,128.0
1,0,113,21.0,128.0
1,0,114,17.0,128.0
1,0,115,24.0,128.0
1,0,116,34.0,128.0
1,0,117,31.0,128.0
1,0,118,22.0,128.0
1,0,119,23.0,128.0
1,0,120,23.0,128.0
1,0,121,29.0,128.0
1,0,122,31.0,128.0
1,0,123,19.0,128.0
1,0,124,20.0,128.0
1,0,125,23.0,128.0
1,0,126,19.0,128.0
1,0,127,24.0,128.0
1,0,128,16.0,128.0
2,0,1,76.0,128.0
2,0,2,65.0,128.0
2,0,3,46.0,128.0
2,0,4,44.0,128.0
2,0,5,40.0,128.0
2,0,6,35.0,128.0
2,0,7,28.0,128.0
2,0,8,30.0,128.0
2,0,9,33.0,128.0
2,0,10,22.0,128.0
