seed,dataset,generation,new_selected,population
1,0,1,78.0,128.0
1,0,2,65.0,128.0
1,0,3,56.0,128.0
1,0,4,51.0,128.0
1,0,5,57.0,128.0
1,0,6,44.0,128.0
1,0,7,56.0,128.0
1,0,8,56.0,128.0
1,0,9,47.0,128.0
1,0,10,43.0,128.0
1,0,11,43.0,128.0
1,0,12,47.0,128.0
1,0,13,39.0,128.0
1,0,14,43.0,128.0
1,0,15,43.0,128.0
1,0,16,39.0,128.0
1,0,17,38.0,128.0
1,0,18,36.0,128.0
1,0,19,34.0,128.0
1,0,20,42.0,128.0
1,0,21,43.0,128.0
1,0,22,43.0,128.0
1,0,23,45.0,128.0
1,0,24,35.0,128.0
1,0,25,44.0,128.0
1,0,26,39.0,128.0
1,0,27,39.0,128.0
1,0,28,39.0,128.0
1,0,29,38.0,128.0
1,0,30,34.0,128.0
1,0,31,31.0,128.0
1,0,32,38.0,128.0
1,0,33,41.0,128.0
1,0,34,35.0,128.0
1,0,35,37.0,128.0
1,0,36,34.0,128.0
1,0,37,37.0,128.0
1,0,38,35.0,128.0
1,0,39,29.0,128.0
1,0,40,35.0,128.0
1,0,41,29.0,128.0
1,0,42,26.0,128.0
1,0,43,33.0,128.0
1,0,44,33.0,128.0
1,0,45,39.0,128.0
1,0,46,35.0,128.0
1,0,47,38.0,128.0
1,0,48,42.0,128.0
1,0,49,46.0,128.0
1,0,50,36.0,128.0
1,0,51,39.0,128.0
1,0,52,33.0,128.0
1,0,53,35.0,128.0
1,0,54,37.0,128.0
1,0,55,40.0,128.0
1,0,56,36.0,128.0
1,0,57,47.0,128.0
1,0,58,48.0,128.0
1,0,59,51.0,128.0
1,0,60,48.0,128.0
1,0,61,48.0,128.0
1,0,62,33.0,128.0
1,0,63,34.0,128.0
1,0,64,42.0,128.0
1,0,65,59.0,128.0
1,0,66,33.0,128.0
1,0,67,50.0,128.0
1,0,68,25.0,128.0
1,0,69,22.0,128.0
1,0,70,45.0,128.0
1,0,71,37.0,128.0
1,0,72,51.0,128.0
1,0,73,28.0,128.0
1,0,74,17.0,128.0
1,0,75,19.0,128.0
1,0,76,33.0,128.0
1,0,77,62.0,128.0
1,0,78,16.0,128.0
1,0,79,3.0,128.0
1,0,80,5.0,128.0
1,0,81,8.0,128.0
1,0,82,2.0,128.0
1,0,83,3.0,128.0
1,0,84,2.0,128.0
1,0,85,2.0,128.0
1,0,86,7.0,128.0
1,0,87,2.0,128.0
1,0,88,1.0,128.0
1,0,89,1.0,128.0
1,0,90,2.0,128.0
1,0,91,1.0,128.0
1,0,92,5.0,128.0
1,0,93,2.0,128.0
1,0,94,2.0,128.0
1,0,95,1.0,128.0
1,0,96,1.0,128.0
1,0,97,1.0,128.0
1,0,98,2.0,128.0
1,0,99,3.0,128.0
1,0,100,3.0,128.0
1,0,101,1.0,128.0
1,0,102,2.0,128.0
1,0,103,3.0,128.0
1,0,104,5.0,128.0
1,0,105,1.0,128.0
1,0,106,3.0,128.0
1,0,107,4.0,128.0
1,0,108,3.0,128.0
1,0,109,4.0,128.0
1,0,110,3.0,128.0
1,0,111,2.0,128.0
1,0,112,6.0,128.0
1,0,113,3.0,128.0
1,0,114,4.0,128.0
1,0,115,6.0,128.0
1,0,116,18.0,128.0
1,0,117,3.0,128.0
1,0,118,4.0,128.0
1,0,119,3.0,128.0
1,0,120,5.0,128.0
1,0,121,4.0,128.0
1,0,122,3.0,128.0
1,0,123,4.0,128.0
1,0,124,5.0,128.0
1,0,125,4.0,128.0
1,0,126,4.0,128.0
1,0,127,11.0,128.0
1,0,128,4.0,128.0
2,0,1,84.0,128.0
2,0,2,70.0,128.0
2,0,3,62.0,128.0
2,0,4,56.0,128.0
2,0,5,56.0,128.0
2,0,6,61.0,128.0
2,0,7,68.0,128.0
2,0,8,60.0,128.0
2,0,9,59.0,128.0
2,0,10,60.0,128.0
2,0,11,64.0,128.0
2,0,12,51.0,128.0
2,0,13,60.0,128.0
2,0,14,58.0,128.0
2,0,15,59.0,128.0
2,0,16,58.0,128.0
2,0,17,57.0,128.0
2,0,18,55.0,128.0
2,0,19,50.0,128.0
2,0,20,54.0,128.0
2,0,21,46.0,128.0
2,0,22,53.0,128.0
2,0,23,55.0,128.0
2,0,24,60.0,128.0
2,0,25,55.0,128.0
2,0,26,60.0,128.0
2,0,27,51.0,128.0
2,0,28,52.0,128.0
2,0,29,55.0,128.0
2,0,30,49.0,128.0
2,0,31,53.0,128.0
2,0,32,54.0,128.0
2,0,33,52.0,128.0
2,0,34,56.0,128.0
2,0,35,47.0,128.0
2,0,36,59.0,128.0
2,0,37,54.0,128.0
2,0,38,65.0,128.0
2,0,39,65.0,128.0
2,0,40,68.0,128.0
2,0,41,63.0,128.0
2,0,42,62.0,128.0
2,0,43,54.0,128.0
2,0,44,64.0,128.0
2,0,45,58.0,128.0
2,0,46,59.0,128.0
2,0,47,57.0,128.0
2,0,48,58.0,128.0
2,0,49,58.0,128.0
2,0,50,49.0,128.0
2,0,51,50.0,128.0
2,0,52,66.0,128.0
2,0,53,59.0,128.0
2,0,54,65.0,128.0
2,0,55,56.0,128.0
2,0,56,48.0,128.0
2,0,57,55.0,128.0
2,0,58,51.0,128.0
2,0,59,46.0,128.0
2,0,60,61.0,128.0
2,0,61,65.0,128.0
2,0,62,69.0,128.0
2,0,63,44.0,128.0
2,0,64,57.0,128.0
2,0,65,40.0,128.0
2,0,66,63.0,128.0
2,0,67,33.0,128.0
2,0,68,1.0,128.0
2,0,69,1.0,128.0
2,0,70,2.0,128.0
2,0,71,1.0,128.0
2,0,72,2.0,128.0
2,0,73,2.0,128.0
2,0,74,8.0,128.0
2,0,75,11.0,128.0
2,0,76,17.0,128.0
2,0,77,29.0,128.0
2,0,78,59.0,128.0
2,0,79,17.0,128.0
