seed,dataset,generation,new_selected,population
1,0,1,71.0,128.0
1,0,2,57.0,128.0
1,0,3,50.0,128.0
1,0,4,46.0,128.0
1,0,5,47.0,128.0
1,0,6,32.0,128.0
1,0,7,35.0,128.0
1,0,8,29.0,128.0
1,0,9,20.0,128.0
1,0,10,23.0,128.0
1,0,11,22.0,128.0
1,0,12,22.0,128.0
1,0,13,24.0,128.0
1,0,14,16.0,128.0
1,0,15,20.0,128.0
1,0,16,16.0,128.0
1,0,17,14.0,128.0
1,0,18,18.0,128.0
1,0,19,16.0,128.0
1,0,20,12.0,128.0
1,0,21,15.0,128.0
1,0,22,14.0,128.0
1,0,23,9.0,128.0
1,0,24,13.0,128.0
1,0,25,11.0,128.0
1,0,26,18.0,128.0
1,0,27,18.0,128.0
1,0,28,21.0,128.0
1,0,29,12.0,128.0
1,0,30,12.0,128.0
1,0,31,17.0,128.0
1,0,32,13.0,128.0
1,0,33,13.0,128.0
1,0,34,13.0,128.0
1,0,35,12.0,128.0
1,0,36,10.0,128.0
1,0,37,12.0,128.0
1,0,38,7.0,128.0
1,0,39,4.0,128.0
1,0,40,14.0,128.0
1,0,41,14.0,128.0
1,0,42,17.0,128.0
1,0,43,18.0,128.0
1,0,44,14.0,128.0
1,0,45,10.0,128.0
1,0,46,7.0,128.0
1,0,47,12.0,128.0
1,0,48,16.0,128.0
1,0,49,12.0,128.0
1,0,50,14.0,128.0
1,0,51,13.0,128.0
1,0,52,12.0,128.0
1,0,53,18.0,128.0
1,0,54,12.0,128.0
1,0,55,17.0,128.0
1,0,56,14.0,128.0
1,0,57,15.0,128.0
1,0,58,18.0,128.0
1,0,59,13.0,128.0
1,0,60,14.0,128.0
1,0,61,13.0,128.0
1,0,62,13.0,128.0
1,0,63,12.0,128.0
1,0,64,16.0,128.0
1,0,65,11.0,128.0
1,0,66,14.0,128.0
1,0,67,18.0,128.0
1,0,68,16.0,128.0
1,0,69,18.0,128.0
1,0,70,18.0,128.0
1,0,71,25.0,128.0
1,0,72,20.0,128.0
1,0,73,17.0,128.0
1,0,74,15.0,128.0
1,0,75,16.0,128.0
1,0,76,19.0,128.0
1,0,77,16.0,128.0
1,0,78,19.0,128.0
1,0,79,19.0,128.0
1,0,80,16.0,128.0
1,0,81,19.0,128.0
1,0,82,20.0,128.0
1,0,83,20.0,128.0
1,0,84,11.0,128.0
1,0,85,13.0,128.0
1,0,86,11.0,128.0
1,0,87,13.0,128.0
1,0,88,16.0,128.0
1,0,89,13.0,128.0
1,0,90,16.0,128.0
1,0,91,12.0,128.0
1,0,92,15.0,128.0
1,0,93,12.0,128.0
1,0,94,12.0,128.0
1,0,95,14.0,128.0
1,0,96,11.0,128.0
1,0,97,10.0,128.0
1,0,98,16.0,128.0
1,0,99,6.0,128.0
1,0,100,8.0,128.0
1,0,101,19.0,128.0
1,0,102,13.0,128.0
1,0,103,13.0,128.0
1,0,104,11.0,128.0
1,0,105,10.0,128.0
1,0,106,10.0,128.0
1,0,107,6.0,128.0
1,0,108,13.0,128.0
1,0,109,19.0,128.0
1,0,110,13.0,128.0
1,0,111,12.0,128.0
1,0,112,7.0,128.0
1,0,113,9.0,128.0
1,0,114,7.0,128.0
1,0,115,13.0,128.0
1,0,116,15.0,128.0
1,0,117,16.0,128.0
1,0,118,12.0,128.0
1,0,119,12.0,128.0
1,0,120,10.0,128.0
1,0,121,10.0,128.0
1,0,122,10.0,128.0
1,0,123,10.0,128.0
1,0,124,15.0,128.0
1,0,125,10.0,128.0
1,0,126,15.0,128.0
1,0,127,12.0,128.0
1,0,128,11.0,128.0
2,0,1,79.0,128.0
2,0,2,62.0,128.0
2,0,3,51.0,128.0
2,0,4,48.0,128.0
2,0,5,53.0,128.0
2,0,6,34.0,128.0
2,0,7,34.0,128.0
2,0,8,32.0,128.0
2,0,9,34.0,128.0
2,0,10,28.0,128.0
2,0,11,31.0,128.0
2,0,12,20.0,128.0
2,0,13,24.0,128.0
2,0,14,23.0,128.0
2,0,15,24.0,128.0
2,0,16,23.0,128.0
2,0,17,24.0,128.0
2,0,18,18.0,128.0
2,0,19,17.0,128.0
2,0,20,18.0,128.0
2,0,21,21.0,128.0
2,0,22,17.0,128.0
2,0,23,22.0,128.0
2,0,24,19.0,128.0
2,0,25,17.0,128.0
2,0,26,15.0,128.0
2,0,27,14.0,128.0
2,0,28,21.0,128.0
2,0,29,16.0,128.0
2,0,30,9.0,128.0
2,0,31,11.0,128.0
2,0,32,19.0,128.0
2,0,33,20.0,128.0
2,0,34,22.0,128.0
