seed,dataset,generation,new_selected,population
1,0,1,71.0,128.0
1,0,2,62.0,128.0
1,0,3,65.0,128.0
1,0,4,47.0,128.0
1,0,5,49.0,128.0
1,0,6,55.0,128.0
1,0,7,49.0,128.0
1,0,8,50.0,128.0
1,0,9,44.0,128.0
1,0,10,51.0,128.0
1,0,11,49.0,128.0
1,0,12,55.0,128.0
1,0,13,51.0,128.0
1,0,14,51.0,128.0
1,0,15,45.0,128.0
1,0,16,58.0,128.0
1,0,17,66.0,128.0
1,0,18,61.0,128.0
1,0,19,53.0,128.0
1,0,20,54.0,128.0
1,0,21,59.0,128.0
1,0,22,58.0,128.0
1,0,23,63.0,128.0
1,0,24,61.0,128.0
1,0,25,59.0,128.0
1,0,26,62.0,128.0
1,0,27,56.0,128.0
1,0,28,57.0,128.0
1,0,29,53.0,128.0
1,0,30,52.0,128.0
1,0,31,48.0,128.0
1,0,32,51.0,128.0
1,0,33,53.0,128.0
1,0,34,45.0,128.0
1,0,35,58.0,128.0
1,0,36,50.0,128.0
1,0,37,47.0,128.0
1,0,38,47.0,128.0
1,0,39,43.0,128.0
1,0,40,48.0,128.0
1,0,41,41.0,128.0
1,0,42,50.0,128.0
1,0,43,62.0,128.0
1,0,44,42.0,128.0
1,0,45,49.0,128.0
1,0,46,49.0,128.0
1,0,47,41.0,128.0
1,0,48,49.0,128.0
1,0,49,49.0,128.0
1,0,50,48.0,128.0
1,0,51,51.0,128.0
1,0,52,56.0,128.0
1,0,53,62.0,128.0
1,0,54,55.0,128.0
1,0,55,33.0,128.0
1,0,56,20.0,128.0
1,0,57,26.0,128.0
1,0,58,52.0,128.0
1,0,59,49.0,128.0
1,0,60,48.0,128.0
1,0,61,58.0,128.0
1,0,62,46.0,128.0
1,0,63,56.0,128.0
1,0,64,45.0,128.0
1,0,65,40.0,128.0
1,0,66,54.0,128.0
1,0,67,46.0,128.0
1,0,68,35.0,128.0
1,0,69,62.0,128.0
1,0,70,20.0,128.0
1,0,71,17.0,128.0
1,0,72,52.0,128.0
1,0,73,73.0,128.0
1,0,74,1.0,128.0
1,0,75,2.0,128.0
1,0,76,3.0,128.0
1,0,77,7.0,128.0
1,0,78,8.0,128.0
1,0,79,11.0,128.0
1,0,80,22.0,128.0
1,0,81,58.0,128.0
1,0,82,31.0,128.0
1,0,83,52.0,128.0
1,0,84,42.0,128.0
1,0,85,9.0,128.0
1,0,86,13.0,128.0
1,0,87,18.0,128.0
1,0,88,55.0,128.0
1,0,89,41.0,128.0
1,0,90,2.0,128.0
1,0,91,2.0,128.0
1,0,92,2.0,128.0
1,0,93,2.0,128.0
1,0,94,1.0,128.0
1,0,95,2.0,128.0
1,0,96,2.0,128.0
1,0,97,2.0,128.0
1,0,98,1.0,128.0
1,0,99,2.0,128.0
1,0,100,2.0,128.0
1,0,101,2.0,128.0
1,0,102,2.0,128.0
1,0,103,2.0,128.0
1,0,104,2.0,128.0
1,0,105,2.0,128.0
1,0,106,2.0,128.0
1,0,107,2.0,128.0
1,0,108,2.0,128.0
1,0,109,2.0,128.0
1,0,110,2.0,128.0
1,0,111,2.0,128.0
1,0,112,2.0,128.0
1,0,113,2.0,128.0
1,0,114,2.0,128.0
1,0,115,2.0,128.0
1,0,116,2.0,128.0
1,0,117,27.0,128.0
1,0,118,1.0,128.0
1,0,119,2.0,128.0
1,0,120,2.0,128.0
1,0,121,1.0,128.0
1,0,122,2.0,128.0
1,0,123,1.0,128.0
1,0,124,1.0,128.0
1,0,125,1.0,128.0
1,0,126,1.0,128.0
1,0,127,1.0,128.0
1,0,128,2.0,128.0
2,0,1,78.0,128.0
2,0,2,70.0,128.0
2,0,3,54.0,128.0
2,0,4,55.0,128.0
2,0,5,63.0,128.0
2,0,6,49.0,128.0
2,0,7,49.0,128.0
2,0,8,51.0,128.0
2,0,9,42.0,128.0
2,0,10,50.0,128.0
2,0,11,36.0,128.0
2,0,12,46.0,128.0
2,0,13,45.0,128.0
2,0,14,49.0,128.0
2,0,15,57.0,128.0
2,0,16,40.0,128.0
2,0,17,48.0,128.0
2,0,18,47.0,128.0
2,0,19,51.0,128.0
2,0,20,46.0,128.0
2,0,21,49.0,128.0
2,0,22,50.0,128.0
2,0,23,46.0,128.0
2,0,24,49.0,128.0
