num_levels,num_features,vector_dimension,bipolar_mode,precomputed_item_memory,use_genetic_item_memory,ga_selection_mode,ga_mutation_rate,n_gram_size,window,downsample,validation_ratio,overall_accuracy,class_average_accuracy,class_vector_similarity,correct,not_correct,transition_error,total,info
21,32,512,0,1,1,0,0.700000,3,100,1,0.300000,0.87297921,0.87342956,0.29921875,378,53,2,433,"model=mine,scope=dataset,dataset=0,phase=preopt-validation"
21,32,512,0,1,1,0,0.700000,3,100,1,0.300000,0.97931034,0.97931034,0.29921875,284,6,0,290,"model=mine,scope=dataset,dataset=0,phase=preopt-test"
21,32,512,0,1,1,0,0.700000,3,100,1,0.300000,0.93533487,0.93552526,0.20078125,405,28,0,433,"model=mine,scope=dataset,dataset=0,phase=postopt-validation"
21,32,512,0,1,1,0,0.700000,3,100,1,0.300000,1.00000000,1.00000000,0.20078125,290,0,0,290,"model=mine,scope=dataset,dataset=0,phase=postopt-test"
21,32,512,0,1,1,0,0.700000,3,100,1,0.300000,0.72748268,0.72713178,0.70781250,315,117,1,433,"model=mine,scope=dataset,dataset=1,phase=preopt-validation"
21,32,512,0,1,1,0,0.700000,3,100,1,0.300000,0.61034483,0.61034483,0.70781250,177,113,0,290,"model=mine,scope=dataset,dataset=1,phase=preopt-test"
21,32,512,0,1,1,0,0.700000,3,100,1,0.300000,0.80600462,0.80566693,0.62656250,349,84,0,433,"model=mine,scope=dataset,dataset=1,phase=postopt-validation"
21,32,512,0,1,1,0,0.700000,3,100,1,0.300000,0.55862069,0.55862069,0.62656250,162,128,0,290,"model=mine,scope=dataset,dataset=1,phase=postopt-test"
21,32,512,0,1,1,0,0.700000,3,100,1,0.300000,0.75981524,0.75998396,0.27500000,329,104,0,433,"model=mine,scope=dataset,dataset=2,phase=preopt-validation"
21,32,512,0,1,1,0,0.700000,3,100,1,0.300000,0.82068966,0.82068966,0.27500000,238,52,0,290,"model=mine,scope=dataset,dataset=2,phase=preopt-test"
21,32,512,0,1,1,0,0.700000,3,100,1,0.300000,0.87066975,0.87123764,0.17187500,377,56,0,433,"model=mine,scope=dataset,dataset=2,phase=postopt-validation"
21,32,512,0,1,1,0,0.700000,3,100,1,0.300000,0.84137931,0.84137931,0.17187500,244,46,0,290,"model=mine,scope=dataset,dataset=2,phase=postopt-test"
21,32,512,0,1,1,0,0.700000,3,100,1,0.300000,0.91454965,0.91451484,0.35000000,396,37,0,433,"model=mine,scope=dataset,dataset=3,phase=preopt-validation"
21,32,512,0,1,1,0,0.700000,3,100,1,0.300000,0.92413793,0.92413793,0.35000000,268,22,0,290,"model=mine,scope=dataset,dataset=3,phase=preopt-test"
21,32,512,0,1,1,0,0.700000,3,100,1,0.300000,1.00000000,1.00000000,0.29140625,433,0,0,433,"model=mine,scope=dataset,dataset=3,phase=postopt-validation"
21,32,512,0,1,1,0,0.700000,3,100,1,0.300000,0.94137931,0.94137931,0.29140625,273,17,0,290,"model=mine,scope=dataset,dataset=3,phase=postopt-test"
21,32,512,0,1,1,0,0.700000,3,100,1,0.300000,0.81870670,0.81876504,0.40800781,0,0,0,0,"model=mine,scope=overall,phase=preopt-validation"
21,32,512,0,1,1,0,0.700000,3,100,1,0.300000,0.83362069,0.83362069,0.40800781,0,0,0,0,"model=mine,scope=overall,phase=preopt-test"
21,32,512,0,1,1,0,0.700000,3,100,1,0.300000,0.83534483,0.83534483,0.32265625,969,191,0,1160,"model=mine,scope=overall,phase=postopt-test"
21,32,512,0,1,1,0,0.700000,3,100,1,0.300000,0.90300231,0.90310746,0.32265625,0,0,0,0,"model=mine,scope=overall,phase=postopt-validation"
21,32,1024,0,1,1,0,0.700000,3,100,1,0.300000,0.88683603,0.88719594,0.25664063,384,49,0,433,"model=mine,scope=dataset,dataset=0,phase=preopt-validation"
21,32,1024,0,1,1,0,0.700000,3,100,1,0.300000,0.98275862,0.98275862,0.25664063,285,5,0,290,"model=mine,scope=dataset,dataset=0,phase=preopt-test"
21,32,1024,0,1,1,0,0.700000,3,100,1,0.300000,0.90993072,0.91026464,0.24609375,394,39,0,433,"model=mine,scope=dataset,dataset=0,phase=postopt-validation"
21,32,1024,0,1,1,0,0.700000,3,100,1,0.300000,1.00000000,1.00000000,0.24609375,290,0,0,290,"model=mine,scope=dataset,dataset=0,phase=postopt-test"
21,32,1024,0,1,1,0,0.700000,3,100,1,0.300000,0.79907621,0.79890404,0.74296875,346,86,1,433,"model=mine,scope=dataset,dataset=1,phase=preopt-validation"
