num_levels,vector_dimension,scope,dataset_id,run_a_accuracy,run_b_accuracy,delta_run_b_minus_run_a,winner
21,512,dataset,0,0.97701149,1.0,0.022988510000000018,run_b
21,512,dataset,2,0.85057471,0.85632184,0.005747130000000045,run_b
21,512,dataset,3,0.94827586,0.96551724,0.017241380000000084,run_b
21,512,overall,-1,0.81465517,0.86206897,0.04741380000000006,run_b
21,1024,dataset,0,1.0,1.0,0.0,tie
21,1024,dataset,2,0.84482759,0.85057471,0.0057471199999999945,run_b
21,1024,dataset,3,0.97701149,0.93678161,-0.04022987999999994,run_a
21,1024,overall,-1,0.82902299,0.86637931,0.03735632,run_b
21,2048,dataset,0,0.98850575,1.0,0.01149425000000004,run_b
21,2048,dataset,2,0.85057471,0.84482759,-0.0057471199999999945,run_a
21,2048,dataset,3,0.97701149,0.95402299,-0.022988499999999967,run_a
21,2048,overall,-1,0.85775862,0.86206897,0.004310350000000018,run_b
21,4096,dataset,0,0.98850575,1.0,0.01149425000000004,run_b
21,4096,dataset,2,0.85057471,0.84482759,-0.0057471199999999945,run_a
21,4096,dataset,3,0.97701149,0.98850575,0.011494259999999978,run_b
21,4096,overall,-1,0.83477011,0.89511494,0.060344830000000016,run_b
21,8192,dataset,0,0.98850575,0.99425287,0.0057471199999999945,run_b
21,8192,dataset,2,0.85057471,0.84482759,-0.0057471199999999945,run_a
21,8192,dataset,3,0.98275862,0.95977011,-0.022988510000000018,run_a
21,8192,overall,-1,0.86637931,0.87787356,0.01149425000000004,run_b
31,512,dataset,0,0.97126437,0.98850575,0.017241379999999973,run_b
31,512,dataset,2,0.82758621,0.85057471,0.022988499999999967,run_b
31,512,dataset,3,0.93678161,0.98275862,0.045977009999999985,run_b
31,512,overall,-1,0.81609195,0.87931034,0.06321838999999996,run_b
31,1024,dataset,0,0.98275862,0.98850575,0.005747129999999934,run_b
31,1024,dataset,2,0.85632184,0.85632184,0.0,tie
31,1024,dataset,3,0.95977011,0.96551724,0.005747130000000045,run_b
31,1024,overall,-1,0.88362069,0.88505747,0.0014367800000000264,run_b
31,2048,dataset,0,0.99425287,1.0,0.005747130000000045,run_b
31,2048,dataset,2,0.86206897,0.85632184,-0.005747130000000045,run_a
31,2048,dataset,3,0.98275862,0.97126437,-0.01149425000000004,run_a
31,2048,overall,-1,0.88649425,0.87931034,-0.007183910000000071,run_a
31,4096,dataset,0,0.98850575,0.99425287,0.0057471199999999945,run_b
31,4096,dataset,2,0.86206897,0.85632184,-0.005747130000000045,run_a
31,4096,dataset,3,0.97126437,0.98850575,0.017241379999999973,run_b
31,4096,overall,-1,0.88505747,0.89367816,0.008620689999999986,run_b
31,8192,dataset,0,0.98850575,0.99425287,0.0057471199999999945,run_b
31,8192,dataset,2,0.86206897,0.85632184,-0.005747130000000045,run_a
31,8192,dataset,3,0.97701149,0.98275862,0.005747130000000045,run_b
31,8192,overall,-1,0.88505747,0.89224138,0.00718390999999996,run_b
41,512,dataset,0,0.97701149,0.98850575,0.011494259999999978,run_b
41,512,dataset,2,0.84482759,0.87931034,0.034482750000000006,run_b
41,512,dataset,3,0.95977011,0.97701149,0.017241379999999973,run_b
41,512,overall,-1,0.92528736,0.92528736,0.0,tie
41,1024,dataset,0,0.98275862,0.98850575,0.005747129999999934,run_b
41,1024,dataset,2,0.86781609,0.86206897,-0.0057471199999999945,run_a
41,1024,dataset,3,0.98850575,0.88505747,-0.10344827999999995,run_a
41,1024,overall,-1,0.94827586,0.91954023,-0.028735630000000012,run_a
41,2048,dataset,0,1.0,0.98850575,-0.01149425000000004,run_a
41,2048,dataset,2,0.88505747,0.86206897,-0.022988499999999967,run_a
41,2048,dataset,3,0.97701149,0.98275862,0.005747130000000045,run_b
41,2048,overall,-1,0.96264368,0.93103448,-0.031609200000000004,run_a
41,4096,dataset,0,0.99425287,1.0,0.005747130000000045,run_b
41,4096,dataset,2,0.86781609,0.85632184,-0.01149425000000004,run_a
41,4096,dataset,3,0.98275862,0.98275862,0.0,tie
41,4096,overall,-1,0.94827586,0.95114943,0.002873569999999992,run_b
41,8192,dataset,0,0.98850575,0.99425287,0.0057471199999999945,run_b
41,8192,dataset,2,0.87356322,0.86206897,-0.011494249999999928,run_a
41,8192,dataset,3,0.98275862,1.0,0.017241379999999973,run_b
41,8192,overall,-1,0.9454023,0.9454023,0.0,tie
51,512,dataset,0,0.98275862,0.98850575,0.005747129999999934,run_b
51,512,dataset,2,0.82758621,0.86206897,0.03448276000000006,run_b
51,512,dataset,3,0.97126437,0.90804598,-0.06321838999999996,run_a
51,512,overall,-1,0.87212644,0.90948276,0.03735632,run_b
51,1024,dataset,0,0.98275862,0.99425287,0.011494249999999928,run_b
51,1024,dataset,2,0.86206897,0.85632184,-0.005747130000000045,run_a
51,1024,dataset,3,0.96551724,0.99425287,0.0287356299999999,run_b
51,1024,overall,-1,0.87356322,0.8908046,0.017241379999999973,run_b
51,2048,dataset,0,0.98850575,1.0,0.01149425000000004,run_b
51,2048,dataset,2,0.86781609,0.86206897,-0.0057471199999999945,run_a
51,2048,dataset,3,0.97126437,0.97126437,0.0,tie
51,2048,overall,-1,0.87931034,0.90086207,0.02155172999999999,run_b
51,4096,dataset,0,0.99425287,0.98850575,-0.0057471199999999945,run_a
51,4096,dataset,2,0.86206897,0.86206897,0.0,tie
51,4096,dataset,3,0.97701149,0.98850575,0.011494259999999978,run_b
51,4096,overall,-1,0.89511494,0.91954023,0.024425289999999933,run_b
51,8192,dataset,0,0.98850575,0.99425287,0.0057471199999999945,run_b
51,8192,dataset,2,0.87356322,0.86781609,-0.005747129999999934,run_a
51,8192,dataset,3,0.97701149,0.98275862,0.005747130000000045,run_b
51,8192,overall,-1,0.89367816,0.90804598,0.014367820000000031,run_b
61,512,dataset,0,0.96551724,1.0,0.034482759999999946,run_b
61,512,dataset,2,0.75862069,0.86206897,0.10344828000000006,run_b
61,512,dataset,3,0.98275862,0.98850575,0.005747129999999934,run_b
61,512,overall,-1,0.80603448,0.95402299,0.14798851000000002,run_b
61,1024,dataset,0,0.99425287,1.0,0.005747130000000045,run_b
61,1024,dataset,2,0.86206897,0.85632184,-0.005747130000000045,run_a
61,1024,dataset,3,1.0,0.97701149,-0.022988510000000018,run_a
61,1024,overall,-1,0.88793103,0.91522989,0.027298860000000036,run_b
61,2048,dataset,0,0.99425287,0.98850575,-0.0057471199999999945,run_a
61,2048,dataset,2,0.88505747,0.86206897,-0.022988499999999967,run_a
61,2048,dataset,3,0.99425287,0.97701149,-0.017241379999999973,run_a
61,2048,overall,-1,0.90229885,0.91954023,0.017241379999999973,run_b
61,4096,dataset,0,1.0,1.0,0.0,tie
61,4096,dataset,2,0.86781609,0.86206897,-0.0057471199999999945,run_a
61,4096,dataset,3,1.0,0.98850575,-0.01149425000000004,run_a
61,4096,overall,-1,0.89655172,0.93390805,0.03735632999999994,run_b
61,8192,dataset,0,0.98850575,1.0,0.01149425000000004,run_b
61,8192,dataset,2,0.87356322,0.86206897,-0.011494249999999928,run_a
61,8192,dataset,3,0.99425287,0.99425287,0.0,tie
61,8192,overall,-1,0.90804598,0.91235632,0.004310339999999968,run_b
71,512,dataset,0,0.97701149,0.98275862,0.005747130000000045,run_b
71,512,dataset,2,0.75287356,0.87931034,0.12643677999999992,run_b
71,512,dataset,3,0.97701149,0.97701149,0.0,tie
71,512,overall,-1,0.85632184,0.9137931,0.057471260000000024,run_b
71,1024,dataset,0,0.98850575,1.0,0.01149425000000004,run_b
71,1024,dataset,2,0.85632184,0.87931034,0.022988499999999967,run_b
71,1024,dataset,3,0.98850575,1.0,0.01149425000000004,run_b
71,1024,overall,-1,0.83908046,0.92385057,0.08477011000000001,run_b
71,2048,dataset,0,0.99425287,1.0,0.005747130000000045,run_b
71,2048,dataset,2,0.86206897,0.86781609,0.0057471199999999945,run_b
71,2048,dataset,3,1.0,0.99425287,-0.005747130000000045,run_a
71,2048,overall,-1,0.92816092,0.9137931,-0.01436781999999992,run_a
71,4096,dataset,0,0.98850575,1.0,0.01149425000000004,run_b
71,4096,dataset,2,0.86206897,0.86206897,0.0,tie
71,4096,dataset,3,1.0,1.0,0.0,tie
71,4096,overall,-1,0.90086207,0.91235632,0.01149425000000004,run_b
71,8192,dataset,0,0.98850575,0.98850575,0.0,tie
71,8192,dataset,2,0.87356322,0.86781609,-0.005747129999999934,run_a
71,8192,dataset,3,1.0,0.98850575,-0.01149425000000004,run_a
71,8192,overall,-1,0.89655172,0.91091954,0.01436781999999992,run_b
81,512,dataset,0,0.94827586,0.98850575,0.04022988999999999,run_b
81,512,dataset,2,0.79885057,0.86781609,0.06896552,run_b
81,512,dataset,3,0.97701149,0.98850575,0.011494259999999978,run_b
81,512,overall,-1,0.80890805,0.90804598,0.09913793000000004,run_b
81,1024,dataset,0,0.98850575,0.99425287,0.0057471199999999945,run_b
81,1024,dataset,2,0.85057471,0.86206897,0.01149426000000009,run_b
81,1024,dataset,3,0.98275862,0.97701149,-0.005747130000000045,run_a
81,1024,overall,-1,0.86206897,0.89942529,0.03735632,run_b
81,2048,dataset,0,1.0,0.99425287,-0.005747130000000045,run_a
81,2048,dataset,2,0.86206897,0.86781609,0.0057471199999999945,run_b
81,2048,dataset,3,0.99425287,0.98275862,-0.011494249999999928,run_a
81,2048,overall,-1,0.90229885,0.90373563,0.0014367800000000264,run_b
81,4096,dataset,0,1.0,1.0,0.0,tie
81,4096,dataset,2,0.86206897,0.87931034,0.017241369999999923,run_b
81,4096,dataset,3,0.98850575,1.0,0.01149425000000004,run_b
81,4096,overall,-1,0.8908046,0.9066092,0.015804600000000057,run_b
81,8192,dataset,0,0.98850575,0.99425287,0.0057471199999999945,run_b
81,8192,dataset,2,0.87356322,0.86206897,-0.011494249999999928,run_a
81,8192,dataset,3,1.0,0.98275862,-0.017241379999999973,run_a
81,8192,overall,-1,0.88074713,0.89511494,0.014367809999999981,run_b
91,512,dataset,0,0.97126437,0.98850575,0.017241379999999973,run_b
91,512,dataset,2,0.82183908,0.86206897,0.04022988999999999,run_b
91,512,dataset,3,0.98275862,0.98850575,0.005747129999999934,run_b
91,512,overall,-1,0.87356322,0.95258621,0.07902299000000002,run_b
91,1024,dataset,0,0.98850575,1.0,0.01149425000000004,run_b
91,1024,dataset,2,0.84482759,0.87931034,0.034482750000000006,run_b
91,1024,dataset,3,0.98850575,1.0,0.01149425000000004,run_b
91,1024,overall,-1,0.92385057,0.90948276,-0.014367810000000092,run_a
91,2048,dataset,0,1.0,0.98850575,-0.01149425000000004,run_a
91,2048,dataset,2,0.86781609,0.86206897,-0.0057471199999999945,run_a
91,2048,dataset,3,0.98850575,0.99425287,0.0057471199999999945,run_b
91,2048,overall,-1,0.90229885,0.94109195,0.038793100000000025,run_b
91,4096,dataset,0,1.0,1.0,0.0,tie
91,4096,dataset,2,0.86781609,0.86206897,-0.0057471199999999945,run_a
91,4096,dataset,3,0.99425287,0.99425287,0.0,tie
91,4096,overall,-1,0.95689655,0.90229885,-0.05459769999999997,run_a
91,8192,dataset,0,0.98850575,0.98850575,0.0,tie
91,8192,dataset,2,0.86781609,0.86781609,0.0,tie
91,8192,dataset,3,0.99425287,0.98850575,-0.0057471199999999945,run_a
91,8192,overall,-1,0.93534483,0.93678161,0.0014367800000000264,run_b
101,512,dataset,0,0.98850575,1.0,0.01149425000000004,run_b
101,512,dataset,2,0.78735632,0.86781609,0.08045977000000004,run_b
101,512,dataset,3,1.0,0.99425287,-0.005747130000000045,run_a
101,512,overall,-1,0.83908046,0.95545977,0.11637931000000001,run_b
101,1024,dataset,0,0.98850575,1.0,0.01149425000000004,run_b
101,1024,dataset,2,0.85057471,0.86206897,0.01149426000000009,run_b
101,1024,dataset,3,0.98850575,0.98850575,0.0,tie
101,1024,overall,-1,0.89655172,0.93534483,0.038793109999999964,run_b
101,2048,dataset,0,1.0,1.0,0.0,tie
101,2048,dataset,2,0.87356322,0.86206897,-0.011494249999999928,run_a
101,2048,dataset,3,1.0,0.99425287,-0.005747130000000045,run_a
101,2048,overall,-1,0.92672414,0.95977011,0.03304596999999998,run_b
101,4096,dataset,0,1.0,0.98850575,-0.01149425000000004,run_a
101,4096,dataset,2,0.86781609,0.86206897,-0.0057471199999999945,run_a
101,4096,dataset,3,1.0,1.0,0.0,tie
101,4096,overall,-1,0.94971264,0.94396552,-0.0057471199999999945,run_a
101,8192,dataset,0,0.98850575,0.99425287,0.0057471199999999945,run_b
101,8192,dataset,2,0.86781609,0.87356322,0.005747129999999934,run_b
101,8192,dataset,3,1.0,0.99425287,-0.005747130000000045,run_a
101,8192,overall,-1,0.93534483,0.94827586,0.012931029999999955,run_b
111,512,dataset,0,0.98275862,0.99425287,0.011494249999999928,run_b
111,512,dataset,2,0.75862069,0.85632184,0.09770115000000001,run_b
111,512,dataset,3,0.99425287,0.97126437,-0.022988499999999967,run_a
111,512,overall,-1,0.91091954,0.9066092,-0.004310339999999968,run_a
111,1024,dataset,0,0.99425287,1.0,0.005747130000000045,run_b
111,1024,dataset,2,0.84482759,0.87931034,0.034482750000000006,run_b
111,1024,dataset,3,0.98850575,1.0,0.01149425000000004,run_b
111,1024,overall,-1,0.87356322,0.92241379,0.04885057000000004,run_b
111,2048,dataset,0,0.99425287,1.0,0.005747130000000045,run_b
111,2048,dataset,2,0.87931034,0.86206897,-0.017241369999999923,run_a
111,2048,dataset,3,1.0,0.99425287,-0.005747130000000045,run_a
111,2048,overall,-1,0.93534483,0.95545977,0.020114940000000026,run_b
111,4096,dataset,0,1.0,0.99425287,-0.005747130000000045,run_a
111,4096,dataset,2,0.86781609,0.86206897,-0.0057471199999999945,run_a
111,4096,dataset,3,0.98850575,0.99425287,0.0057471199999999945,run_b
111,4096,overall,-1,0.91235632,0.93678161,0.024425290000000044,run_b
111,8192,dataset,0,0.98850575,0.98850575,0.0,tie
111,8192,dataset,2,0.87356322,0.87356322,0.0,tie
111,8192,dataset,3,1.0,1.0,0.0,tie
111,8192,overall,-1,0.90517241,0.9454023,0.04022988999999999,run_b
121,512,dataset,0,0.97126437,0.98850575,0.017241379999999973,run_b
121,512,dataset,2,0.77011494,0.86781609,0.09770115000000001,run_b
121,512,dataset,3,0.98275862,0.97126437,-0.01149425000000004,run_a
121,512,overall,-1,0.88936782,0.87068966,-0.01867816,run_a
121,1024,dataset,0,0.98850575,1.0,0.01149425000000004,run_b
121,1024,dataset,2,0.84482759,0.87356322,0.028735630000000012,run_b
121,1024,dataset,3,0.98850575,1.0,0.01149425000000004,run_b
121,1024,overall,-1,0.91522989,0.91091954,-0.004310350000000018,run_a
121,2048,dataset,0,1.0,1.0,0.0,tie
121,2048,dataset,2,0.87356322,0.86781609,-0.005747129999999934,run_a
121,2048,dataset,3,0.98850575,1.0,0.01149425000000004,run_b
121,2048,overall,-1,0.92097701,0.93103448,0.010057470000000013,run_b
121,4096,dataset,0,1.0,1.0,0.0,tie
121,4096,dataset,2,0.86781609,0.86206897,-0.0057471199999999945,run_a
121,4096,dataset,3,1.0,0.99425287,-0.005747130000000045,run_a
121,4096,overall,-1,0.91954023,0.9295977,0.010057470000000013,run_b
121,8192,dataset,0,0.98850575,0.99425287,0.0057471199999999945,run_b
121,8192,dataset,2,0.86781609,0.86781609,0.0,tie
121,8192,dataset,3,1.0,1.0,0.0,tie
121,8192,overall,-1,0.95114943,0.92385057,-0.027298859999999925,run_a
131,512,dataset,0,0.95402299,1.0,0.045977009999999985,run_b
131,512,dataset,2,0.79310345,0.86206897,0.06896552,run_b
131,512,dataset,3,1.0,0.96551724,-0.034482759999999946,run_a
131,512,overall,-1,0.81321839,0.94396552,0.13074713000000004,run_b
131,1024,dataset,0,0.98275862,1.0,0.017241379999999973,run_b
131,1024,dataset,2,0.85057471,0.88505747,0.03448276000000006,run_b
131,1024,dataset,3,0.98850575,0.98850575,0.0,tie
131,1024,overall,-1,0.84626437,0.91235632,0.06609195000000001,run_b
131,2048,dataset,0,1.0,1.0,0.0,tie
131,2048,dataset,2,0.87356322,0.86781609,-0.005747129999999934,run_a
131,2048,dataset,3,0.99425287,0.99425287,0.0,tie
131,2048,overall,-1,0.89224138,0.93103448,0.038793100000000025,run_b
131,4096,dataset,0,1.0,0.98850575,-0.01149425000000004,run_a
131,4096,dataset,2,0.86781609,0.86206897,-0.0057471199999999945,run_a
131,4096,dataset,3,1.0,1.0,0.0,tie
131,4096,overall,-1,0.90948276,0.90804598,-0.0014367799999999153,run_a
131,8192,dataset,0,0.98850575,0.99425287,0.0057471199999999945,run_b
131,8192,dataset,2,0.86781609,0.86781609,0.0,tie
131,8192,dataset,3,1.0,0.99425287,-0.005747130000000045,run_a
131,8192,overall,-1,0.93965517,0.92816092,-0.01149425000000004,run_a
141,512,dataset,0,0.98275862,0.98275862,0.0,tie
141,512,dataset,2,0.79885057,0.86781609,0.06896552,run_b
141,512,dataset,3,0.98850575,0.98850575,0.0,tie
141,512,overall,-1,0.8591954,0.9295977,0.07040229999999992,run_b
141,1024,dataset,0,0.98275862,1.0,0.017241379999999973,run_b
141,1024,dataset,2,0.85632184,0.86206897,0.005747130000000045,run_b
141,1024,dataset,3,0.98850575,0.99425287,0.0057471199999999945,run_b
141,1024,overall,-1,0.89224138,0.93103448,0.038793100000000025,run_b
141,2048,dataset,0,1.0,0.99425287,-0.005747130000000045,run_a
141,2048,dataset,2,0.87356322,0.86206897,-0.011494249999999928,run_a
141,2048,dataset,3,1.0,0.99425287,-0.005747130000000045,run_a
141,2048,overall,-1,0.89224138,0.94971264,0.057471260000000024,run_b
141,4096,dataset,0,1.0,0.98850575,-0.01149425000000004,run_a
141,4096,dataset,2,0.86781609,0.86206897,-0.0057471199999999945,run_a
141,4096,dataset,3,1.0,1.0,0.0,tie
141,4096,overall,-1,0.93965517,0.93534483,-0.004310339999999968,run_a
141,8192,dataset,0,0.98850575,0.99425287,0.0057471199999999945,run_b
141,8192,dataset,2,0.87356322,0.86781609,-0.005747129999999934,run_a
141,8192,dataset,3,1.0,1.0,0.0,tie
141,8192,overall,-1,0.93103448,0.9454023,0.014367820000000031,run_b
151,512,dataset,0,0.98275862,0.99425287,0.011494249999999928,run_b
151,512,dataset,2,0.81609195,0.86206897,0.045977020000000035,run_b
151,512,dataset,3,0.98275862,0.98850575,0.005747129999999934,run_b
151,512,overall,-1,0.88793103,0.92097701,0.03304598000000003,run_b
151,1024,dataset,0,0.99425287,1.0,0.005747130000000045,run_b
151,1024,dataset,2,0.85632184,0.85057471,-0.005747130000000045,run_a
151,1024,dataset,3,0.99425287,1.0,0.005747130000000045,run_b
151,1024,overall,-1,0.9066092,0.86350575,-0.04310345000000004,run_a
151,2048,dataset,0,0.99425287,1.0,0.005747130000000045,run_b
151,2048,dataset,2,0.86781609,0.86781609,0.0,tie
151,2048,dataset,3,1.0,0.98850575,-0.01149425000000004,run_a
151,2048,overall,-1,0.93390805,0.94683908,0.012931030000000066,run_b
151,4096,dataset,0,1.0,0.98850575,-0.01149425000000004,run_a
151,4096,dataset,2,0.86206897,0.86781609,0.0057471199999999945,run_b
151,4096,dataset,3,1.0,1.0,0.0,tie
151,4096,overall,-1,0.94683908,0.93678161,-0.010057470000000013,run_a
151,8192,dataset,0,0.98850575,0.98850575,0.0,tie
151,8192,dataset,2,0.86781609,0.86781609,0.0,tie
151,8192,dataset,3,1.0,1.0,0.0,tie
151,8192,overall,-1,0.92672414,0.95114943,0.024425289999999933,run_b
