num_levels,num_features,vector_dimension,bipolar_mode,precomputed_item_memory,use_genetic_item_memory,ga_selection_mode,n_gram_size,window,downsample,validation_ratio,overall_accuracy,class_average_accuracy,class_vector_similarity,correct,not_correct,transition_error,total,info
21,32,512,0,0,0,0,5,100,1,0.000000,1.00000000,1.00000000,0.31328125,174,0,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
21,32,512,0,0,0,0,5,100,1,0.000000,0.62643678,0.62369748,0.81640625,109,63,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
21,32,512,0,0,0,0,5,100,1,0.000000,0.85632184,0.85714286,0.31015625,149,25,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
21,32,512,0,0,0,0,5,100,1,0.000000,0.96551724,0.96571429,0.34921875,168,6,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
21,32,512,0,0,0,0,5,100,1,0.000000,0.86206897,0.86163866,0.44726562,600,94,2,696,"model=mine,scope=overall,phase=test"
31,32,512,0,0,0,0,5,100,1,0.000000,0.98850575,0.98857143,0.34375000,172,2,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
31,32,512,0,0,0,0,5,100,1,0.000000,0.69540230,0.69613445,0.85625000,121,51,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
31,32,512,0,0,0,0,5,100,1,0.000000,0.85057471,0.85142857,0.34609375,148,25,1,174,"model=mine,scope=dataset,dataset=2,phase=test"
31,32,512,0,0,0,0,5,100,1,0.000000,0.98275862,0.98285714,0.33984375,171,2,1,174,"model=mine,scope=dataset,dataset=3,phase=test"
31,32,512,0,0,0,0,5,100,1,0.000000,0.87931034,0.87974790,0.47148437,612,80,4,696,"model=mine,scope=overall,phase=test"
41,32,512,0,0,0,0,5,100,1,0.000000,0.98850575,0.98840336,0.34218750,172,2,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
41,32,512,0,0,0,0,5,100,1,0.000000,0.85632184,0.85378151,0.83046875,149,24,1,174,"model=mine,scope=dataset,dataset=1,phase=test"
41,32,512,0,0,0,0,5,100,1,0.000000,0.87931034,0.88000000,0.34687500,153,21,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
41,32,512,0,0,0,0,5,100,1,0.000000,0.97701149,0.97714286,0.34062500,170,3,1,174,"model=mine,scope=dataset,dataset=3,phase=test"
41,32,512,0,0,0,0,5,100,1,0.000000,0.92528736,0.92483193,0.46503906,644,50,2,696,"model=mine,scope=overall,phase=test"
51,32,512,0,0,0,0,5,100,1,0.000000,0.98850575,0.98823529,0.33125000,172,2,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
51,32,512,0,0,0,0,5,100,1,0.000000,0.87931034,0.87882353,0.86015625,153,19,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
51,32,512,0,0,0,0,5,100,1,0.000000,0.86206897,0.86285714,0.35781250,150,24,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
51,32,512,0,0,0,0,5,100,1,0.000000,0.90804598,0.90857143,0.37656250,158,14,2,174,"model=mine,scope=dataset,dataset=3,phase=test"
51,32,512,0,0,0,0,5,100,1,0.000000,0.90948276,0.90962185,0.48144531,633,59,4,696,"model=mine,scope=overall,phase=test"
61,32,512,0,0,0,0,5,100,1,0.000000,1.00000000,1.00000000,0.32500000,174,0,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
61,32,512,0,0,0,0,5,100,1,0.000000,0.96551724,0.96521008,0.84687500,168,5,1,174,"model=mine,scope=dataset,dataset=1,phase=test"
61,32,512,0,0,0,0,5,100,1,0.000000,0.86206897,0.86285714,0.35156250,150,24,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
61,32,512,0,0,0,0,5,100,1,0.000000,0.98850575,0.98857143,0.33750000,172,0,2,174,"model=mine,scope=dataset,dataset=3,phase=test"
61,32,512,0,0,0,0,5,100,1,0.000000,0.95402299,0.95415966,0.46523437,664,29,3,696,"model=mine,scope=overall,phase=test"
71,32,512,0,0,0,0,5,100,1,0.000000,0.98275862,0.98285714,0.34531250,171,3,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
71,32,512,0,0,0,0,5,100,1,0.000000,0.81609195,0.81714286,0.84375000,142,30,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
71,32,512,0,0,0,0,5,100,1,0.000000,0.87931034,0.88000000,0.34296875,153,21,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
71,32,512,0,0,0,0,5,100,1,0.000000,0.97701149,0.97714286,0.34609375,170,3,1,174,"model=mine,scope=dataset,dataset=3,phase=test"
71,32,512,0,0,0,0,5,100,1,0.000000,0.91379310,0.91428571,0.46953125,636,57,3,696,"model=mine,scope=overall,phase=test"
81,32,512,0,0,0,0,5,100,1,0.000000,0.98850575,0.98840336,0.33671875,172,1,1,174,"model=mine,scope=dataset,dataset=0,phase=test"
81,32,512,0,0,0,0,5,100,1,0.000000,0.78735632,0.78857143,0.83828125,137,34,3,174,"model=mine,scope=dataset,dataset=1,phase=test"
81,32,512,0,0,0,0,5,100,1,0.000000,0.86781609,0.86857143,0.35468750,151,23,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
81,32,512,0,0,0,0,5,100,1,0.000000,0.98850575,0.98857143,0.33359375,172,1,1,174,"model=mine,scope=dataset,dataset=3,phase=test"
81,32,512,0,0,0,0,5,100,1,0.000000,0.90804598,0.90852941,0.46582031,632,59,5,696,"model=mine,scope=overall,phase=test"
91,32,512,0,0,0,0,5,100,1,0.000000,0.98850575,0.98857143,0.34531250,172,2,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
