num_levels,vector_dimension,scope,dataset_id,krischan_accuracy,candidate_accuracy,delta_candidate_minus_krischan,winner
21,512,dataset,0,0.8540000000000001,1.0,0.1459999999999999,candidate
21,512,dataset,1,0.43329999999999996,0.62643678,0.19313678000000006,candidate
21,512,dataset,2,0.7989,0.85632184,0.057421839999999946,candidate
21,512,dataset,3,0.9562999999999999,0.96551724,0.009217240000000126,candidate
21,512,overall,-1,0.7606,0.86206897,0.10146896999999999,candidate
21,1024,dataset,0,0.9667,1.0,0.033299999999999996,candidate
21,1024,dataset,1,0.5092,0.67816092,0.16896091999999996,candidate
21,1024,dataset,2,0.8402,0.85057471,0.01037471000000001,candidate
21,1024,dataset,3,0.9609000000000001,0.93678161,-0.024118390000000045,krischan
21,1024,overall,-1,0.8193,0.86637931,0.047079309999999985,candidate
21,2048,dataset,0,0.9815999999999999,1.0,0.018400000000000083,candidate
21,2048,dataset,1,0.6920000000000001,0.64942529,-0.042574710000000016,krischan
21,2048,dataset,2,0.8402,0.84482759,0.004627590000000015,candidate
21,2048,dataset,3,0.9804999999999999,0.95402299,-0.026477009999999912,krischan
21,2048,overall,-1,0.8736,0.86206897,-0.011531029999999998,krischan
21,4096,dataset,0,0.9851000000000001,1.0,0.014899999999999913,candidate
21,4096,dataset,1,0.5861999999999999,0.74712644,0.16092644,candidate
21,4096,dataset,2,0.8402,0.84482759,0.004627590000000015,candidate
21,4096,dataset,3,0.9517,0.98850575,0.03680574999999997,candidate
21,4096,overall,-1,0.8408,0.89511494,0.054314940000000034,candidate
21,8192,dataset,0,0.9736,0.99425287,0.020652869999999934,candidate
21,8192,dataset,1,0.6747,0.71264368,0.037943680000000035,candidate
21,8192,dataset,2,0.8414,0.84482759,0.003427589999999925,candidate
21,8192,dataset,3,0.9506,0.95977011,0.009170110000000009,candidate
21,8192,overall,-1,0.8601000000000001,0.87787356,0.017773559999999966,candidate
31,512,dataset,0,0.9390999999999999,0.98850575,0.049405750000000026,candidate
31,512,dataset,1,0.5989,0.6954023,0.09650230000000004,candidate
31,512,dataset,2,0.8115000000000001,0.85057471,0.039074709999999846,candidate
31,512,dataset,3,0.9276000000000001,0.98275862,0.055158619999999936,candidate
31,512,overall,-1,0.8193,0.87931034,0.06001033999999994,candidate
31,1024,dataset,0,0.9667,0.98850575,0.021805749999999957,candidate
31,1024,dataset,1,0.6828,0.72988506,0.04708506000000001,candidate
31,1024,dataset,2,0.8471,0.85632184,0.009221840000000037,candidate
31,1024,dataset,3,0.9736,0.96551724,-0.008082759999999967,krischan
31,1024,overall,-1,0.8675,0.88505747,0.017557469999999964,candidate
31,2048,dataset,0,0.9839,1.0,0.016100000000000003,candidate
31,2048,dataset,1,0.6631999999999999,0.68965517,0.026455170000000083,candidate
31,2048,dataset,2,0.8437,0.85632184,0.012621839999999995,candidate
31,2048,dataset,3,0.9562999999999999,0.97126437,0.01496437000000006,candidate
31,2048,overall,-1,0.8618000000000001,0.87931034,0.017510339999999847,candidate
31,4096,dataset,0,0.9678,0.99425287,0.02645286999999996,candidate
31,4096,dataset,1,0.6631999999999999,0.73563218,0.07243218000000007,candidate
31,4096,dataset,2,0.8563,0.85632184,2.1840000000050708e-05,candidate
31,4096,dataset,3,0.9678,0.98850575,0.020705749999999967,candidate
31,4096,overall,-1,0.8637999999999999,0.89367816,0.029878160000000098,candidate
31,8192,dataset,0,0.9793000000000001,0.99425287,0.014952869999999896,candidate
31,8192,dataset,1,0.6931,0.73563218,0.04253217999999992,candidate
31,8192,dataset,2,0.8482999999999999,0.85632184,0.008021840000000058,candidate
31,8192,dataset,3,0.9678,0.98275862,0.014958620000000034,candidate
31,8192,overall,-1,0.8721,0.89224138,0.020141379999999987,candidate
41,512,dataset,0,0.9701000000000001,0.98850575,0.018405749999999887,candidate
41,512,dataset,1,0.9529000000000001,0.85632184,-0.09657816000000008,krischan
41,512,dataset,2,0.7954000000000001,0.87931034,0.08391033999999986,candidate
41,512,dataset,3,0.8471,0.97701149,0.12991149000000002,candidate
41,512,overall,-1,0.8914,0.92528736,0.03388736000000003,candidate
41,1024,dataset,0,0.9723999999999999,0.98850575,0.01610575000000003,candidate
41,1024,dataset,1,0.8828,0.94252874,0.05972873999999995,candidate
41,1024,dataset,2,0.8448,0.86206897,0.01726897000000005,candidate
41,1024,dataset,3,0.9621,0.88505747,-0.07704252999999994,krischan
41,1024,overall,-1,0.9155,0.91954023,0.004040229999999978,candidate
41,2048,dataset,0,0.9747,0.98850575,0.01380574999999995,candidate
41,2048,dataset,1,0.8701000000000001,0.8908046,0.02070459999999985,candidate
41,2048,dataset,2,0.8482999999999999,0.86206897,0.013768970000000103,candidate
41,2048,dataset,3,0.9782,0.98275862,0.004558620000000069,candidate
41,2048,overall,-1,0.9178000000000001,0.93103448,0.013234479999999937,candidate
41,4096,dataset,0,0.9815999999999999,1.0,0.018400000000000083,candidate
41,4096,dataset,1,0.9851000000000001,0.96551724,-0.019582760000000032,krischan
41,4096,dataset,2,0.8644,0.85632184,-0.008078159999999945,krischan
41,4096,dataset,3,0.9793000000000001,0.98275862,0.003458619999999968,candidate
41,4096,overall,-1,0.9526,0.95114943,-0.0014505700000000399,krischan
41,8192,dataset,0,0.9723999999999999,0.99425287,0.021852870000000024,candidate
41,8192,dataset,1,0.9782,0.92528736,-0.052912639999999955,krischan
41,8192,dataset,2,0.8644,0.86206897,-0.0023310299999999007,krischan
41,8192,dataset,3,0.9828,1.0,0.017199999999999993,candidate
41,8192,overall,-1,0.9494,0.9454023,-0.003997699999999993,krischan
51,512,dataset,0,0.977,0.98850575,0.011505749999999981,candidate
51,512,dataset,1,0.6598,0.87931034,0.21951033999999991,candidate
51,512,dataset,2,0.8943000000000001,0.86206897,-0.03223103000000005,krischan
51,512,dataset,3,0.9609000000000001,0.90804598,-0.05285402000000006,krischan
51,512,overall,-1,0.873,0.90948276,0.03648275999999995,candidate
51,1024,dataset,0,0.977,0.99425287,0.017252869999999976,candidate
51,1024,dataset,1,0.8321999999999999,0.7183908,-0.11380919999999994,krischan
51,1024,dataset,2,0.8506,0.85632184,0.005721839999999978,candidate
51,1024,dataset,3,0.9667,0.99425287,0.02755286999999995,candidate
51,1024,overall,-1,0.9066,0.8908046,-0.015795400000000015,krischan
51,2048,dataset,0,0.9736,1.0,0.02639999999999998,candidate
51,2048,dataset,1,0.831,0.77011494,-0.060885059999999935,krischan
51,2048,dataset,2,0.8609,0.86206897,0.001168970000000047,candidate
51,2048,dataset,3,0.9712999999999999,0.97126437,-3.56299999999532e-05,krischan
51,2048,overall,-1,0.9092,0.90086207,-0.008337930000000049,krischan
51,4096,dataset,0,0.9851000000000001,0.98850575,0.003405749999999874,candidate
51,4096,dataset,1,0.8414,0.83908046,-0.002319540000000009,krischan
51,4096,dataset,2,0.8609,0.86206897,0.001168970000000047,candidate
51,4096,dataset,3,0.9667,0.98850575,0.021805749999999957,candidate
51,4096,overall,-1,0.9135,0.91954023,0.00604022999999998,candidate
51,8192,dataset,0,0.9815999999999999,0.99425287,0.012652870000000038,candidate
51,8192,dataset,1,0.7828,0.78735632,0.004556319999999947,candidate
51,8192,dataset,2,0.8644,0.86781609,0.0034160900000000938,candidate
51,8192,dataset,3,0.9690000000000001,0.98275862,0.013758619999999944,candidate
51,8192,overall,-1,0.8994,0.90804598,0.008645980000000053,candidate
61,512,dataset,0,0.9804999999999999,1.0,0.019500000000000073,candidate
61,512,dataset,1,0.7056999999999999,0.96551724,0.25981724000000017,candidate
61,512,dataset,2,0.8391,0.86206897,0.02296897000000009,candidate
61,512,dataset,3,0.9712999999999999,0.98850575,0.01720575000000002,candidate
61,512,overall,-1,0.8741,0.95402299,0.07992299000000003,candidate
61,1024,dataset,0,0.9782,1.0,0.02180000000000004,candidate
61,1024,dataset,1,0.7161,0.82758621,0.11148621000000003,candidate
61,1024,dataset,2,0.8529000000000001,0.85632184,0.0034218399999998983,candidate
61,1024,dataset,3,0.9655,0.97701149,0.011511489999999958,candidate
61,1024,overall,-1,0.8782,0.91522989,0.03702989000000001,candidate
61,2048,dataset,0,0.9448000000000001,0.98850575,0.04370574999999988,candidate
