num_levels,num_features,vector_dimension,bipolar_mode,precomputed_item_memory,use_genetic_item_memory,ga_selection_mode,n_gram_size,window,downsample,validation_ratio,overall_accuracy,class_average_accuracy,class_vector_similarity,correct,not_correct,transition_error,total,info
21,32,512,0,1,0,0,5,100,1,0.000000,0.97701149,0.97714286,0.15937500,170,3,1,174,"model=mine,scope=dataset,dataset=0,phase=test"
21,32,512,0,1,0,0,5,100,1,0.000000,0.48275862,0.48033613,0.56562500,84,88,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
21,32,512,0,1,0,0,5,100,1,0.000000,0.80459770,0.80504202,0.14375000,140,34,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
21,32,512,0,1,0,0,5,100,1,0.000000,0.94252874,0.94285714,0.19062500,164,8,2,174,"model=mine,scope=dataset,dataset=3,phase=test"
21,32,512,0,1,0,0,5,100,1,0.000000,0.80172414,0.80134454,0.26484375,558,133,5,696,"model=mine,scope=overall,phase=test"
31,32,512,0,1,0,0,5,100,1,0.000000,0.95977011,0.96000000,0.14453125,167,6,1,174,"model=mine,scope=dataset,dataset=0,phase=test"
31,32,512,0,1,0,0,5,100,1,0.000000,0.73563218,0.73714286,0.65156250,128,44,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
31,32,512,0,1,0,0,5,100,1,0.000000,0.82183908,0.82218487,0.16640625,143,31,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
31,32,512,0,1,0,0,5,100,1,0.000000,0.94827586,0.94857143,0.21328125,165,8,1,174,"model=mine,scope=dataset,dataset=3,phase=test"
31,32,512,0,1,0,0,5,100,1,0.000000,0.86637931,0.86697479,0.29394531,603,89,4,696,"model=mine,scope=overall,phase=test"
41,32,512,0,1,0,0,5,100,1,0.000000,0.97701149,0.97714286,0.17812500,170,3,1,174,"model=mine,scope=dataset,dataset=0,phase=test"
