num_levels,vector_dimension,scope,dataset_id,krischan_accuracy,candidate_accuracy,delta_candidate_minus_krischan,winner
21,512,dataset,0,0.8540000000000001,0.97701149,0.12301148999999989,candidate
21,512,dataset,1,0.43329999999999996,0.48275862,0.049458620000000064,candidate
21,512,dataset,2,0.7989,0.8045977,0.005697699999999917,candidate
21,512,dataset,3,0.9562999999999999,0.94252874,-0.013771259999999952,krischan
21,512,overall,-1,0.7606,0.80172414,0.041124139999999976,candidate
21,1024,dataset,0,0.9667,0.98850575,0.021805749999999957,candidate
21,1024,dataset,1,0.5092,0.54022989,0.031029890000000004,candidate
21,1024,dataset,2,0.8402,0.83333333,-0.006866669999999964,krischan
21,1024,dataset,3,0.9609000000000001,0.96551724,0.004617239999999967,candidate
21,1024,overall,-1,0.8193,0.83189655,0.012596549999999929,candidate
21,2048,dataset,0,0.9815999999999999,0.98850575,0.006905750000000044,candidate
21,2048,dataset,1,0.6920000000000001,0.63218391,-0.0598160900000001,krischan
21,2048,dataset,2,0.8402,0.84482759,0.004627590000000015,candidate
21,2048,dataset,3,0.9804999999999999,0.98275862,0.0022586200000001,candidate
21,2048,overall,-1,0.8736,0.86206897,-0.011531029999999998,krischan
21,4096,dataset,0,0.9851000000000001,0.98850575,0.003405749999999874,candidate
21,4096,dataset,1,0.5861999999999999,0.52298851,-0.06321148999999993,krischan
21,4096,dataset,2,0.8402,0.85057471,0.01037471000000001,candidate
21,4096,dataset,3,0.9517,0.98275862,0.031058620000000037,candidate
21,4096,overall,-1,0.8408,0.8362069,-0.004593100000000017,krischan
21,8192,dataset,0,0.9736,0.98850575,0.01490574999999994,candidate
21,8192,dataset,1,0.6747,0.61494253,-0.05975746999999998,krischan
21,8192,dataset,2,0.8414,0.85057471,0.00917470999999992,candidate
21,8192,dataset,3,0.9506,0.97701149,0.026411489999999982,candidate
21,8192,overall,-1,0.8601000000000001,0.85775862,-0.0023413800000000595,krischan
31,512,dataset,0,0.9390999999999999,0.95977011,0.020670110000000075,candidate
31,512,dataset,1,0.5989,0.73563218,0.13673217999999998,candidate
31,512,dataset,2,0.8115000000000001,0.82183908,0.010339079999999945,candidate
31,512,dataset,3,0.9276000000000001,0.94827586,0.02067585999999988,candidate
31,512,overall,-1,0.8193,0.86637931,0.047079309999999985,candidate
31,1024,dataset,0,0.9667,0.98275862,0.016058620000000023,candidate
31,1024,dataset,1,0.6828,0.71264368,0.02984368000000004,candidate
31,1024,dataset,2,0.8471,0.87356322,0.02646322000000001,candidate
31,1024,dataset,3,0.9736,0.97701149,0.0034114899999999615,candidate
31,1024,overall,-1,0.8675,0.88649425,0.01899424999999999,candidate
31,2048,dataset,0,0.9839,0.99425287,0.010352869999999958,candidate
