num_levels,num_features,vector_dimension,bipolar_mode,precomputed_item_memory,use_genetic_item_memory,ga_selection_mode,n_gram_size,window,downsample,validation_ratio,overall_accuracy,class_average_accuracy,class_vector_similarity,correct,not_correct,transition_error,total,info
21,32,512,0,1,0,0,5,100,1,0.000000,0.97701149,0.97714286,0.25859375,170,4,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
21,32,512,0,1,0,0,5,100,1,0.000000,0.48275862,0.48016807,0.72031250,84,87,3,174,"model=mine,scope=dataset,dataset=1,phase=test"
21,32,512,0,1,0,0,5,100,1,0.000000,0.85057471,0.85142857,0.27421875,148,26,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
21,32,512,0,1,0,0,5,100,1,0.000000,0.94827586,0.94857143,0.34609375,165,9,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
21,32,512,0,1,0,0,5,100,1,0.000000,0.81465517,0.81432773,0.39980469,567,126,3,696,"model=mine,scope=overall,phase=test"
31,32,512,0,1,0,0,5,100,1,0.000000,0.97126437,0.97126050,0.24218750,169,5,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
31,32,512,0,1,0,0,5,100,1,0.000000,0.52873563,0.53092437,0.74921875,92,80,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
31,32,512,0,1,0,0,5,100,1,0.000000,0.82758621,0.82857143,0.30859375,144,29,1,174,"model=mine,scope=dataset,dataset=2,phase=test"
31,32,512,0,1,0,0,5,100,1,0.000000,0.93678161,0.93714286,0.36328125,163,10,1,174,"model=mine,scope=dataset,dataset=3,phase=test"
31,32,512,0,1,0,0,5,100,1,0.000000,0.81609195,0.81697479,0.41582031,568,124,4,696,"model=mine,scope=overall,phase=test"
41,32,512,0,1,0,0,5,100,1,0.000000,0.97701149,0.97680672,0.27890625,170,4,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
41,32,512,0,1,0,0,5,100,1,0.000000,0.91954023,0.91899160,0.77890625,160,13,1,174,"model=mine,scope=dataset,dataset=1,phase=test"
41,32,512,0,1,0,0,5,100,1,0.000000,0.84482759,0.84504202,0.30078125,147,26,1,174,"model=mine,scope=dataset,dataset=2,phase=test"
41,32,512,0,1,0,0,5,100,1,0.000000,0.95977011,0.96000000,0.34609375,167,7,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
41,32,512,0,1,0,0,5,100,1,0.000000,0.92528736,0.92521008,0.42617187,644,50,2,696,"model=mine,scope=overall,phase=test"
51,32,512,0,1,0,0,5,100,1,0.000000,0.98275862,0.98285714,0.29453125,171,3,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
51,32,512,0,1,0,0,5,100,1,0.000000,0.70689655,0.70285714,0.79765625,123,51,0,174,"model=mine,scope=dataset,dataset=1,phase=test"
51,32,512,0,1,0,0,5,100,1,0.000000,0.82758621,0.82789916,0.29609375,144,30,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
51,32,512,0,1,0,0,5,100,1,0.000000,0.97126437,0.97142857,0.35703125,169,5,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
51,32,512,0,1,0,0,5,100,1,0.000000,0.87212644,0.87126050,0.43632813,607,89,0,696,"model=mine,scope=overall,phase=test"
61,32,512,0,1,0,0,5,100,1,0.000000,0.96551724,0.96554622,0.25625000,168,6,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
61,32,512,0,1,0,0,5,100,1,0.000000,0.51724138,0.51428571,0.78593750,90,83,1,174,"model=mine,scope=dataset,dataset=1,phase=test"
61,32,512,0,1,0,0,5,100,1,0.000000,0.75862069,0.75932773,0.32109375,132,42,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
61,32,512,0,1,0,0,5,100,1,0.000000,0.98275862,0.98285714,0.35937500,171,2,1,174,"model=mine,scope=dataset,dataset=3,phase=test"
61,32,512,0,1,0,0,5,100,1,0.000000,0.80603448,0.80550420,0.43066406,561,133,2,696,"model=mine,scope=overall,phase=test"
71,32,512,0,1,0,0,5,100,1,0.000000,0.97701149,0.97714286,0.27109375,170,4,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
71,32,512,0,1,0,0,5,100,1,0.000000,0.71839080,0.71428571,0.76484375,125,47,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
71,32,512,0,1,0,0,5,100,1,0.000000,0.75287356,0.75361345,0.31093750,131,42,1,174,"model=mine,scope=dataset,dataset=2,phase=test"
71,32,512,0,1,0,0,5,100,1,0.000000,0.97701149,0.97714286,0.33593750,170,4,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
71,32,512,0,1,0,0,5,100,1,0.000000,0.85632184,0.85554622,0.42070313,596,97,3,696,"model=mine,scope=overall,phase=test"
81,32,512,0,1,0,0,5,100,1,0.000000,0.94827586,0.94773109,0.25468750,165,9,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
81,32,512,0,1,0,0,5,100,1,0.000000,0.51149425,0.50857143,0.75078125,89,83,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
81,32,512,0,1,0,0,5,100,1,0.000000,0.79885057,0.79932773,0.32109375,139,34,1,174,"model=mine,scope=dataset,dataset=2,phase=test"
81,32,512,0,1,0,0,5,100,1,0.000000,0.97701149,0.97714286,0.36328125,170,4,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
81,32,512,0,1,0,0,5,100,1,0.000000,0.80890805,0.80819328,0.42246094,563,130,3,696,"model=mine,scope=overall,phase=test"
91,32,512,0,1,0,0,5,100,1,0.000000,0.97126437,0.97126050,0.27890625,169,5,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
91,32,512,0,1,0,0,5,100,1,0.000000,0.71839080,0.71882353,0.76093750,125,47,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
91,32,512,0,1,0,0,5,100,1,0.000000,0.82183908,0.82218487,0.31171875,143,31,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
91,32,512,0,1,0,0,5,100,1,0.000000,0.98275862,0.98285714,0.36171875,171,3,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
91,32,512,0,1,0,0,5,100,1,0.000000,0.87356322,0.87378151,0.42832031,608,86,2,696,"model=mine,scope=overall,phase=test"
101,32,512,0,1,0,0,5,100,1,0.000000,0.98850575,0.98857143,0.25859375,172,2,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
101,32,512,0,1,0,0,5,100,1,0.000000,0.58045977,0.57764706,0.76875000,101,71,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
101,32,512,0,1,0,0,5,100,1,0.000000,0.78735632,0.78789916,0.32968750,137,37,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
101,32,512,0,1,0,0,5,100,1,0.000000,1.00000000,1.00000000,0.33984375,174,0,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
101,32,512,0,1,0,0,5,100,1,0.000000,0.83908046,0.83852941,0.42421875,584,110,2,696,"model=mine,scope=overall,phase=test"
111,32,512,0,1,0,0,5,100,1,0.000000,0.98275862,0.98268908,0.27187500,171,3,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
111,32,512,0,1,0,0,5,100,1,0.000000,0.90804598,0.90857143,0.77968750,158,16,0,174,"model=mine,scope=dataset,dataset=1,phase=test"
111,32,512,0,1,0,0,5,100,1,0.000000,0.75862069,0.75915966,0.34296875,132,41,1,174,"model=mine,scope=dataset,dataset=2,phase=test"
111,32,512,0,1,0,0,5,100,1,0.000000,0.99425287,0.99428571,0.34687500,173,1,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
111,32,512,0,1,0,0,5,100,1,0.000000,0.91091954,0.91117647,0.43535156,634,61,1,696,"model=mine,scope=overall,phase=test"
121,32,512,0,1,0,0,5,100,1,0.000000,0.97126437,0.97142857,0.27109375,169,5,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
121,32,512,0,1,0,0,5,100,1,0.000000,0.83333333,0.83277311,0.75546875,145,28,1,174,"model=mine,scope=dataset,dataset=1,phase=test"
121,32,512,0,1,0,0,5,100,1,0.000000,0.77011494,0.77092437,0.34921875,134,39,1,174,"model=mine,scope=dataset,dataset=2,phase=test"
121,32,512,0,1,0,0,5,100,1,0.000000,0.98275862,0.98285714,0.35468750,171,3,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
121,32,512,0,1,0,0,5,100,1,0.000000,0.88936782,0.88949580,0.43261719,619,75,2,696,"model=mine,scope=overall,phase=test"
131,32,512,0,1,0,0,5,100,1,0.000000,0.95402299,0.95327731,0.26171875,166,8,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
131,32,512,0,1,0,0,5,100,1,0.000000,0.50574713,0.50285714,0.74375000,88,84,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
131,32,512,0,1,0,0,5,100,1,0.000000,0.79310345,0.79361345,0.35000000,138,36,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
131,32,512,0,1,0,0,5,100,1,0.000000,1.00000000,1.00000000,0.35000000,174,0,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
131,32,512,0,1,0,0,5,100,1,0.000000,0.81321839,0.81243697,0.42636719,566,128,2,696,"model=mine,scope=overall,phase=test"
141,32,512,0,1,0,0,5,100,1,0.000000,0.98275862,0.98268908,0.26718750,171,3,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
141,32,512,0,1,0,0,5,100,1,0.000000,0.66666667,0.66605042,0.76718750,116,56,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
141,32,512,0,1,0,0,5,100,1,0.000000,0.79885057,0.79932773,0.34687500,139,35,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
141,32,512,0,1,0,0,5,100,1,0.000000,0.98850575,0.98857143,0.36484375,172,2,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
141,32,512,0,1,0,0,5,100,1,0.000000,0.85919540,0.85915966,0.43652344,598,96,2,696,"model=mine,scope=overall,phase=test"
151,32,512,0,1,0,0,5,100,1,0.000000,0.98275862,0.98285714,0.26015625,171,3,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
151,32,512,0,1,0,0,5,100,1,0.000000,0.77011494,0.77142857,0.76953125,134,38,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
151,32,512,0,1,0,0,5,100,1,0.000000,0.81609195,0.81663866,0.33828125,142,32,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
151,32,512,0,1,0,0,5,100,1,0.000000,0.98275862,0.98285714,0.35156250,171,3,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
151,32,512,0,1,0,0,5,100,1,0.000000,0.88793103,0.88844538,0.42988281,618,76,2,696,"model=mine,scope=overall,phase=test"
21,32,1024,0,1,0,0,5,100,1,0.000000,1.00000000,1.00000000,0.26328125,174,0,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
21,32,1024,0,1,0,0,5,100,1,0.000000,0.49425287,0.49142857,0.74296875,86,87,1,174,"model=mine,scope=dataset,dataset=1,phase=test"
21,32,1024,0,1,0,0,5,100,1,0.000000,0.84482759,0.84571429,0.29414062,147,27,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
21,32,1024,0,1,0,0,5,100,1,0.000000,0.97701149,0.97714286,0.34335938,170,4,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
21,32,1024,0,1,0,0,5,100,1,0.000000,0.82902299,0.82857143,0.41093750,577,118,1,696,"model=mine,scope=overall,phase=test"
31,32,1024,0,1,0,0,5,100,1,0.000000,0.98275862,0.98285714,0.28554687,171,3,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
31,32,1024,0,1,0,0,5,100,1,0.000000,0.73563218,0.73647059,0.76132813,128,45,1,174,"model=mine,scope=dataset,dataset=1,phase=test"
31,32,1024,0,1,0,0,5,100,1,0.000000,0.85632184,0.85714286,0.32382813,149,25,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
31,32,1024,0,1,0,0,5,100,1,0.000000,0.95977011,0.96000000,0.32812500,167,6,1,174,"model=mine,scope=dataset,dataset=3,phase=test"
31,32,1024,0,1,0,0,5,100,1,0.000000,0.88362069,0.88411765,0.42470703,615,79,2,696,"model=mine,scope=overall,phase=test"
41,32,1024,0,1,0,0,5,100,1,0.000000,0.98275862,0.98285714,0.25781250,171,2,1,174,"model=mine,scope=dataset,dataset=0,phase=test"
41,32,1024,0,1,0,0,5,100,1,0.000000,0.95402299,0.95428571,0.80898437,166,7,1,174,"model=mine,scope=dataset,dataset=1,phase=test"
41,32,1024,0,1,0,0,5,100,1,0.000000,0.86781609,0.86857143,0.32500000,151,23,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
41,32,1024,0,1,0,0,5,100,1,0.000000,0.98850575,0.98857143,0.32578125,172,2,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
41,32,1024,0,1,0,0,5,100,1,0.000000,0.94827586,0.94857143,0.42939453,660,34,2,696,"model=mine,scope=overall,phase=test"
51,32,1024,0,1,0,0,5,100,1,0.000000,0.98275862,0.98268908,0.27500000,171,3,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
51,32,1024,0,1,0,0,5,100,1,0.000000,0.68390805,0.68000000,0.83359375,119,54,1,174,"model=mine,scope=dataset,dataset=1,phase=test"
51,32,1024,0,1,0,0,5,100,1,0.000000,0.86206897,0.86285714,0.31835938,150,24,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
51,32,1024,0,1,0,0,5,100,1,0.000000,0.96551724,0.96571429,0.34414062,168,6,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
51,32,1024,0,1,0,0,5,100,1,0.000000,0.87356322,0.87281513,0.44277344,608,87,1,696,"model=mine,scope=overall,phase=test"
61,32,1024,0,1,0,0,5,100,1,0.000000,0.99425287,0.99428571,0.28242187,173,0,1,174,"model=mine,scope=dataset,dataset=0,phase=test"
61,32,1024,0,1,0,0,5,100,1,0.000000,0.69540230,0.69176471,0.80000000,121,53,0,174,"model=mine,scope=dataset,dataset=1,phase=test"
61,32,1024,0,1,0,0,5,100,1,0.000000,0.86206897,0.86285714,0.33554688,150,23,1,174,"model=mine,scope=dataset,dataset=2,phase=test"
61,32,1024,0,1,0,0,5,100,1,0.000000,1.00000000,1.00000000,0.33281250,174,0,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
61,32,1024,0,1,0,0,5,100,1,0.000000,0.88793103,0.88722689,0.43769531,618,76,2,696,"model=mine,scope=overall,phase=test"
71,32,1024,0,1,0,0,5,100,1,0.000000,0.98850575,0.98840336,0.28046875,172,1,1,174,"model=mine,scope=dataset,dataset=0,phase=test"
71,32,1024,0,1,0,0,5,100,1,0.000000,0.52298851,0.52218487,0.78984375,91,81,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
71,32,1024,0,1,0,0,5,100,1,0.000000,0.85632184,0.85714286,0.31992188,149,24,1,174,"model=mine,scope=dataset,dataset=2,phase=test"
71,32,1024,0,1,0,0,5,100,1,0.000000,0.98850575,0.98857143,0.33164063,172,1,1,174,"model=mine,scope=dataset,dataset=3,phase=test"
71,32,1024,0,1,0,0,5,100,1,0.000000,0.83908046,0.83907563,0.43046875,584,107,5,696,"model=mine,scope=overall,phase=test"
81,32,1024,0,1,0,0,5,100,1,0.000000,0.98850575,0.98857143,0.27343750,172,2,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
81,32,1024,0,1,0,0,5,100,1,0.000000,0.62643678,0.62470588,0.75820312,109,63,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
81,32,1024,0,1,0,0,5,100,1,0.000000,0.85057471,0.85142857,0.31406250,148,25,1,174,"model=mine,scope=dataset,dataset=2,phase=test"
81,32,1024,0,1,0,0,5,100,1,0.000000,0.98275862,0.98285714,0.31835938,171,2,1,174,"model=mine,scope=dataset,dataset=3,phase=test"
81,32,1024,0,1,0,0,5,100,1,0.000000,0.86206897,0.86189076,0.41601562,600,92,4,696,"model=mine,scope=overall,phase=test"
91,32,1024,0,1,0,0,5,100,1,0.000000,0.98850575,0.98840336,0.28203125,172,1,1,174,"model=mine,scope=dataset,dataset=0,phase=test"
91,32,1024,0,1,0,0,5,100,1,0.000000,0.87356322,0.87428571,0.81171875,152,21,1,174,"model=mine,scope=dataset,dataset=1,phase=test"
91,32,1024,0,1,0,0,5,100,1,0.000000,0.84482759,0.84571429,0.32109375,147,26,1,174,"model=mine,scope=dataset,dataset=2,phase=test"
91,32,1024,0,1,0,0,5,100,1,0.000000,0.98850575,0.98857143,0.31875000,172,1,1,174,"model=mine,scope=dataset,dataset=3,phase=test"
91,32,1024,0,1,0,0,5,100,1,0.000000,0.92385057,0.92424370,0.43339844,643,49,4,696,"model=mine,scope=overall,phase=test"
101,32,1024,0,1,0,0,5,100,1,0.000000,0.98850575,0.98857143,0.28359375,172,2,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
101,32,1024,0,1,0,0,5,100,1,0.000000,0.75862069,0.75495798,0.79765625,132,42,0,174,"model=mine,scope=dataset,dataset=1,phase=test"
101,32,1024,0,1,0,0,5,100,1,0.000000,0.85057471,0.85142857,0.32539062,148,25,1,174,"model=mine,scope=dataset,dataset=2,phase=test"
101,32,1024,0,1,0,0,5,100,1,0.000000,0.98850575,0.98857143,0.33359375,172,1,1,174,"model=mine,scope=dataset,dataset=3,phase=test"
101,32,1024,0,1,0,0,5,100,1,0.000000,0.89655172,0.89588235,0.43505859,624,70,2,696,"model=mine,scope=overall,phase=test"
111,32,1024,0,1,0,0,5,100,1,0.000000,0.99425287,0.99428571,0.28007813,173,1,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
111,32,1024,0,1,0,0,5,100,1,0.000000,0.66666667,0.66504202,0.79414063,116,56,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
111,32,1024,0,1,0,0,5,100,1,0.000000,0.84482759,0.84571429,0.32968750,147,26,1,174,"model=mine,scope=dataset,dataset=2,phase=test"
111,32,1024,0,1,0,0,5,100,1,0.000000,0.98850575,0.98857143,0.32265625,172,2,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
111,32,1024,0,1,0,0,5,100,1,0.000000,0.87356322,0.87340336,0.43164062,608,85,3,696,"model=mine,scope=overall,phase=test"
121,32,1024,0,1,0,0,5,100,1,0.000000,0.98850575,0.98857143,0.27421875,172,2,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
121,32,1024,0,1,0,0,5,100,1,0.000000,0.83908046,0.83781513,0.79843750,146,26,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
121,32,1024,0,1,0,0,5,100,1,0.000000,0.84482759,0.84571429,0.31601563,147,26,1,174,"model=mine,scope=dataset,dataset=2,phase=test"
121,32,1024,0,1,0,0,5,100,1,0.000000,0.98850575,0.98857143,0.32812500,172,2,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
121,32,1024,0,1,0,0,5,100,1,0.000000,0.91522989,0.91516807,0.42919922,637,56,3,696,"model=mine,scope=overall,phase=test"
131,32,1024,0,1,0,0,5,100,1,0.000000,0.98275862,0.98252101,0.27773437,171,3,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
131,32,1024,0,1,0,0,5,100,1,0.000000,0.56321839,0.56000000,0.77382812,98,75,1,174,"model=mine,scope=dataset,dataset=1,phase=test"
131,32,1024,0,1,0,0,5,100,1,0.000000,0.85057471,0.85142857,0.32382813,148,25,1,174,"model=mine,scope=dataset,dataset=2,phase=test"
131,32,1024,0,1,0,0,5,100,1,0.000000,0.98850575,0.98857143,0.34140625,172,1,1,174,"model=mine,scope=dataset,dataset=3,phase=test"
131,32,1024,0,1,0,0,5,100,1,0.000000,0.84626437,0.84563025,0.42919922,589,104,3,696,"model=mine,scope=overall,phase=test"
141,32,1024,0,1,0,0,5,100,1,0.000000,0.98275862,0.98268908,0.28750000,171,2,1,174,"model=mine,scope=dataset,dataset=0,phase=test"
141,32,1024,0,1,0,0,5,100,1,0.000000,0.74137931,0.73764706,0.77968750,129,45,0,174,"model=mine,scope=dataset,dataset=1,phase=test"
141,32,1024,0,1,0,0,5,100,1,0.000000,0.85632184,0.85714286,0.32187500,149,24,1,174,"model=mine,scope=dataset,dataset=2,phase=test"
141,32,1024,0,1,0,0,5,100,1,0.000000,0.98850575,0.98857143,0.32617188,172,1,1,174,"model=mine,scope=dataset,dataset=3,phase=test"
141,32,1024,0,1,0,0,5,100,1,0.000000,0.89224138,0.89151261,0.42880859,621,72,3,696,"model=mine,scope=overall,phase=test"
151,32,1024,0,1,0,0,5,100,1,0.000000,0.99425287,0.99428571,0.28867188,173,1,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
151,32,1024,0,1,0,0,5,100,1,0.000000,0.78160920,0.77798319,0.80312500,136,37,1,174,"model=mine,scope=dataset,dataset=1,phase=test"
151,32,1024,0,1,0,0,5,100,1,0.000000,0.85632184,0.85714286,0.32031250,149,24,1,174,"model=mine,scope=dataset,dataset=2,phase=test"
151,32,1024,0,1,0,0,5,100,1,0.000000,0.99425287,0.99428571,0.33906250,173,1,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
151,32,1024,0,1,0,0,5,100,1,0.000000,0.90660920,0.90592437,0.43779297,631,63,2,696,"model=mine,scope=overall,phase=test"
21,32,2048,0,1,0,0,5,100,1,0.000000,0.98850575,0.98857143,0.25449219,172,2,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
21,32,2048,0,1,0,0,5,100,1,0.000000,0.61494253,0.61176471,0.74414062,107,66,1,174,"model=mine,scope=dataset,dataset=1,phase=test"
21,32,2048,0,1,0,0,5,100,1,0.000000,0.85057471,0.85142857,0.28593750,148,26,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
21,32,2048,0,1,0,0,5,100,1,0.000000,0.97701149,0.97714286,0.36210938,170,4,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
21,32,2048,0,1,0,0,5,100,1,0.000000,0.85775862,0.85722689,0.41166992,597,98,1,696,"model=mine,scope=overall,phase=test"
31,32,2048,0,1,0,0,5,100,1,0.000000,0.99425287,0.99411765,0.25957031,173,1,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
31,32,2048,0,1,0,0,5,100,1,0.000000,0.70689655,0.70840336,0.77851563,123,49,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
31,32,2048,0,1,0,0,5,100,1,0.000000,0.86206897,0.86285714,0.26933594,150,24,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
31,32,2048,0,1,0,0,5,100,1,0.000000,0.98275862,0.98285714,0.32753906,171,2,1,174,"model=mine,scope=dataset,dataset=3,phase=test"
31,32,2048,0,1,0,0,5,100,1,0.000000,0.88649425,0.88705882,0.40874023,617,76,3,696,"model=mine,scope=overall,phase=test"
41,32,2048,0,1,0,0,5,100,1,0.000000,1.00000000,1.00000000,0.28203125,174,0,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
41,32,2048,0,1,0,0,5,100,1,0.000000,0.98850575,0.98857143,0.79238281,172,2,0,174,"model=mine,scope=dataset,dataset=1,phase=test"
41,32,2048,0,1,0,0,5,100,1,0.000000,0.88505747,0.88571429,0.28535156,154,20,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
41,32,2048,0,1,0,0,5,100,1,0.000000,0.97701149,0.97714286,0.33925781,170,4,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
41,32,2048,0,1,0,0,5,100,1,0.000000,0.96264368,0.96285714,0.42475586,670,26,0,696,"model=mine,scope=overall,phase=test"
51,32,2048,0,1,0,0,5,100,1,0.000000,0.98850575,0.98840336,0.27871094,172,2,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
51,32,2048,0,1,0,0,5,100,1,0.000000,0.68965517,0.68571429,0.81269531,120,54,0,174,"model=mine,scope=dataset,dataset=1,phase=test"
51,32,2048,0,1,0,0,5,100,1,0.000000,0.86781609,0.86857143,0.29277344,151,23,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
51,32,2048,0,1,0,0,5,100,1,0.000000,0.97126437,0.97142857,0.34296875,169,5,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
51,32,2048,0,1,0,0,5,100,1,0.000000,0.87931034,0.87852941,0.43178711,612,84,0,696,"model=mine,scope=overall,phase=test"
61,32,2048,0,1,0,0,5,100,1,0.000000,0.99425287,0.99428571,0.27539062,173,1,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
61,32,2048,0,1,0,0,5,100,1,0.000000,0.73563218,0.73176471,0.78437500,128,45,1,174,"model=mine,scope=dataset,dataset=1,phase=test"
61,32,2048,0,1,0,0,5,100,1,0.000000,0.88505747,0.88571429,0.31171875,154,20,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
61,32,2048,0,1,0,0,5,100,1,0.000000,0.99425287,0.99428571,0.34316406,173,1,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
