num_levels,num_features,vector_dimension,bipolar_mode,precomputed_item_memory,use_genetic_item_memory,ga_selection_mode,n_gram_size,window,downsample,validation_ratio,overall_accuracy,class_average_accuracy,class_vector_similarity,correct,not_correct,transition_error,total,info
21,32,512,0,0,0,-1,1,5,1,0.0,0.8540000000000001,0.8540000000000001,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=0,repeat=0"
21,32,512,0,0,0,-1,1,5,1,0.0,0.43329999999999996,0.43329999999999996,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=1,repeat=0"
21,32,512,0,0,0,-1,1,5,1,0.0,0.7989,0.7989,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=2,repeat=0"
21,32,512,0,0,0,-1,1,5,1,0.0,0.9562999999999999,0.9562999999999999,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=3,repeat=0"
21,32,512,0,0,0,-1,1,5,1,0.0,0.7606,0.7606,-1.0,-1,-1,-1,-1,"model=krischan,scope=overall,mode=1,repeat=0"
31,32,512,0,0,0,-1,1,5,1,0.0,0.9390999999999999,0.9390999999999999,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=0,repeat=0"
31,32,512,0,0,0,-1,1,5,1,0.0,0.5989,0.5989,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=1,repeat=0"
31,32,512,0,0,0,-1,1,5,1,0.0,0.8115000000000001,0.8115000000000001,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=2,repeat=0"
31,32,512,0,0,0,-1,1,5,1,0.0,0.9276000000000001,0.9276000000000001,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=3,repeat=0"
31,32,512,0,0,0,-1,1,5,1,0.0,0.8193,0.8193,-1.0,-1,-1,-1,-1,"model=krischan,scope=overall,mode=1,repeat=0"
41,32,512,0,0,0,-1,1,5,1,0.0,0.9701000000000001,0.9701000000000001,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=0,repeat=0"
41,32,512,0,0,0,-1,1,5,1,0.0,0.9529000000000001,0.9529000000000001,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=1,repeat=0"
41,32,512,0,0,0,-1,1,5,1,0.0,0.7954000000000001,0.7954000000000001,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=2,repeat=0"
41,32,512,0,0,0,-1,1,5,1,0.0,0.8471,0.8471,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=3,repeat=0"
41,32,512,0,0,0,-1,1,5,1,0.0,0.8914,0.8914,-1.0,-1,-1,-1,-1,"model=krischan,scope=overall,mode=1,repeat=0"
51,32,512,0,0,0,-1,1,5,1,0.0,0.977,0.977,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=0,repeat=0"
51,32,512,0,0,0,-1,1,5,1,0.0,0.6598,0.6598,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=1,repeat=0"
51,32,512,0,0,0,-1,1,5,1,0.0,0.8943000000000001,0.8943000000000001,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=2,repeat=0"
51,32,512,0,0,0,-1,1,5,1,0.0,0.9609000000000001,0.9609000000000001,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=3,repeat=0"
51,32,512,0,0,0,-1,1,5,1,0.0,0.873,0.873,-1.0,-1,-1,-1,-1,"model=krischan,scope=overall,mode=1,repeat=0"
61,32,512,0,0,0,-1,1,5,1,0.0,0.9804999999999999,0.9804999999999999,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=0,repeat=0"
61,32,512,0,0,0,-1,1,5,1,0.0,0.7056999999999999,0.7056999999999999,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=1,repeat=0"
61,32,512,0,0,0,-1,1,5,1,0.0,0.8391,0.8391,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=2,repeat=0"
61,32,512,0,0,0,-1,1,5,1,0.0,0.9712999999999999,0.9712999999999999,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=3,repeat=0"
61,32,512,0,0,0,-1,1,5,1,0.0,0.8741,0.8741,-1.0,-1,-1,-1,-1,"model=krischan,scope=overall,mode=1,repeat=0"
71,32,512,0,0,0,-1,1,5,1,0.0,0.977,0.977,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=0,repeat=0"
71,32,512,0,0,0,-1,1,5,1,0.0,0.6678000000000001,0.6678000000000001,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=1,repeat=0"
71,32,512,0,0,0,-1,1,5,1,0.0,0.8690000000000001,0.8690000000000001,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=2,repeat=0"
71,32,512,0,0,0,-1,1,5,1,0.0,0.977,0.977,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=3,repeat=0"
71,32,512,0,0,0,-1,1,5,1,0.0,0.8726999999999999,0.8726999999999999,-1.0,-1,-1,-1,-1,"model=krischan,scope=overall,mode=1,repeat=0"
81,32,512,0,0,0,-1,1,5,1,0.0,0.9862000000000001,0.9862000000000001,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=0,repeat=0"
81,32,512,0,0,0,-1,1,5,1,0.0,0.6470999999999999,0.6470999999999999,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=1,repeat=0"
81,32,512,0,0,0,-1,1,5,1,0.0,0.8448,0.8448,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=2,repeat=0"
81,32,512,0,0,0,-1,1,5,1,0.0,0.9712999999999999,0.9712999999999999,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=3,repeat=0"
81,32,512,0,0,0,-1,1,5,1,0.0,0.8623999999999999,0.8623999999999999,-1.0,-1,-1,-1,-1,"model=krischan,scope=overall,mode=1,repeat=0"
91,32,512,0,0,0,-1,1,5,1,0.0,0.9747,0.9747,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=0,repeat=0"
91,32,512,0,0,0,-1,1,5,1,0.0,0.7908,0.7908,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=1,repeat=0"
91,32,512,0,0,0,-1,1,5,1,0.0,0.8425,0.8425,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=2,repeat=0"
91,32,512,0,0,0,-1,1,5,1,0.0,0.9851000000000001,0.9851000000000001,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=3,repeat=0"
91,32,512,0,0,0,-1,1,5,1,0.0,0.8983,0.8983,-1.0,-1,-1,-1,-1,"model=krischan,scope=overall,mode=1,repeat=0"
101,32,512,0,0,0,-1,1,5,1,0.0,0.9759,0.9759,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=0,repeat=0"
101,32,512,0,0,0,-1,1,5,1,0.0,0.8747,0.8747,-1.0,-1,-1,-1,-1,"model=krischan,scope=dataset,mode=1,dataset=1,repeat=0"
