num_levels,num_features,vector_dimension,bipolar_mode,precomputed_item_memory,use_genetic_item_memory,ga_selection_mode,n_gram_size,window,downsample,validation_ratio,overall_accuracy,class_average_accuracy,class_vector_similarity,correct,not_correct,transition_error,total,info
21,32,512,0,0,0,0,5,100,1,0.000000,0.98160920,0.98609872,0.31171875,854,12,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
21,32,512,0,0,0,0,5,100,1,0.000000,0.67011494,0.67379310,0.81718750,583,283,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
21,32,512,0,0,0,0,5,100,1,0.000000,0.83908046,0.84021636,0.35781250,730,136,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
21,32,512,0,0,0,0,5,100,1,0.000000,0.96091954,0.96494929,0.36484375,836,30,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
21,32,512,0,0,0,0,5,100,1,0.000000,0.86293103,0.86626437,0.46289062,3003,461,0,3480,"model=mine,scope=overall,phase=test"
31,32,512,0,0,0,0,5,100,1,0.000000,0.96666667,0.97083164,0.34218750,841,25,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
31,32,512,0,0,0,0,5,100,1,0.000000,0.70000000,0.70311021,0.86562500,609,257,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
31,32,512,0,0,0,0,5,100,1,0.000000,0.84252874,0.84379986,0.37890625,733,133,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
31,32,512,0,0,0,0,5,100,1,0.000000,0.97356322,0.97816092,0.36250000,847,19,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
31,32,512,0,0,0,0,5,100,1,0.000000,0.87068966,0.87397566,0.48730469,3030,434,0,3480,"model=mine,scope=overall,phase=test"
41,32,512,0,0,0,0,5,100,1,0.000000,0.97356322,0.97786342,0.33281250,847,19,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
41,32,512,0,0,0,0,5,100,1,0.000000,0.90689655,0.91119675,0.84531250,789,77,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
41,32,512,0,0,0,0,5,100,1,0.000000,0.86091954,0.86256930,0.36953125,749,117,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
41,32,512,0,0,0,0,5,100,1,0.000000,0.97816092,0.98275862,0.36484375,851,15,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
