num_levels,num_features,vector_dimension,bipolar_mode,precomputed_item_memory,use_genetic_item_memory,ga_selection_mode,n_gram_size,window,downsample,validation_ratio,overall_accuracy,class_average_accuracy,class_vector_similarity,correct,not_correct,transition_error,total,info
21,32,512,0,0,0,0,5,100,1,0.000000,0.99425287,0.99428571,0.34453125,173,1,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
21,32,512,0,0,0,0,5,100,1,0.000000,0.40229885,0.40000000,0.96875000,70,102,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
21,32,512,0,0,0,0,5,100,1,0.000000,0.86781609,0.86857143,0.36406250,151,22,1,174,"model=mine,scope=dataset,dataset=2,phase=test"
21,32,512,0,0,0,0,5,100,1,0.000000,0.79885057,0.80000000,0.36250000,139,34,1,174,"model=mine,scope=dataset,dataset=3,phase=test"
21,32,512,0,0,0,0,5,100,1,0.000000,0.76580460,0.76571429,0.50996094,533,159,4,696,"model=mine,scope=overall,phase=test"
31,32,512,0,0,0,0,5,100,1,0.000000,0.99425287,0.99411765,0.34375000,173,1,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
31,32,512,0,0,0,0,5,100,1,0.000000,0.55747126,0.55428571,0.89062500,97,75,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
31,32,512,0,0,0,0,5,100,1,0.000000,0.90804598,0.90857143,0.35703125,158,16,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
31,32,512,0,0,0,0,5,100,1,0.000000,0.87931034,0.88000000,0.35703125,153,20,1,174,"model=mine,scope=dataset,dataset=3,phase=test"
31,32,512,0,0,0,0,5,100,1,0.000000,0.83477011,0.83424370,0.48710937,581,112,3,696,"model=mine,scope=overall,phase=test"
41,32,512,0,0,0,0,5,100,1,0.000000,1.00000000,1.00000000,0.32187500,174,0,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
41,32,512,0,0,0,0,5,100,1,0.000000,0.77586207,0.77260504,0.88281250,135,39,0,174,"model=mine,scope=dataset,dataset=1,phase=test"
41,32,512,0,0,0,0,5,100,1,0.000000,0.87931034,0.88000000,0.35781250,153,21,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
41,32,512,0,0,0,0,5,100,1,0.000000,0.95977011,0.96000000,0.35781250,167,7,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
41,32,512,0,0,0,0,5,100,1,0.000000,0.90373563,0.90315126,0.48007813,629,67,0,696,"model=mine,scope=overall,phase=test"
