num_levels,num_features,vector_dimension,bipolar_mode,precomputed_item_memory,use_genetic_item_memory,ga_selection_mode,n_gram_size,window,downsample,validation_ratio,overall_accuracy,class_average_accuracy,class_vector_similarity,correct,not_correct,transition_error,total,info
21,32,512,0,1,0,0,5,100,1,0.000000,0.97701149,0.97697479,0.17031250,170,3,1,174,"model=mine,scope=dataset,dataset=0,phase=test"
21,32,512,0,1,0,0,5,100,1,0.000000,0.40229885,0.40000000,0.98437500,70,102,2,174,"model=mine,scope=dataset,dataset=1,phase=test"
21,32,512,0,1,0,0,5,100,1,0.000000,0.84482759,0.84487395,0.19375000,147,27,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
21,32,512,0,1,0,0,5,100,1,0.000000,0.79310345,0.79428571,0.22578125,138,34,2,174,"model=mine,scope=dataset,dataset=3,phase=test"
21,32,512,0,1,0,0,5,100,1,0.000000,0.75431034,0.75403361,0.39355469,525,166,5,696,"model=mine,scope=overall,phase=test"
31,32,512,0,1,0,0,5,100,1,0.000000,0.98850575,0.98857143,0.14531250,172,1,1,174,"model=mine,scope=dataset,dataset=0,phase=test"
31,32,512,0,1,0,0,5,100,1,0.000000,0.58045977,0.57714286,0.81015625,101,72,1,174,"model=mine,scope=dataset,dataset=1,phase=test"
31,32,512,0,1,0,0,5,100,1,0.000000,0.82183908,0.82218487,0.14453125,143,31,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
31,32,512,0,1,0,0,5,100,1,0.000000,0.95402299,0.95428571,0.19218750,166,8,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
31,32,512,0,1,0,0,5,100,1,0.000000,0.83620690,0.83554622,0.32304688,582,112,2,696,"model=mine,scope=overall,phase=test"
41,32,512,0,1,0,0,5,100,1,0.000000,0.98275862,0.98285714,0.16093750,171,2,1,174,"model=mine,scope=dataset,dataset=0,phase=test"
41,32,512,0,1,0,0,5,100,1,0.000000,0.60919540,0.60588235,0.72031250,106,65,3,174,"model=mine,scope=dataset,dataset=1,phase=test"
41,32,512,0,1,0,0,5,100,1,0.000000,0.83333333,0.83361345,0.17265625,145,29,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
41,32,512,0,1,0,0,5,100,1,0.000000,0.99425287,0.99428571,0.19531250,173,1,0,174,"model=mine,scope=dataset,dataset=3,phase=test"
41,32,512,0,1,0,0,5,100,1,0.000000,0.85488506,0.85415966,0.31230469,595,97,4,696,"model=mine,scope=overall,phase=test"
51,32,512,0,1,0,0,5,100,1,0.000000,0.98850575,0.98857143,0.15546875,172,2,0,174,"model=mine,scope=dataset,dataset=0,phase=test"
51,32,512,0,1,0,0,5,100,1,0.000000,0.68965517,0.68957983,0.67343750,120,51,3,174,"model=mine,scope=dataset,dataset=1,phase=test"
51,32,512,0,1,0,0,5,100,1,0.000000,0.82758621,0.82789916,0.16562500,144,30,0,174,"model=mine,scope=dataset,dataset=2,phase=test"
51,32,512,0,1,0,0,5,100,1,0.000000,0.98850575,0.98857143,0.22890625,172,1,1,174,"model=mine,scope=dataset,dataset=3,phase=test"
51,32,512,0,1,0,0,5,100,1,0.000000,0.87356322,0.87365546,0.30585937,608,84,4,696,"model=mine,scope=overall,phase=test"
61,32,512,0,1,0,0,5,100,1,0.000000,0.98275862,0.98285714,0.15781250,171,2,1,174,"model=mine,scope=dataset,dataset=0,phase=test"
