num_levels,vector_dimension,scope,dataset_id,krischan_accuracy,candidate_accuracy,delta_candidate_minus_krischan,winner
21,512,dataset,0,0.8540000000000001,0.97701149,0.12301148999999989,candidate
21,512,dataset,1,0.43329999999999996,0.40229885,-0.031001149999999977,krischan
21,512,dataset,2,0.7989,0.84482759,0.04592758999999991,candidate
21,512,dataset,3,0.9562999999999999,0.79310345,-0.16319654999999988,krischan
21,512,overall,-1,0.7606,0.75431034,-0.006289660000000086,krischan
21,1024,dataset,0,0.9667,0.98275862,0.016058620000000023,candidate
21,1024,dataset,1,0.5092,0.39655172,-0.11264827999999999,krischan
21,1024,dataset,2,0.8402,0.9137931,0.07359310000000008,candidate
21,1024,dataset,3,0.9609000000000001,0.79885057,-0.16204943000000005,krischan
21,1024,overall,-1,0.8193,0.77298851,-0.04631149000000001,krischan
21,2048,dataset,0,0.9815999999999999,0.99425287,0.012652870000000038,candidate
21,2048,dataset,1,0.6920000000000001,0.40229885,-0.2897011500000001,krischan
21,2048,dataset,2,0.8402,0.87931034,0.03911034000000002,candidate
21,2048,dataset,3,0.9804999999999999,0.79885057,-0.1816494299999999,krischan
21,2048,overall,-1,0.8736,0.76867816,-0.10492184000000004,krischan
21,4096,dataset,0,0.9851000000000001,0.98850575,0.003405749999999874,candidate
21,4096,dataset,1,0.5861999999999999,0.40229885,-0.18390114999999996,krischan
21,4096,dataset,2,0.8402,0.90229885,0.06209885000000004,candidate
21,4096,dataset,3,0.9517,0.79885057,-0.15284942999999995,krischan
21,4096,overall,-1,0.8408,0.77298851,-0.06781148999999997,krischan
21,8192,dataset,0,0.9736,0.98850575,0.01490574999999994,candidate
21,8192,dataset,1,0.6747,0.40229885,-0.27240115,krischan
21,8192,dataset,2,0.8414,0.90804598,0.06664598,candidate
21,8192,dataset,3,0.9506,0.79885057,-0.15174942999999996,krischan
21,8192,overall,-1,0.8601000000000001,0.77442529,-0.08567471000000004,krischan
31,512,dataset,0,0.9390999999999999,0.98850575,0.049405750000000026,candidate
31,512,dataset,1,0.5989,0.58045977,-0.018440229999999946,krischan
31,512,dataset,2,0.8115000000000001,0.82183908,0.010339079999999945,candidate
31,512,dataset,3,0.9276000000000001,0.95402299,0.026422989999999924,candidate
31,512,overall,-1,0.8193,0.8362069,0.016906899999999947,candidate
31,1024,dataset,0,0.9667,0.98275862,0.016058620000000023,candidate
31,1024,dataset,1,0.6828,0.54597701,-0.13682298999999998,krischan
31,1024,dataset,2,0.8471,0.82183908,-0.02526091999999991,krischan
31,1024,dataset,3,0.9736,0.98275862,0.009158620000000006,candidate
31,1024,overall,-1,0.8675,0.83333333,-0.034166670000000066,krischan
31,2048,dataset,0,0.9839,0.98850575,0.004605749999999964,candidate
31,2048,dataset,1,0.6631999999999999,0.57471264,-0.0884873599999999,krischan
31,2048,dataset,2,0.8437,0.85057471,0.006874709999999951,candidate
31,2048,dataset,3,0.9562999999999999,0.97701149,0.020711490000000055,candidate
31,2048,overall,-1,0.8618000000000001,0.84770115,-0.014098850000000107,krischan
31,4096,dataset,0,0.9678,0.98275862,0.014958620000000034,candidate
31,4096,dataset,1,0.6631999999999999,0.55172414,-0.11147585999999987,krischan
31,4096,dataset,2,0.8563,0.85632184,2.1840000000050708e-05,candidate
31,4096,dataset,3,0.9678,0.98850575,0.020705749999999967,candidate
31,4096,overall,-1,0.8637999999999999,0.84482759,-0.01897240999999994,krischan
31,8192,dataset,0,0.9793000000000001,1.0,0.02069999999999994,candidate
31,8192,dataset,1,0.6931,0.57471264,-0.11838736000000005,krischan
31,8192,dataset,2,0.8482999999999999,0.86206897,0.013768970000000103,candidate
31,8192,dataset,3,0.9678,0.98275862,0.014958620000000034,candidate
31,8192,overall,-1,0.8721,0.85488506,-0.017214940000000012,krischan
41,512,dataset,0,0.9701000000000001,0.98275862,0.012658619999999954,candidate
41,512,dataset,1,0.9529000000000001,0.6091954,-0.3437046,krischan
41,512,dataset,2,0.7954000000000001,0.83333333,0.037933329999999876,candidate
41,512,dataset,3,0.8471,0.99425287,0.14715287,candidate
41,512,overall,-1,0.8914,0.85488506,-0.036514939999999996,krischan
41,1024,dataset,0,0.9723999999999999,0.98275862,0.010358620000000096,candidate
41,1024,dataset,1,0.8828,0.48275862,-0.40004138,krischan
41,1024,dataset,2,0.8448,0.85057471,0.005774709999999961,candidate
41,1024,dataset,3,0.9621,0.98275862,0.020658620000000072,candidate
41,1024,overall,-1,0.9155,0.82471264,-0.09078735999999998,krischan
41,2048,dataset,0,0.9747,1.0,0.02529999999999999,candidate
41,2048,dataset,1,0.8701000000000001,0.70689655,-0.16320345000000014,krischan
41,2048,dataset,2,0.8482999999999999,0.86781609,0.019516090000000097,candidate
41,2048,dataset,3,0.9782,1.0,0.02180000000000004,candidate
41,2048,overall,-1,0.9178000000000001,0.89367816,-0.02412184000000006,krischan
41,4096,dataset,0,0.9815999999999999,0.98850575,0.006905750000000044,candidate
41,4096,dataset,1,0.9851000000000001,0.5862069,-0.3988931000000001,krischan
41,4096,dataset,2,0.8644,0.85057471,-0.01382528999999999,krischan
41,4096,dataset,3,0.9793000000000001,0.98850575,0.009205749999999902,candidate
41,4096,overall,-1,0.9526,0.85344828,-0.09915172000000005,krischan
41,8192,dataset,0,0.9723999999999999,1.0,0.02760000000000007,candidate
41,8192,dataset,1,0.9782,0.70114943,-0.27705057,krischan
41,8192,dataset,2,0.8644,0.85632184,-0.008078159999999945,krischan
41,8192,dataset,3,0.9828,0.99425287,0.011452869999999948,candidate
41,8192,overall,-1,0.9494,0.88793103,-0.06146897000000007,krischan
