num_levels,num_features,vector_dimension,bipolar_mode,precomputed_item_memory,use_genetic_item_memory,ga_selection_mode,n_gram_size,window,downsample,validation_ratio,overall_accuracy,class_average_accuracy,class_vector_similarity,correct,not_correct,transition_error,total,info
21,32,512,0,1,0,0,3,100,1,0.000000,0.98965517,0.98965517,0.32109375,287,3,0,290,"model=mine,scope=dataset,dataset=0,phase=test"
21,32,512,0,1,0,0,3,100,1,0.000000,0.40000000,0.40000000,0.98750000,116,174,0,290,"model=mine,scope=dataset,dataset=1,phase=test"
21,32,512,0,1,0,0,3,100,1,0.000000,0.85517241,0.85517241,0.34453125,248,42,0,290,"model=mine,scope=dataset,dataset=2,phase=test"
21,32,512,0,1,0,0,3,100,1,0.000000,0.80000000,0.80000000,0.36250000,232,58,0,290,"model=mine,scope=dataset,dataset=3,phase=test"
21,32,512,0,1,0,0,3,100,1,0.000000,0.76120690,0.76120690,0.50390625,883,277,0,1160,"model=mine,scope=overall,phase=test"
31,32,512,0,1,0,0,3,100,1,0.000000,0.98620690,0.98620690,0.28593750,286,4,0,290,"model=mine,scope=dataset,dataset=0,phase=test"
31,32,512,0,1,0,0,3,100,1,0.000000,0.58620690,0.58620690,0.87343750,170,120,0,290,"model=mine,scope=dataset,dataset=1,phase=test"
31,32,512,0,1,0,0,3,100,1,0.000000,0.83448276,0.83448276,0.29140625,242,48,0,290,"model=mine,scope=dataset,dataset=2,phase=test"
31,32,512,0,1,0,0,3,100,1,0.000000,0.91034483,0.91034483,0.34531250,264,26,0,290,"model=mine,scope=dataset,dataset=3,phase=test"
31,32,512,0,1,0,0,3,100,1,0.000000,0.82931034,0.82931034,0.44902344,962,198,0,1160,"model=mine,scope=overall,phase=test"
41,32,512,0,1,0,0,3,100,1,0.000000,0.98620690,0.98620690,0.30078125,286,4,0,290,"model=mine,scope=dataset,dataset=0,phase=test"
41,32,512,0,1,0,0,3,100,1,0.000000,0.64827586,0.64827586,0.80937500,188,102,0,290,"model=mine,scope=dataset,dataset=1,phase=test"
41,32,512,0,1,0,0,3,100,1,0.000000,0.83793103,0.83793103,0.29687500,243,47,0,290,"model=mine,scope=dataset,dataset=2,phase=test"
41,32,512,0,1,0,0,3,100,1,0.000000,0.98275862,0.98275862,0.35156250,285,5,0,290,"model=mine,scope=dataset,dataset=3,phase=test"
41,32,512,0,1,0,0,3,100,1,0.000000,0.86379310,0.86379310,0.43964844,1002,158,0,1160,"model=mine,scope=overall,phase=test"
51,32,512,0,1,0,0,3,100,1,0.000000,0.99310345,0.99310345,0.30468750,288,2,0,290,"model=mine,scope=dataset,dataset=0,phase=test"
51,32,512,0,1,0,0,3,100,1,0.000000,0.66896552,0.66896552,0.77812500,194,96,0,290,"model=mine,scope=dataset,dataset=1,phase=test"
51,32,512,0,1,0,0,3,100,1,0.000000,0.84137931,0.84137931,0.30156250,244,46,0,290,"model=mine,scope=dataset,dataset=2,phase=test"
51,32,512,0,1,0,0,3,100,1,0.000000,0.99655172,0.99655172,0.38046875,289,1,0,290,"model=mine,scope=dataset,dataset=3,phase=test"
51,32,512,0,1,0,0,3,100,1,0.000000,0.87500000,0.87500000,0.44121094,1015,145,0,1160,"model=mine,scope=overall,phase=test"
61,32,512,0,1,0,0,3,100,1,0.000000,0.98620690,0.98620690,0.31015625,286,4,0,290,"model=mine,scope=dataset,dataset=0,phase=test"
61,32,512,0,1,0,0,3,100,1,0.000000,0.82413793,0.82413793,0.78750000,239,51,0,290,"model=mine,scope=dataset,dataset=1,phase=test"
61,32,512,0,1,0,0,3,100,1,0.000000,0.82413793,0.82413793,0.30937500,239,51,0,290,"model=mine,scope=dataset,dataset=2,phase=test"
61,32,512,0,1,0,0,3,100,1,0.000000,0.97931034,0.97931034,0.35859375,284,6,0,290,"model=mine,scope=dataset,dataset=3,phase=test"
61,32,512,0,1,0,0,3,100,1,0.000000,0.90344828,0.90344828,0.44140625,1048,112,0,1160,"model=mine,scope=overall,phase=test"
71,32,512,0,1,0,0,3,100,1,0.000000,0.98275862,0.98275862,0.29687500,285,5,0,290,"model=mine,scope=dataset,dataset=0,phase=test"
71,32,512,0,1,0,0,3,100,1,0.000000,0.91034483,0.91034483,0.78281250,264,26,0,290,"model=mine,scope=dataset,dataset=1,phase=test"
71,32,512,0,1,0,0,3,100,1,0.000000,0.83448276,0.83448276,0.28671875,242,48,0,290,"model=mine,scope=dataset,dataset=2,phase=test"
71,32,512,0,1,0,0,3,100,1,0.000000,0.97241379,0.97241379,0.34375000,282,8,0,290,"model=mine,scope=dataset,dataset=3,phase=test"
71,32,512,0,1,0,0,3,100,1,0.000000,0.92500000,0.92500000,0.42753906,1073,87,0,1160,"model=mine,scope=overall,phase=test"
81,32,512,0,1,0,0,3,100,1,0.000000,0.98620690,0.98620690,0.30937500,286,4,0,290,"model=mine,scope=dataset,dataset=0,phase=test"
81,32,512,0,1,0,0,3,100,1,0.000000,0.82413793,0.82413793,0.80312500,239,51,0,290,"model=mine,scope=dataset,dataset=1,phase=test"
