num_levels,num_features,vector_dimension,bipolar_mode,precomputed_item_memory,use_genetic_item_memory,ga_selection_mode,n_gram_size,window,downsample,validation_ratio,overall_accuracy,class_average_accuracy,class_vector_similarity,correct,not_correct,transition_error,total,info
21,32,512,0,0,0,0,5,100,1,0.000000,0.95747126,0.96198783,0.62343750,833,33,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
21,32,512,0,0,0,0,5,100,1,0.000000,0.40919540,0.41152130,0.90859375,356,510,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
21,32,512,0,0,0,0,5,100,1,0.000000,0.83908046,0.84021636,0.63984375,730,136,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
21,32,512,0,0,0,0,5,100,1,0.000000,0.93333333,0.93717377,0.68125000,812,54,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
21,32,512,0,0,0,0,5,100,1,0.000000,0.78477011,0.78772481,0.71328125,2731,733,0,3480,"model=mine,scope=overall,phase=test"
31,32,512,0,0,0,0,5,100,1,0.000000,0.95862069,0.96256930,0.50937500,834,32,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
31,32,512,0,0,0,0,5,100,1,0.000000,0.55287356,0.55287356,0.91640625,481,385,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
31,32,512,0,0,0,0,5,100,1,0.000000,0.84482759,0.84612576,0.49375000,735,131,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
31,32,512,0,0,0,0,5,100,1,0.000000,0.97471264,0.97931034,0.56562500,848,18,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
31,32,512,0,0,0,0,5,100,1,0.000000,0.83275862,0.83521974,0.62128906,2898,566,0,3480,"model=mine,scope=overall,phase=test"
41,32,512,0,0,0,0,5,100,1,0.000000,0.96436782,0.96842461,0.41562500,839,27,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
41,32,512,0,0,0,0,5,100,1,0.000000,0.93333333,0.93733604,0.90000000,812,54,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
41,32,512,0,0,0,0,5,100,1,0.000000,0.85632184,0.85791751,0.45156250,745,121,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
41,32,512,0,0,0,0,5,100,1,0.000000,0.81724138,0.81886410,0.49687500,711,155,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
41,32,512,0,0,0,0,5,100,1,0.000000,0.89281609,0.89563556,0.56601563,3107,357,0,3480,"model=mine,scope=overall,phase=test"
51,32,512,0,0,0,0,5,100,1,0.000000,0.96781609,0.97241379,0.36718750,842,24,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
51,32,512,0,0,0,0,5,100,1,0.000000,0.67816092,0.68091954,0.89218750,590,276,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
51,32,512,0,0,0,0,5,100,1,0.000000,0.85402299,0.85564571,0.42812500,743,123,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
51,32,512,0,0,0,0,5,100,1,0.000000,0.95747126,0.96160920,0.46171875,833,33,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
51,32,512,0,0,0,0,5,100,1,0.000000,0.86436782,0.86764706,0.53730469,3008,456,0,3480,"model=mine,scope=overall,phase=test"
61,32,512,0,0,0,0,5,100,1,0.000000,0.98275862,0.98735632,0.32031250,855,11,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
61,32,512,0,0,0,0,5,100,1,0.000000,0.59655172,0.59852603,0.84140625,519,347,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
61,32,512,0,0,0,0,5,100,1,0.000000,0.83793103,0.83936444,0.31015625,729,137,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
61,32,512,0,0,0,0,5,100,1,0.000000,0.95172414,0.95564571,0.38593750,828,38,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
61,32,512,0,0,0,0,5,100,1,0.000000,0.84224138,0.84522312,0.46445312,2931,533,0,3480,"model=mine,scope=overall,phase=test"
71,32,512,0,0,0,0,5,100,1,0.000000,0.98045977,0.98500338,0.30234375,853,13,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
71,32,512,0,0,0,0,5,100,1,0.000000,0.68275862,0.68632860,0.78750000,594,272,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
71,32,512,0,0,0,0,5,100,1,0.000000,0.89540230,0.89816092,0.29687500,779,87,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
71,32,512,0,0,0,0,5,100,1,0.000000,0.98160920,0.98615281,0.32734375,854,12,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
71,32,512,0,0,0,0,5,100,1,0.000000,0.88505747,0.88891143,0.42851563,3080,384,0,3480,"model=mine,scope=overall,phase=test"
81,32,512,0,0,0,0,5,100,1,0.000000,0.98160920,0.98609872,0.27968750,854,12,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
81,32,512,0,0,0,0,5,100,1,0.000000,0.75402299,0.75702502,0.78593750,656,210,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
81,32,512,0,0,0,0,5,100,1,0.000000,0.85172414,0.85326572,0.28046875,741,125,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
81,32,512,0,0,0,0,5,100,1,0.000000,0.97816092,0.98275862,0.27578125,851,15,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
81,32,512,0,0,0,0,5,100,1,0.000000,0.89137931,0.89478702,0.40546875,3102,362,0,3480,"model=mine,scope=overall,phase=test"
91,32,512,0,0,0,0,5,100,1,0.000000,0.93908046,0.94319135,0.20781250,817,49,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
91,32,512,0,0,0,0,5,100,1,0.000000,0.81609195,0.81830967,0.78125000,710,156,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
91,32,512,0,0,0,0,5,100,1,0.000000,0.83448276,0.83580798,0.23515625,726,140,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
91,32,512,0,0,0,0,5,100,1,0.000000,0.97701149,0.98155510,0.23984375,850,16,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
91,32,512,0,0,0,0,5,100,1,0.000000,0.89166667,0.89471602,0.36601562,3103,361,0,3480,"model=mine,scope=overall,phase=test"
101,32,512,0,0,0,0,5,100,1,0.000000,0.97586207,0.98029750,0.18515625,849,17,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
101,32,512,0,0,0,0,5,100,1,0.000000,0.80114943,0.80490872,0.76093750,697,169,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
101,32,512,0,0,0,0,5,100,1,0.000000,0.84482759,0.84617985,0.16640625,735,131,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
101,32,512,0,0,0,0,5,100,1,0.000000,0.98390805,0.98850575,0.26250000,856,10,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
101,32,512,0,0,0,0,5,100,1,0.000000,0.90143678,0.90497295,0.34375000,3137,327,0,3480,"model=mine,scope=overall,phase=test"
111,32,512,0,0,0,0,5,100,1,0.000000,0.97011494,0.97436105,0.18281250,844,22,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
111,32,512,0,0,0,0,5,100,1,0.000000,0.70229885,0.70532792,0.72187500,611,255,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
111,32,512,0,0,0,0,5,100,1,0.000000,0.86896552,0.87126437,0.20625000,756,110,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
111,32,512,0,0,0,0,5,100,1,0.000000,0.98390805,0.98850575,0.26015625,856,10,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
111,32,512,0,0,0,0,5,100,1,0.000000,0.88132184,0.88486477,0.34277344,3067,397,0,3480,"model=mine,scope=overall,phase=test"
121,32,512,0,0,0,0,5,100,1,0.000000,0.97931034,0.98390805,0.17578125,852,14,0,870,"model=mine,scope=dataset,dataset=0,phase=test"
121,32,512,0,0,0,0,5,100,1,0.000000,0.87126437,0.87521298,0.74375000,758,108,0,870,"model=mine,scope=dataset,dataset=1,phase=test"
121,32,512,0,0,0,0,5,100,1,0.000000,0.80114943,0.80250169,0.16015625,697,169,0,870,"model=mine,scope=dataset,dataset=2,phase=test"
121,32,512,0,0,0,0,5,100,1,0.000000,0.97471264,0.97914807,0.20234375,848,18,0,870,"model=mine,scope=dataset,dataset=3,phase=test"
121,32,512,0,0,0,0,5,100,1,0.000000,0.90660920,0.91019270,0.32050781,3155,309,0,3480,"model=mine,scope=overall,phase=test"
