run_index,total_runs,n_gram_size,item_mem_seed,num_levels,vector_dimension,result_csv,log_file,duration_sec
1,25,1,1,40,10000,analysis/ngram_sweep/results.csv,/mnt/c/Users/Marian/Documents/FAU_CE/master/Semester 4/Masterarbeit/HDC/code/hdcframeworkhorn/analysis/ngram_sweep/logs/ngram_1_seed_01.txt,3.664
2,25,1,2,40,10000,analysis/ngram_sweep/results.csv,/mnt/c/Users/Marian/Documents/FAU_CE/master/Semester 4/Masterarbeit/HDC/code/hdcframeworkhorn/analysis/ngram_sweep/logs/ngram_1_seed_02.txt,3.219
3,25,1,3,40,10000,analysis/ngram_sweep/results.csv,/mnt/c/Users/Marian/Documents/FAU_CE/master/Semester 4/Masterarbeit/HDC/code/hdcframeworkhorn/analysis/ngram_sweep/logs/ngram_1_seed_03.txt,3.254
4,25,1,4,40,10000,analysis/ngram_sweep/results.csv,/mnt/c/Users/Marian/Documents/FAU_CE/master/Semester 4/Masterarbeit/HDC/code/hdcframeworkhorn/analysis/ngram_sweep/logs/ngram_1_seed_04.txt,3.122
5,25,1,5,40,10000,analysis/ngram_sweep/results.csv,/mnt/c/Users/Marian/Documents/FAU_CE/master/Semester 4/Masterarbeit/HDC/code/hdcframeworkhorn/analysis/ngram_sweep/logs/ngram_1_seed_05.txt,2.942
6,25,2,1,40,10000,analysis/ngram_sweep/results.csv,/mnt/c/Users/Marian/Documents/FAU_CE/master/Semester 4/Masterarbeit/HDC/code/hdcframeworkhorn/analysis/ngram_sweep/logs/ngram_2_seed_01.txt,3.611
7,25,2,2,40,10000,analysis/ngram_sweep/results.csv,/mnt/c/Users/Marian/Documents/FAU_CE/master/Semester 4/Masterarbeit/HDC/code/hdcframeworkhorn/analysis/ngram_sweep/logs/ngram_2_seed_02.txt,3.800
8,25,2,3,40,10000,analysis/ngram_sweep/results.csv,/mnt/c/Users/Marian/Documents/FAU_CE/master/Semester 4/Masterarbeit/HDC/code/hdcframeworkhorn/analysis/ngram_sweep/logs/ngram_2_seed_03.txt,3.792
9,25,2,4,40,10000,analysis/ngram_sweep/results.csv,/mnt/c/Users/Marian/Documents/FAU_CE/master/Semester 4/Masterarbeit/HDC/code/hdcframeworkhorn/analysis/ngram_sweep/logs/ngram_2_seed_04.txt,3.852
10,25,2,5,40,10000,analysis/ngram_sweep/results.csv,/mnt/c/Users/Marian/Documents/FAU_CE/master/Semester 4/Masterarbeit/HDC/code/hdcframeworkhorn/analysis/ngram_sweep/logs/ngram_2_seed_05.txt,3.833
11,25,3,1,40,10000,analysis/ngram_sweep/results.csv,/mnt/c/Users/Marian/Documents/FAU_CE/master/Semester 4/Masterarbeit/HDC/code/hdcframeworkhorn/analysis/ngram_sweep/logs/ngram_3_seed_01.txt,4.588
12,25,3,2,40,10000,analysis/ngram_sweep/results.csv,/mnt/c/Users/Marian/Documents/FAU_CE/master/Semester 4/Masterarbeit/HDC/code/hdcframeworkhorn/analysis/ngram_sweep/logs/ngram_3_seed_02.txt,4.594
