n_gram_size,dataset,phase,seeds,mean_accuracy,std_accuracy,min_accuracy,max_accuracy
1,0,preopt-validation,5,0.846153846,0.008579594768434238,0.83538462,0.85769231
1,0,preopt-test,5,0.989425288,0.0019775441490434624,0.9862069,0.99195402
1,1,preopt-validation,5,0.8309230759999999,0.0024997016247992315,0.82769231,0.83384615
1,1,preopt-test,5,0.9843678180000001,0.0005630985000299469,0.98390805,0.98505747
1,2,preopt-validation,5,0.79923077,0.0026199029748522873,0.79615385,0.80230769
1,2,preopt-test,5,0.862988508,0.0013404463183641169,0.86206897,0.86551724
1,3,preopt-validation,5,0.919692308,0.0018589282908536317,0.91692308,0.92230769
1,3,preopt-test,5,0.92896552,0.0011262018990394582,0.92758621,0.92988506
2,0,preopt-validation,5,0.86143187,0.007805262318238902,0.8491147,0.87143957
2,0,preopt-test,5,0.987571922,0.0021093561009028136,0.98388953,0.98964327
2,1,preopt-validation,5,0.838491146,0.005538447754747177,0.83063895,0.84372594
2,1,preopt-test,5,0.987802074,0.0022549953582266954,0.98504028,0.98964327
2,2,preopt-validation,5,0.793071594,0.004629192842902953,0.78598922,0.79984604
2,2,preopt-test,5,0.854545454,0.0023695351975491054,0.85155351,0.858458
2,3,preopt-validation,5,0.9313317919999999,0.004056025271742761,0.92532717,0.93764434
2,3,preopt-test,5,0.946144992,0.0038096530036810165,0.9424626,0.95281933
3,0,preopt-validation,5,0.869183358,0.00790793833971255,0.85978428,0.88212635
3,0,preopt-test,5,0.990092168,0.0023722631510218325,0.98617512,0.99308756
3,1,preopt-validation,5,0.834052388,0.0048871348962941236,0.82973806,0.84283513
3,1,preopt-test,5,0.99078341,0.0019277878096824084,0.98847926,0.99423963
3,2,preopt-validation,5,0.795993838,0.003019403948022844,0.79198767,0.79892142
3,2,preopt-test,5,0.85391705,0.002950748618862677,0.85023041,0.85829493
3,3,preopt-validation,5,0.94468413,0.004476374809923772,0.93836672,0.95069337
3,3,preopt-test,5,0.956451612,0.003814044971299616,0.9516129,0.96198157
4,0,preopt-validation,5,0.8755589859999999,0.006732113893007467,0.86815729,0.88589052
4,0,preopt-test,5,0.98731257,0.002306806000000884,0.98385236,0.99077278
4,1,preopt-validation,5,0.842559758,0.007106688219677015,0.83346184,0.85505012
4,1,preopt-test,5,0.98638985,0.007802322125334222,0.97577855,0.99423299
4,2,preopt-validation,5,0.79953739,0.003931395035175187,0.79336931,0.80570547
4,2,preopt-test,5,0.8468281440000001,0.0015301619329286871,0.84429066,0.84890427
4,3,preopt-validation,5,0.9506553600000001,0.00233858911844728,0.94911334,0.95528142
4,3,preopt-test,5,0.957093428,0.003042885615815363,0.9538639,0.96193772
5,0,preopt-validation,5,0.880246916,0.005720292486950649,0.8742284,0.88888889
5,0,preopt-test,5,0.990069282,0.0022628055562721413,0.98614319,0.99307159
5,1,preopt-validation,5,0.839351852,0.005421039050593168,0.83101852,0.84645062
5,1,preopt-test,5,0.984988454,0.010482036791400041,0.96535797,0.99422633
5,2,preopt-validation,5,0.808487654,0.004562265126546672,0.80324074,0.81481481
5,2,preopt-test,5,0.8478060040000001,0.0019866798184770365,0.84526559,0.85103926
5,3,preopt-validation,5,0.954475308,0.0020120996687480264,0.95138889,0.95756173
5,3,preopt-test,5,0.9704388,0.0023777417860566473,0.96766744,0.97344111
6,0,preopt-validation,5,0.885714286,0.00428554040205249,0.87953668,0.89189189
6,0,preopt-test,5,0.989826592,0.002869286414434076,0.98728324,0.99537572
