num_levels,num_features,vector_dimension,binning_mode,bipolar_mode,precomputed_item_memory,use_genetic_item_memory,ga_selection_mode,ga_mutation_rate,n_gram_size,window,downsample,validation_ratio,overall_accuracy,class_average_accuracy,class_vector_similarity,correct,not_correct,transition_error,total,info
40,32,10000,0,0,1,0,0,0.200000,1,100,1,0.300000,0.84307692,0.84307692,0.61256000,1096,204,0,1300,"model=mine,scope=dataset,dataset=0,phase=preopt-validation"
40,32,10000,0,0,1,0,0,0.200000,1,100,1,0.300000,0.98965517,0.98965517,0.61256000,861,9,0,870,"model=mine,scope=dataset,dataset=0,phase=preopt-test"
40,32,10000,0,0,1,0,0,0.200000,1,100,1,0.300000,0.83000000,0.83000000,0.91692000,1079,221,0,1300,"model=mine,scope=dataset,dataset=1,phase=preopt-validation"
40,32,10000,0,0,1,0,0,0.200000,1,100,1,0.300000,0.98505747,0.98505747,0.91692000,857,13,0,870,"model=mine,scope=dataset,dataset=1,phase=preopt-test"
40,32,10000,0,0,1,0,0,0.200000,1,100,1,0.300000,0.80230769,0.80230769,0.61692000,1043,257,0,1300,"model=mine,scope=dataset,dataset=2,phase=preopt-validation"
40,32,10000,0,0,1,0,0,0.200000,1,100,1,0.300000,0.86206897,0.86206897,0.61692000,750,120,0,870,"model=mine,scope=dataset,dataset=2,phase=preopt-test"
40,32,10000,0,0,1,0,0,0.200000,1,100,1,0.300000,0.91692308,0.91692308,0.68804000,1192,108,0,1300,"model=mine,scope=dataset,dataset=3,phase=preopt-validation"
40,32,10000,0,0,1,0,0,0.200000,1,100,1,0.300000,0.92758621,0.92758621,0.68804000,807,63,0,870,"model=mine,scope=dataset,dataset=3,phase=preopt-test"
40,32,10000,0,0,1,0,0,0.200000,1,100,1,0.300000,0.84807692,0.00000000,0.00000000,0,0,0,0,"model=mine,scope=overall,phase=preopt-validation"
40,32,10000,0,0,1,0,0,0.200000,1,100,1,0.300000,0.94109195,0.00000000,0.00000000,0,0,0,0,"model=mine,scope=overall,phase=preopt-test"
40,32,10000,0,0,1,0,0,0.200000,1,100,1,0.300000,0.85769231,0.85769231,0.61352000,1115,185,0,1300,"model=mine,scope=dataset,dataset=0,phase=preopt-validation"
40,32,10000,0,0,1,0,0,0.200000,1,100,1,0.300000,0.99195402,0.99195402,0.61352000,863,7,0,870,"model=mine,scope=dataset,dataset=0,phase=preopt-test"
