n_gram_size,phase,seeds,mean_accuracy,std_accuracy,min_accuracy,max_accuracy
1,preopt-validation,5,0.849,0.0015161884045592853,0.84711538,0.85115385
1,preopt-test,5,0.941436778,0.00042232632451218806,0.94109195,0.94195402
2,preopt-validation,5,0.8560816,0.003048828972277716,0.85200154,0.8608545
2,preopt-test,5,0.944016112,0.0014164008915331899,0.94159954,0.94591484
3,preopt-validation,5,0.86097843,0.0027600898139154813,0.85670262,0.8653698
3,preopt-test,5,0.947811062,0.0009535113938574594,0.94642857,0.94902074
4,preopt-validation,5,0.867077874,0.002633310764468196,0.86372398,0.87104857
4,preopt-test,5,0.944405996,0.0020664905572937145,0.94204152,0.94665513
5,preopt-validation,5,0.8706404320000001,0.0029674185692712754,0.86689815,0.8755787
5,preopt-test,5,0.948325636,0.0025885106742573015,0.9437067,0.95092379
6,preopt-validation,5,0.874980694,0.002734508280123509,0.87162162,0.87934363
6,preopt-test,5,0.94734104,0.0029383279244087103,0.94306358,0.9517341
7,preopt-validation,5,0.87840031,0.0018715426659416292,0.8761592,0.88176198
7,preopt-test,5,0.948900462,0.002718059618208554,0.9453125,0.953125
8,preopt-validation,5,0.8804331,0.002537515976462012,0.87664346,0.88379737
8,preopt-test,5,0.948551566,0.002671412160229862,0.94438007,0.95249131
9,preopt-validation,5,0.882894736,0.001719415210652738,0.88003096,0.88467492
9,preopt-test,5,0.948955918,0.0029690237818811777,0.94518561,0.95359629
10,preopt-validation,5,0.8843532159999999,0.0017552691079216357,0.88187452,0.88729667
10,preopt-test,5,0.947851334,0.0029301913573116516,0.94483159,0.95296167
