num_levels,vector_dimension,uniform-test,uniform-ga-test,preopt-test,postopt-test
10,512,68.44827599999999,70.344828,70.517241,73.793103
10,1024,68.189655,69.137931,79.310345,78.706897
10,2048,68.62069,68.793103,84.310345,84.396552
15,512,80.25862099999999,84.396552,76.034483,75.431034
15,1024,81.637931,85.603448,75.603448,75.603448
15,2048,81.12069,83.189655,75.517241,75.431034
20,512,82.586207,82.672414,81.034483,82.068966
20,1024,83.706897,83.362069,82.672414,87.068966
20,2048,83.189655,83.53448300000001,85.0,85.0
20,3072,82.155172,83.53448300000001,80.862069,84.310345
20,4096,81.293103,82.844828,86.637931,89.568966
20,5120,82.413793,83.017241,80.172414,83.965517
20,6144,82.5,83.189655,83.275862,83.189655
20,7168,82.327586,83.362069,89.13793100000001,88.275862
20,8192,82.844828,84.137931,85.0,85.258621
25,512,83.965517,87.241379,85.172414,88.448276
25,1024,80.94827599999999,84.568966,83.965517,87.327586
25,2048,81.206897,83.189655,86.896552,87.84482799999999
30,512,85.34482799999999,86.982759,90.34482799999999,94.396552
30,1024,86.724138,86.896552,88.362069,89.224138
30,2048,85.86206899999999,86.896552,88.448276,88.87931
40,512,93.62069,95.0,87.758621,89.051724
40,1024,93.706897,94.74137900000001,87.672414,92.672414
40,2048,94.05172400000001,94.827586,90.172414,92.931034
50,512,85.172414,91.034483,93.706897,93.44827599999999
50,1024,87.068966,92.155172,91.206897,93.103448
50,2048,86.206897,91.12069000000001,90.258621,93.017241
60,512,88.793103,92.068966,93.534483,93.62069
60,1024,88.965517,90.431034,89.051724,91.724138
60,2048,90.0,94.05172400000001,90.603448,94.224138
80,512,89.913793,91.37931,90.086207,92.672414
80,1024,89.051724,91.206897,91.724138,91.12069000000001
80,2048,87.672414,90.94827599999999,91.810345,92.586207
100,512,93.534483,93.965517,91.206897,91.810345
100,1024,93.706897,95.431034,91.810345,93.534483
100,2048,93.87931,95.94827599999999,92.413793,94.310345
120,512,93.017241,94.05172400000001,92.5,93.189655
120,1024,90.086207,91.637931,91.637931,94.482759
120,2048,90.689655,92.241379,93.965517,94.05172400000001
140,512,85.517241,90.862069,88.275862,90.77586199999999
140,1024,91.637931,91.55172400000001,90.0,93.362069
140,2048,91.724138,92.327586,92.672414,93.62069
