num_levels,num_features,vector_dimension,bipolar_mode,precomputed_item_memory,use_genetic_item_memory,ga_selection_mode,ga_mutation_rate,n_gram_size,window,downsample,validation_ratio,overall_accuracy,class_average_accuracy,class_vector_similarity,correct,not_correct,transition_error,total,info
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.86836028,0.86877840,0.30625000,376,57,0,433,"model=mine,scope=dataset,dataset=0,phase=uniform-validation"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.95862069,0.95862069,0.30625000,278,12,0,290,"model=mine,scope=dataset,dataset=0,phase=uniform-test"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.89607390,0.89639134,0.24687500,388,44,1,433,"model=mine,scope=dataset,dataset=0,phase=uniform-ga-validation"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.97931034,0.97931034,0.24687500,284,6,0,290,"model=mine,scope=dataset,dataset=0,phase=uniform-ga-test"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.86374134,0.86415397,0.33671875,374,59,0,433,"model=mine,scope=dataset,dataset=0,phase=preopt-validation"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.88965517,0.88965517,0.33671875,258,32,0,290,"model=mine,scope=dataset,dataset=0,phase=preopt-test"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.92840647,0.92860198,0.24531250,402,31,0,433,"model=mine,scope=dataset,dataset=0,phase=postopt-validation"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.94827586,0.94827586,0.24531250,275,15,0,290,"model=mine,scope=dataset,dataset=0,phase=postopt-test"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.19861432,0.20000000,1.00000000,86,344,3,433,"model=mine,scope=dataset,dataset=1,phase=uniform-validation"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.20000000,0.20000000,1.00000000,58,232,0,290,"model=mine,scope=dataset,dataset=1,phase=uniform-test"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.19861432,0.20000000,1.00000000,86,344,3,433,"model=mine,scope=dataset,dataset=1,phase=uniform-ga-validation"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.20000000,0.20000000,1.00000000,58,232,0,290,"model=mine,scope=dataset,dataset=1,phase=uniform-ga-test"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.52193995,0.52189254,0.79375000,226,207,0,433,"model=mine,scope=dataset,dataset=1,phase=preopt-validation"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.55862069,0.55862069,0.79375000,162,128,0,290,"model=mine,scope=dataset,dataset=1,phase=preopt-test"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.73441109,0.73333333,0.91093750,318,115,0,433,"model=mine,scope=dataset,dataset=1,phase=postopt-validation"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.60689655,0.60689655,0.91093750,176,114,0,290,"model=mine,scope=dataset,dataset=1,phase=postopt-test"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.71593533,0.71665330,0.36484375,310,122,1,433,"model=mine,scope=dataset,dataset=2,phase=uniform-validation"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.77931034,0.77931034,0.36484375,226,64,0,290,"model=mine,scope=dataset,dataset=2,phase=uniform-test"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.81062356,0.81138733,0.34609375,351,80,2,433,"model=mine,scope=dataset,dataset=2,phase=uniform-ga-validation"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.83448276,0.83448276,0.34609375,242,48,0,290,"model=mine,scope=dataset,dataset=2,phase=uniform-ga-test"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.75981524,0.76065223,0.34062500,329,103,1,433,"model=mine,scope=dataset,dataset=2,phase=preopt-validation"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.77241379,0.77241379,0.34062500,224,66,0,290,"model=mine,scope=dataset,dataset=2,phase=preopt-test"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.78521940,0.78618017,0.31093750,340,92,1,433,"model=mine,scope=dataset,dataset=2,phase=postopt-validation"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.79655172,0.79655172,0.31093750,231,59,0,290,"model=mine,scope=dataset,dataset=2,phase=postopt-test"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.79907621,0.80000000,0.33515625,346,86,1,433,"model=mine,scope=dataset,dataset=3,phase=uniform-validation"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.80000000,0.80000000,0.33515625,232,58,0,290,"model=mine,scope=dataset,dataset=3,phase=uniform-test"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.79907621,0.80000000,0.27421875,346,86,1,433,"model=mine,scope=dataset,dataset=3,phase=uniform-ga-validation"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.80000000,0.80000000,0.27421875,232,58,0,290,"model=mine,scope=dataset,dataset=3,phase=uniform-ga-test"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.60046189,0.60000000,0.44609375,260,172,1,433,"model=mine,scope=dataset,dataset=3,phase=preopt-validation"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.60000000,0.60000000,0.44609375,174,116,0,290,"model=mine,scope=dataset,dataset=3,phase=preopt-test"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.60046189,0.60000000,0.35390625,260,172,1,433,"model=mine,scope=dataset,dataset=3,phase=postopt-validation"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.60000000,0.60000000,0.35390625,174,116,0,290,"model=mine,scope=dataset,dataset=3,phase=postopt-test"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.64549654,0.64635793,0.50156250,0,0,0,0,"model=mine,scope=overall,phase=uniform-validation"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.68448276,0.68448276,0.50156250,0,0,0,0,"model=mine,scope=overall,phase=uniform-test"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.67609700,0.67694467,0.46679687,0,0,0,0,"model=mine,scope=overall,phase=uniform-ga-validation"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.70344828,0.70344828,0.46679687,0,0,0,0,"model=mine,scope=overall,phase=uniform-ga-test"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.68648961,0.68667469,0.47929687,0,0,0,0,"model=mine,scope=overall,phase=preopt-validation"
10,32,512,0,1,1,0,0.200000,3,100,1,0.300000,0.70517241,0.70517241,0.47929687,0,0,0,0,"model=mine,scope=overall,phase=preopt-test"
