run_index,total_runs,timestamp,mode_name,binning_mode,num_levels,vector_dimension,duration_sec
1,1140,2026-03-23T19:51:13.614185,uniform,0,10,512,2.723
2,1140,2026-03-23T19:51:16.229906,uniform,0,10,1024,2.613
3,1140,2026-03-23T19:51:19.211867,uniform,0,10,1536,2.979
4,1140,2026-03-23T19:51:22.327666,uniform,0,10,2048,3.113
5,1140,2026-03-23T19:51:25.629964,uniform,0,10,3072,3.300
6,1140,2026-03-23T19:51:29.240101,uniform,0,10,4096,3.608
7,1140,2026-03-23T19:51:33.171368,uniform,0,10,5120,3.929
8,1140,2026-03-23T19:51:37.312061,uniform,0,10,6144,4.138
9,1140,2026-03-23T19:51:41.648125,uniform,0,10,7168,4.333
10,1140,2026-03-23T19:51:44.883731,uniform,0,10,8192,4.615
11,1140,2026-03-23T19:51:47.523095,uniform,0,15,512,2.637
12,1140,2026-03-23T19:51:50.319336,uniform,0,15,1024,2.795
13,1140,2026-03-23T19:51:53.272114,uniform,0,15,1536,2.951
14,1140,2026-03-23T19:51:56.352067,uniform,0,15,2048,3.078
15,1140,2026-03-23T19:51:59.744000,uniform,0,15,3072,3.390
16,1140,2026-03-23T19:52:03.347402,uniform,0,15,4096,3.601
17,1140,2026-03-23T19:52:07.247095,uniform,0,15,5120,3.897
18,1140,2026-03-23T19:52:11.348243,uniform,0,15,6144,4.099
19,1140,2026-03-23T19:52:14.309122,uniform,0,15,7168,4.370
20,1140,2026-03-23T19:52:18.908443,uniform,0,15,8192,4.597
21,1140,2026-03-23T19:52:21.620236,uniform,0,20,512,2.709
22,1140,2026-03-23T19:52:24.439787,uniform,0,20,1024,2.817
23,1140,2026-03-23T19:52:27.464345,uniform,0,20,1536,3.022
24,1140,2026-03-23T19:52:30.571492,uniform,0,20,2048,3.105
25,1140,2026-03-23T19:52:33.964660,uniform,0,20,3072,3.392
26,1140,2026-03-23T19:52:37.603127,uniform,0,20,4096,3.635
27,1140,2026-03-23T19:52:41.563504,uniform,0,20,5120,3.957
28,1140,2026-03-23T19:52:45.795709,uniform,0,20,6144,4.230
29,1140,2026-03-23T19:52:48.731731,uniform,0,20,7168,4.358
30,1140,2026-03-23T19:52:53.351568,uniform,0,20,8192,4.617
31,1140,2026-03-23T19:52:56.073604,uniform,0,25,512,2.720
32,1140,2026-03-23T19:52:58.927873,uniform,0,25,1024,2.852
33,1140,2026-03-23T19:53:01.888655,uniform,0,25,1536,2.958
34,1140,2026-03-23T19:53:04.973304,uniform,0,25,2048,3.083
35,1140,2026-03-23T19:53:08.323759,uniform,0,25,3072,3.349
36,1140,2026-03-23T19:53:11.991392,uniform,0,25,4096,3.665
37,1140,2026-03-23T19:53:15.876988,uniform,0,25,5120,3.884
38,1140,2026-03-23T19:53:18.608407,uniform,0,25,6144,4.168
39,1140,2026-03-23T19:53:22.911969,uniform,0,25,7168,4.300
40,1140,2026-03-23T19:53:27.512956,uniform,0,25,8192,4.597
41,1140,2026-03-23T19:53:30.228888,uniform,0,30,512,2.713
42,1140,2026-03-23T19:53:33.073923,uniform,0,30,1024,2.842
43,1140,2026-03-23T19:53:36.004506,uniform,0,30,1536,2.928
44,1140,2026-03-23T19:53:39.131597,uniform,0,30,2048,3.125
45,1140,2026-03-23T19:53:42.530689,uniform,0,30,3072,3.396
46,1140,2026-03-23T19:53:46.134854,uniform,0,30,4096,3.601
47,1140,2026-03-23T19:53:48.604836,uniform,0,30,5120,3.902
48,1140,2026-03-23T19:53:52.799313,uniform,0,30,6144,4.192
49,1140,2026-03-23T19:53:57.193388,uniform,0,30,7168,4.391
50,1140,2026-03-23T19:54:01.807445,uniform,0,30,8192,4.612
51,1140,2026-03-23T19:54:04.483860,uniform,0,35,512,2.674
52,1140,2026-03-23T19:54:07.332664,uniform,0,35,1024,2.845
53,1140,2026-03-23T19:54:10.291470,uniform,0,35,1536,2.956
54,1140,2026-03-23T19:54:13.377573,uniform,0,35,2048,3.083
55,1140,2026-03-23T19:54:16.723482,uniform,0,35,3072,3.343
56,1140,2026-03-23T19:54:18.917950,uniform,0,35,4096,3.592
57,1140,2026-03-23T19:54:22.776865,uniform,0,35,5120,3.856
58,1140,2026-03-23T19:54:26.880546,uniform,0,35,6144,4.102
59,1140,2026-03-23T19:54:31.249049,uniform,0,35,7168,4.366
60,1140,2026-03-23T19:54:35.861473,uniform,0,35,8192,4.610
61,1140,2026-03-23T19:54:38.569774,uniform,0,40,512,2.706
62,1140,2026-03-23T19:54:41.560931,uniform,0,40,1024,2.989
63,1140,2026-03-23T19:54:44.761555,uniform,0,40,1536,3.199
64,1140,2026-03-23T19:54:47.967258,uniform,0,40,2048,3.203
65,1140,2026-03-23T19:54:49.900374,uniform,0,40,3072,3.348
66,1140,2026-03-23T19:54:53.520794,uniform,0,40,4096,3.618
67,1140,2026-03-23T19:54:57.421568,uniform,0,40,5120,3.897
68,1140,2026-03-23T19:55:01.548876,uniform,0,40,6144,4.124
69,1140,2026-03-23T19:55:05.914716,uniform,0,40,7168,4.364
70,1140,2026-03-23T19:55:10.552891,uniform,0,40,8192,4.636
71,1140,2026-03-23T19:55:13.277072,uniform,0,45,512,2.722
72,1140,2026-03-23T19:55:16.130030,uniform,0,45,1024,2.851
73,1140,2026-03-23T19:55:19.053618,uniform,0,45,1536,2.921
74,1140,2026-03-23T19:55:20.724316,uniform,0,45,2048,3.095
75,1140,2026-03-23T19:55:24.055234,uniform,0,45,3072,3.329
76,1140,2026-03-23T19:55:27.723856,uniform,0,45,4096,3.666
77,1140,2026-03-23T19:55:31.635640,uniform,0,45,5120,3.910
78,1140,2026-03-23T19:55:35.808927,uniform,0,45,6144,4.169
79,1140,2026-03-23T19:55:40.206869,uniform,0,45,7168,4.395
80,1140,2026-03-23T19:55:44.857895,uniform,0,45,8192,4.649
81,1140,2026-03-23T19:55:47.558266,uniform,0,50,512,2.699
82,1140,2026-03-23T19:55:50.420156,uniform,0,50,1024,2.859
83,1140,2026-03-23T19:55:51.916034,uniform,0,50,1536,2.931
84,1140,2026-03-23T19:55:55.017999,uniform,0,50,2048,3.099
85,1140,2026-03-23T19:55:58.317431,uniform,0,50,3072,3.287
86,1140,2026-03-23T19:56:01.965343,uniform,0,50,4096,3.645
87,1140,2026-03-23T19:56:05.813773,uniform,0,50,5120,3.846
88,1140,2026-03-23T19:56:09.983566,uniform,0,50,6144,4.168
89,1140,2026-03-23T19:56:14.396544,uniform,0,50,7168,4.411
90,1140,2026-03-23T19:56:19.004411,uniform,0,50,8192,4.606
91,1140,2026-03-23T19:56:21.966193,uniform,0,55,512,2.960
92,1140,2026-03-23T19:56:23.608548,uniform,0,55,1024,3.050
93,1140,2026-03-23T19:56:26.578298,uniform,0,55,1536,2.967
94,1140,2026-03-23T19:56:29.710207,uniform,0,55,2048,3.128
95,1140,2026-03-23T19:56:33.005030,uniform,0,55,3072,3.291
96,1140,2026-03-23T19:56:36.614185,uniform,0,55,4096,3.606
97,1140,2026-03-23T19:56:40.495179,uniform,0,55,5120,3.879
98,1140,2026-03-23T19:56:44.648354,uniform,0,55,6144,4.152
99,1140,2026-03-23T19:56:48.993554,uniform,0,55,7168,4.344
100,1140,2026-03-23T19:56:53.598542,uniform,0,55,8192,4.602
101,1140,2026-03-23T19:56:54.894870,uniform,0,60,512,2.655
102,1140,2026-03-23T19:56:57.721928,uniform,0,60,1024,2.826
103,1140,2026-03-23T19:57:00.686189,uniform,0,60,1536,2.962
