binning_mode,mode_name,num_levels,vector_dimension,dataset,uniform_validation,uniform_test,advanced_validation,advanced_test
0,uniform,10,512,0,0.86836028,0.95862069,0.86836028,0.95862069
0,uniform,10,512,1,0.19861432,0.2,0.19861432,0.2
0,uniform,10,512,2,0.71593533,0.77931034,0.71593533,0.77931034
0,uniform,10,512,3,0.79907621,0.8,0.79907621,0.8
0,uniform,10,1024,0,0.78752887,0.94137931,0.78752887,0.94137931
0,uniform,10,1024,1,0.19861432,0.2,0.19861432,0.2
0,uniform,10,1024,2,0.76443418,0.7862069,0.76443418,0.7862069
0,uniform,10,1024,3,0.79907621,0.8,0.79907621,0.8
0,uniform,10,1536,0,0.83833718,0.95172414,0.83833718,0.95172414
0,uniform,10,1536,1,0.19861432,0.2,0.19861432,0.2
0,uniform,10,1536,2,0.7482679,0.7862069,0.7482679,0.7862069
0,uniform,10,1536,3,0.79907621,0.8,0.79907621,0.8
0,uniform,10,2048,0,0.852194,0.95172414,0.852194,0.95172414
0,uniform,10,2048,1,0.19861432,0.2,0.19861432,0.2
0,uniform,10,2048,2,0.76443418,0.79310345,0.76443418,0.79310345
0,uniform,10,2048,3,0.79907621,0.8,0.79907621,0.8
0,uniform,10,3072,0,0.85450346,0.95172414,0.85450346,0.95172414
0,uniform,10,3072,1,0.19861432,0.2,0.19861432,0.2
0,uniform,10,3072,2,0.77367206,0.80344828,0.77367206,0.80344828
0,uniform,10,3072,3,0.79907621,0.8,0.79907621,0.8
0,uniform,10,4096,0,0.84295612,0.96206897,0.84295612,0.96206897
0,uniform,10,4096,1,0.19861432,0.2,0.19861432,0.2
0,uniform,10,4096,2,0.77598152,0.79655172,0.77598152,0.79655172
0,uniform,10,4096,3,0.79907621,0.8,0.79907621,0.8
0,uniform,10,5120,0,0.84988453,0.95517241,0.84988453,0.95517241
0,uniform,10,5120,1,0.19861432,0.2,0.19861432,0.2
0,uniform,10,5120,2,0.75750577,0.79655172,0.75750577,0.79655172
0,uniform,10,5120,3,0.79907621,0.8,0.79907621,0.8
0,uniform,10,6144,0,0.84064665,0.96206897,0.84064665,0.96206897
0,uniform,10,6144,1,0.19861432,0.2,0.19861432,0.2
0,uniform,10,6144,2,0.76905312,0.8,0.76905312,0.8
0,uniform,10,6144,3,0.79907621,0.8,0.79907621,0.8
0,uniform,10,7168,0,0.86143187,0.95517241,0.86143187,0.95517241
0,uniform,10,7168,1,0.19861432,0.2,0.19861432,0.2
0,uniform,10,7168,2,0.76212471,0.79655172,0.76212471,0.79655172
0,uniform,10,7168,3,0.79907621,0.8,0.79907621,0.8
0,uniform,10,8192,0,0.84064665,0.95517241,0.84064665,0.95517241
0,uniform,10,8192,1,0.19861432,0.2,0.19861432,0.2
0,uniform,10,8192,2,0.76905312,0.80344828,0.76905312,0.80344828
0,uniform,10,8192,3,0.79907621,0.8,0.79907621,0.8
0,uniform,15,512,0,0.8221709,0.85517241,0.8221709,0.85517241
0,uniform,15,512,1,0.63972286,0.59310345,0.63972286,0.59310345
0,uniform,15,512,2,0.78752887,0.84482759,0.78752887,0.84482759
0,uniform,15,512,3,0.89376443,0.91724138,0.89376443,0.91724138
0,uniform,15,1024,0,0.83140878,0.90344828,0.83140878,0.90344828
0,uniform,15,1024,1,0.59584296,0.59310345,0.59584296,0.59310345
0,uniform,15,1024,2,0.7113164,0.83103448,0.7113164,0.83103448
0,uniform,15,1024,3,0.89145497,0.93793103,0.89145497,0.93793103
0,uniform,15,1536,0,0.80138568,0.88275862,0.80138568,0.88275862
0,uniform,15,1536,1,0.60508083,0.57241379,0.60508083,0.57241379
0,uniform,15,1536,2,0.74133949,0.83103448,0.74133949,0.83103448
0,uniform,15,1536,3,0.8891455,0.92068966,0.8891455,0.92068966
0,uniform,15,2048,0,0.81755196,0.87241379,0.81755196,0.87241379
0,uniform,15,2048,1,0.60046189,0.5862069,0.60046189,0.5862069
0,uniform,15,2048,2,0.76674365,0.83793103,0.76674365,0.83793103
0,uniform,15,2048,3,0.90531178,0.94827586,0.90531178,0.94827586
0,uniform,15,3072,0,0.81986143,0.87931034,0.81986143,0.87931034
0,uniform,15,3072,1,0.63741339,0.6,0.63741339,0.6
0,uniform,15,3072,2,0.74133949,0.80689655,0.74133949,0.80689655
0,uniform,15,3072,3,0.89838337,0.93103448,0.89838337,0.93103448
0,uniform,15,4096,0,0.81755196,0.87586207,0.81755196,0.87586207
0,uniform,15,4096,1,0.59122402,0.57241379,0.59122402,0.57241379
0,uniform,15,4096,2,0.75750577,0.87931034,0.75750577,0.87931034
0,uniform,15,4096,3,0.8960739,0.93793103,0.8960739,0.93793103
0,uniform,15,5120,0,0.82909931,0.88275862,0.82909931,0.88275862
0,uniform,15,5120,1,0.60969977,0.57241379,0.60969977,0.57241379
0,uniform,15,5120,2,0.76905312,0.87241379,0.76905312,0.87241379
0,uniform,15,5120,3,0.90300231,0.94482759,0.90300231,0.94482759
0,uniform,15,6144,0,0.82448037,0.88275862,0.82448037,0.88275862
0,uniform,15,6144,1,0.61662818,0.57931034,0.61662818,0.57931034
0,uniform,15,6144,2,0.70438799,0.83448276,0.70438799,0.83448276
0,uniform,15,6144,3,0.90069284,0.93793103,0.90069284,0.93793103
0,uniform,15,7168,0,0.81986143,0.87586207,0.81986143,0.87586207
0,uniform,15,7168,1,0.59122402,0.57586207,0.59122402,0.57586207
0,uniform,15,7168,2,0.74133949,0.8137931,0.74133949,0.8137931
0,uniform,15,7168,3,0.8891455,0.92758621,0.8891455,0.92758621
0,uniform,15,8192,0,0.82678984,0.9,0.82678984,0.9
0,uniform,15,8192,1,0.61893764,0.57241379,0.61893764,0.57241379
0,uniform,15,8192,2,0.73441109,0.86896552,0.73441109,0.86896552
0,uniform,15,8192,3,0.89838337,0.93103448,0.89838337,0.93103448
0,uniform,20,512,0,0.84757506,0.98275862,0.84757506,0.98275862
0,uniform,20,512,1,0.79214781,0.55517241,0.79214781,0.55517241
0,uniform,20,512,2,0.76674365,0.83793103,0.76674365,0.83793103
0,uniform,20,512,3,0.852194,0.92758621,0.852194,0.92758621
0,uniform,20,1024,0,0.84988453,0.97241379,0.84988453,0.97241379
0,uniform,20,1024,1,0.79445727,0.60689655,0.79445727,0.60689655
0,uniform,20,1024,2,0.79214781,0.84482759,0.79214781,0.84482759
0,uniform,20,1024,3,0.86605081,0.92413793,0.86605081,0.92413793
0,uniform,20,1536,0,0.87759815,0.98275862,0.87759815,0.98275862
0,uniform,20,1536,1,0.80600462,0.53793103,0.80600462,0.53793103
0,uniform,20,1536,2,0.81755196,0.84482759,0.81755196,0.84482759
0,uniform,20,1536,3,0.86374134,0.90689655,0.86374134,0.90689655
