run_index,total_runs,timestamp,item_mem_seed,num_levels,vector_dimension,use_genetic_item_memory,binning_mode,output_mode,log_file,duration_sec
1,5220,2026-04-21T16:03:26.024825,1,5,201,0,0,2,run_levels_005_dim_00201.txt,1.098
2,5220,2026-04-21T16:03:27.060543,1,5,251,0,0,2,run_levels_005_dim_00251.txt,1.033
3,5220,2026-04-21T16:03:28.097445,1,5,301,0,0,2,run_levels_005_dim_00301.txt,1.034
4,5220,2026-04-21T16:03:29.143702,1,5,351,0,0,2,run_levels_005_dim_00351.txt,1.043
5,5220,2026-04-21T16:03:30.225789,1,5,401,0,0,2,run_levels_005_dim_00401.txt,1.079
6,5220,2026-04-21T16:03:31.354091,1,5,451,0,0,2,run_levels_005_dim_00451.txt,1.125
7,5220,2026-04-21T16:03:32.459047,1,5,501,0,0,2,run_levels_005_dim_00501.txt,1.102
8,5220,2026-04-21T16:03:33.590127,1,5,551,0,0,2,run_levels_005_dim_00551.txt,1.128
9,5220,2026-04-21T16:03:34.785726,1,5,601,0,0,2,run_levels_005_dim_00601.txt,1.192
10,5220,2026-04-21T16:03:35.995792,1,5,651,0,0,2,run_levels_005_dim_00651.txt,1.207
11,5220,2026-04-21T16:03:37.211260,1,5,701,0,0,2,run_levels_005_dim_00701.txt,1.212
12,5220,2026-04-21T16:03:38.456716,1,5,751,0,0,2,run_levels_005_dim_00751.txt,1.242
13,5220,2026-04-21T16:03:39.703537,1,5,801,0,0,2,run_levels_005_dim_00801.txt,1.244
14,5220,2026-04-21T16:03:40.957318,1,5,851,0,0,2,run_levels_005_dim_00851.txt,1.250
15,5220,2026-04-21T16:03:42.211014,1,5,901,0,0,2,run_levels_005_dim_00901.txt,1.251
16,5220,2026-04-21T16:03:43.491235,1,5,951,0,0,2,run_levels_005_dim_00951.txt,1.277
17,5220,2026-04-21T16:03:44.796324,1,5,1000,0,0,2,run_levels_005_dim_01000.txt,1.302
18,5220,2026-04-21T16:03:46.256892,1,5,1500,0,0,2,run_levels_005_dim_01500.txt,1.458
19,5220,2026-04-21T16:03:47.948419,1,5,2000,0,0,2,run_levels_005_dim_02000.txt,1.688
20,5220,2026-04-21T16:03:49.870691,1,5,2500,0,0,2,run_levels_005_dim_02500.txt,1.919
21,5220,2026-04-21T16:03:51.995778,1,5,3000,0,0,2,run_levels_005_dim_03000.txt,2.122
22,5220,2026-04-21T16:03:54.209637,1,5,3500,0,0,2,run_levels_005_dim_03500.txt,2.211
23,5220,2026-04-21T16:03:56.541018,1,5,4000,0,0,2,run_levels_005_dim_04000.txt,2.328
24,5220,2026-04-21T16:03:59.343968,1,5,4500,0,0,2,run_levels_005_dim_04500.txt,2.800
25,5220,2026-04-21T16:04:02.007922,1,5,5000,0,0,2,run_levels_005_dim_05000.txt,2.661
26,5220,2026-04-21T16:04:05.642208,1,5,5500,0,0,2,run_levels_005_dim_05500.txt,3.631
27,5220,2026-04-21T16:04:09.567225,1,5,6000,0,0,2,run_levels_005_dim_06000.txt,3.922
28,5220,2026-04-21T16:04:13.310435,1,5,6500,0,0,2,run_levels_005_dim_06500.txt,3.740
