0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.913224,-0.926318,-0.928489,-0.930771,-0.921459,-0.784101,-0.699358,-0.856226,-0.923385,-0.928600,-0.939937,-0.908853,-0.931057,-0.940541,-0.940000,-0.940516,-0.936966,-0.923978,-0.940932,-0.941639,-0.943974,-0.912132,-0.921004,-0.931406,-0.950572,-0.950999,-0.941355,-0.938183,-0.935022,-0.933630,-0.933354,-0.924651
-0.909028,-0.923358,-0.925393,-0.928037,-0.919355,-0.782757,-0.706458,-0.858458,-0.921029,-0.923953,-0.932553,-0.909681,-0.921384,-0.933480,-0.934803,-0.935220,-0.931848,-0.918929,-0.938749,-0.935588,-0.938583,-0.907507,-0.915716,-0.928363,-0.943033,-0.942016,-0.938408,-0.932753,-0.923830,-0.926733,-0.925055,-0.916838
-0.911560,-0.918016,-0.921233,-0.920602,-0.912680,-0.776461,-0.709506,-0.853216,-0.908342,-0.906183,-0.924566,-0.899331,-0.917507,-0.923301,-0.930173,-0.927327,-0.931178,-0.914053,-0.930821,-0.927285,-0.924457,-0.899481,-0.899585,-0.920162,-0.935468,-0.932052,-0.927406,-0.923688,-0.928769,-0.924701,-0.925534,-0.914613
-0.896823,-0.907425,-0.903758,-0.906977,-0.900258,-0.709180,-0.593547,-0.828758,-0.921492,-0.923410,-0.928563,-0.885178,-0.913367,-0.924146,-0.933881,-0.935278,-0.931219,-0.905436,-0.931417,-0.923420,-0.928064,-0.872632,-0.895738,-0.916313,-0.938397,-0.939144,-0.933289,-0.922682,-0.921926,-0.918982,-0.921868,-0.914117
-0.917069,-0.925094,-0.928855,-0.927484,-0.917674,-0.770630,-0.692628,-0.853982,-0.926158,-0.934608,-0.941142,-0.903167,-0.925136,-0.937037,-0.936084,-0.942785,-0.940041,-0.923560,-0.937284,-0.941117,-0.942464,-0.903312,-0.915574,-0.925152,-0.949575,-0.945725,-0.940568,-0.938988,-0.935535,-0.935358,-0.929203,-0.929263
-0.921812,-0.924908,-0.932864,-0.935018,-0.922978,-0.793229,-0.714353,-0.862916,-0.929366,-0.936206,-0.944692,-0.913411,-0.934422,-0.939021,-0.940535,-0.946405,-0.943993,-0.932136,-0.946899,-0.946497,-0.947048,-0.918022,-0.925901,-0.932132,-0.949197,-0.946352,-0.945707,-0.945012,-0.941835,-0.940137,-0.938423,-0.937072
-0.921340,-0.928266,-0.933277,-0.937167,-0.930243,-0.797476,-0.724490,-0.858609,-0.921600,-0.933655,-0.940142,-0.917398,-0.929829,-0.942680,-0.935858,-0.941524,-0.944395,-0.932105,-0.938532,-0.949509,-0.951309,-0.922749,-0.928925,-0.939287,-0.952553,-0.947003,-0.945290,-0.945318,-0.938972,-0.937395,-0.935998,-0.938599
-0.930810,-0.934383,-0.937023,-0.937642,-0.933111,-0.797734,-0.725017,-0.861795,-0.928250,-0.936928,-0.949314,-0.915831,-0.932851,-0.944532,-0.943245,-0.948043,-0.947645,-0.935739,-0.947832,-0.951210,-0.952164,-0.919932,-0.932508,-0.941166,-0.960295,-0.956763,-0.952380,-0.948848,-0.947972,-0.943296,-0.941590,-0.937713
-0.930477,-0.935249,-0.937677,-0.938704,-0.932631,-0.780453,-0.694683,-0.858872,-0.925977,-0.935748,-0.947688,-0.913570,-0.932697,-0.943120,-0.943293,-0.949248,-0.946330,-0.935276,-0.948643,-0.950621,-0.950905,-0.919503,-0.931296,-0.940385,-0.959537,-0.955780,-0.950179,-0.949142,-0.946866,-0.943411,-0.941708,-0.939559
-0.926411,-0.930536,-0.933741,-0.936433,-0.928881,-0.790892,-0.710384,-0.862765,-0.919012,-0.930286,-0.944180,-0.902409,-0.931371,-0.940785,-0.942034,-0.949880,-0.943122,-0.934992,-0.948131,-0.946995,-0.948247,-0.918437,-0.930413,-0.938522,-0.954219,-0.953502,-0.949754,-0.946331,-0.943729,-0.941444,-0.939247,-0.932302
-0.927794,-0.931736,-0.933759,-0.937700,-0.931630,-0.792831,-0.715515,-0.863536,-0.928218,-0.933891,-0.945845,-0.909063,-0.930445,-0.942250,-0.944845,-0.948694,-0.945751,-0.932477,-0.945948,-0.948123,-0.948299,-0.916428,-0.927872,-0.938486,-0.956984,-0.953784,-0.948854,-0.947321,-0.945513,-0.940136,-0.940153,-0.935481
-0.919196,-0.922485,-0.927451,-0.928741,-0.925436,-0.783710,-0.699094,-0.854689,-0.923170,-0.925270,-0.943895,-0.899770,-0.922606,-0.934573,-0.936865,-0.945100,-0.935576,-0.925744,-0.939802,-0.942702,-0.943666,-0.910512,-0.921275,-0.930121,-0.946889,-0.948147,-0.942399,-0.941539,-0.942133,-0.933732,-0.932893,-0.932125
-0.918627,-0.926130,-0.927603,-0.929742,-0.923413,-0.770616,-0.676091,-0.845419,-0.926934,-0.930514,-0.941616,-0.907376,-0.926801,-0.934847,-0.941853,-0.943048,-0.936219,-0.927059,-0.937595,-0.946639,-0.944488,-0.906545,-0.920288,-0.929793,-0.948157,-0.946730,-0.942650,-0.943738,-0.934337,-0.936141,-0.934999,-0.933821
-0.919926,-0.924365,-0.923697,-0.924446,-0.923683,-0.773869,-0.685873,-0.842773,-0.923287,-0.925817,-0.938474,-0.906618,-0.924206,-0.935660,-0.934226,-0.939770,-0.938776,-0.923760,-0.938030,-0.943701,-0.938488,-0.910361,-0.919735,-0.930573,-0.949679,-0.947892,-0.937328,-0.938818,-0.936144,-0.940347,-0.934958,-0.930224
-0.908784,-0.916674,-0.921628,-0.919391,-0.913885,-0.770467,-0.677939,-0.841415,-0.913311,-0.917737,-0.936930,-0.895370,-0.922046,-0.929667,-0.921888,-0.925772,-0.925892,-0.923088,-0.932110,-0.936920,-0.936907,-0.905039,-0.915481,-0.928010,-0.941420,-0.936044,-0.930986,-0.932479,-0.934917,-0.931072,-0.928559,-0.919152
