0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-0.550327,-0.661185,-0.652176,-0.691298,-0.698390,-0.706098,-0.708619,-0.709640,-0.704083,-0.708315,-0.704939,-0.694053,-0.659688,-0.624894,-0.469425,-0.265184,-0.528349,-0.663878,-0.686550,-0.704513,-0.711615,-0.714012,-0.721885,-0.709570,-0.725487,-0.718867,-0.704797,-0.698086,-0.671166,-0.636168,-0.468917,-0.145382
-0.543635,-0.658448,-0.659652,-0.696687,-0.701392,-0.708261,-0.713891,-0.713858,-0.705647,-0.711702,-0.709380,-0.696267,-0.664023,-0.627774,-0.476784,-0.271892,-0.538207,-0.666311,-0.692108,-0.705460,-0.714827,-0.715500,-0.723253,-0.719859,-0.732000,-0.722343,-0.709616,-0.703799,-0.674166,-0.638378,-0.475662,-0.149237
-0.569012,-0.670149,-0.662267,-0.702858,-0.707271,-0.714433,-0.717711,-0.719024,-0.707992,-0.714917,-0.713291,-0.702961,-0.669273,-0.634886,-0.481935,-0.269897,-0.544690,-0.669539,-0.695948,-0.709190,-0.717419,-0.720877,-0.728258,-0.721506,-0.733139,-0.726829,-0.713322,-0.707146,-0.679364,-0.644284,-0.476673,-0.155606
-0.530075,-0.629212,-0.611836,-0.669243,-0.665716,-0.677166,-0.686611,-0.685332,-0.666831,-0.675956,-0.679332,-0.668245,-0.632662,-0.601376,-0.450155,-0.226501,-0.501661,-0.633567,-0.659512,-0.670940,-0.683244,-0.687058,-0.697925,-0.687950,-0.700503,-0.694529,-0.676222,-0.673011,-0.651258,-0.616175,-0.457822,-0.136382
-0.546627,-0.643279,-0.637041,-0.669019,-0.682159,-0.687369,-0.693555,-0.692760,-0.683359,-0.684361,-0.687698,-0.677091,-0.645693,-0.616439,-0.460698,-0.238203,-0.509752,-0.635152,-0.668063,-0.685514,-0.689092,-0.692910,-0.703354,-0.692137,-0.717326,-0.699742,-0.688377,-0.684429,-0.662581,-0.631001,-0.459757,-0.115169
-0.586215,-0.666372,-0.669027,-0.692077,-0.703537,-0.707333,-0.709891,-0.711465,-0.699907,-0.707840,-0.704286,-0.695227,-0.658224,-0.626810,-0.457585,-0.223325,-0.550045,-0.671597,-0.696322,-0.705687,-0.709322,-0.714346,-0.715961,-0.716077,-0.727905,-0.713283,-0.705216,-0.698443,-0.672943,-0.640798,-0.455715,-0.101924
-0.571139,-0.657411,-0.662409,-0.685093,-0.692794,-0.701457,-0.705772,-0.706403,-0.696665,-0.702932,-0.698960,-0.690610,-0.654908,-0.621912,-0.461859,-0.237966,-0.527226,-0.658405,-0.686606,-0.696251,-0.700041,-0.707498,-0.713173,-0.708666,-0.724766,-0.711304,-0.701270,-0.692616,-0.665416,-0.631433,-0.452571,-0.110500
-0.599752,-0.683150,-0.683391,-0.703461,-0.714370,-0.718357,-0.725780,-0.723398,-0.708267,-0.716857,-0.715067,-0.708295,-0.671240,-0.641705,-0.491988,-0.281051,-0.564232,-0.682659,-0.707160,-0.717800,-0.722118,-0.727117,-0.728711,-0.725607,-0.739476,-0.725012,-0.714654,-0.709229,-0.685086,-0.654545,-0.489702,-0.142583
-0.599834,-0.678738,-0.677538,-0.696288,-0.700822,-0.697472,-0.709583,-0.707256,-0.698936,-0.704176,-0.699758,-0.694883,-0.658090,-0.628723,-0.484797,-0.280836,-0.555977,-0.674472,-0.697291,-0.702712,-0.712617,-0.712396,-0.721370,-0.718140,-0.727680,-0.718643,-0.708963,-0.686620,-0.677457,-0.647196,-0.484940,-0.151841
-0.510822,-0.606621,-0.609014,-0.635591,-0.654483,-0.641330,-0.667691,-0.655319,-0.631147,-0.643591,-0.647807,-0.642530,-0.593519,-0.549025,-0.373403,-0.149236,-0.445493,-0.602595,-0.642161,-0.647954,-0.656473,-0.664411,-0.666242,-0.666906,-0.675584,-0.665022,-0.635599,-0.645857,-0.605427,-0.561414,-0.372466,-0.005083
